Gene	LogFC	Pval
AL645608.8	AL645608.8	0.334969172728292	0.000798899786864445
HES4	HES4	15.5059552051023	2.17640404040093e-12
TNFRSF18	TNFRSF18	0.220686629026545	0.00526793516287269
TNFRSF4	TNFRSF4	0.258810350166744	0.0490234838425332
AL139246.5	AL139246.5	0.137083066142226	0.00884591921280992
TNFRSF14	TNFRSF14	0.462127194054199	0.00460654724474776
KCNAB2	KCNAB2	0.13082364814394	0.00938202136760419
KLHL21	KLHL21	0.18924231452596	0.0196213544838136
MTHFR	MTHFR	0.408557475812736	0.086018219036067
TNFRSF1B	TNFRSF1B	0.587969878585014	1.69271577666757e-08
EFHD2	EFHD2	0.391593542761843	4.22924806647676e-05
IFFO2	IFFO2	0.206608949218686	0.0150287361327294
MINOS1	MINOS1	0.506366186284164	0.0741939306201009
C1QA	C1QA	72.0593221532373	1.9350240980858e-07
C1QC	C1QC	47.1313472130425	3.25659889155828e-07
C1QB	C1QB	47.1168045284699	5.02334477785509e-06
RUNX3	RUNX3	1.02124911118797	7.17116517182011e-10
SH3BGRL3	SH3BGRL3	11.8128768164052	0.0723356298405235
CD52	CD52	10.1579598165897	5.09354368034107e-06
THEMIS2	THEMIS2	0.299439282676963	2.96069548113611e-05
PTAFR	PTAFR	0.176909183288684	0.00407261902945884
SESN2	SESN2	0.434211928186517	0.0118020545560555
SNHG12	SNHG12	0.414482219292745	0.0109426728998143
LAPTM5	LAPTM5	5.2788114051068	8.70527429158965e-15
LCK	LCK	0.239520254674493	0.00180438699698658
CSF3R	CSF3R	0.43516622783979	1.33337885136711e-05
ZC3H12A	ZC3H12A	0.571140753618027	0.000158889623788178
SMAP2	SMAP2	0.351381704302488	0.000490172151187035
SLC2A1	SLC2A1	0.211178241486682	0.0758130770120333
ATP6V0B	ATP6V0B	0.164427698433881	0.00124054049256858
PLK3	PLK3	0.241994085474307	0.00367114090367889
MKNK1	MKNK1	0.522613120694254	0.00632569413374566
PDE4B	PDE4B	1.18771768763209	1.80133130665192e-07
ODF2L	ODF2L	1.96082996809967	0.0815568973575842
GTF2B	GTF2B	0.180638918727651	0.0743928729933861
PRPF38B	PRPF38B	0.158074780160691	0.0479198423335218
STXBP3	STXBP3	0.10817585069394	0.0586031163233139
KIAA1324	KIAA1324	0.12165012136329	0.0128983585532018
SORT1	SORT1	0.111134774560836	0.00988414016530449
AMPD2	AMPD2	0.209751864075455	0.0123930901501943
CD53	CD53	1.42145278877922	2.37762255299055e-11
C1orf162	C1orf162	0.198521816764871	0.0304576036026463
PTPN22	PTPN22	0.213618898450812	0.000138042192987065
HIPK1	HIPK1	0.232768729813945	0.0298706602847748
ATP1A1	ATP1A1	1.58694154631585	2.10309330838495e-07
CD58	CD58	0.230154401832137	4.23351655121804e-05
CTSS	CTSS	1.05159709266695	6.20458993642192e-08
CDC42SE1	CDC42SE1	0.293674181126327	0.0088914586151707
S100A11	S100A11	8.44367093898163	0.0012240719407772
S100A9	S100A9	1.23600803983523	0.0121600063890627
S100A8	S100A8	26.125163853662	0.0247913176252899
S100A4	S100A4	11.0869818606523	2.67145519930602e-06
TPM3	TPM3	0.700731775648869	0.00130083822311039
IL6R	IL6R	0.440733487876928	2.66532763355258e-05
KHDC4	KHDC4	0.14753998148457	0.00186446224062422
SH2D2A	SH2D2A	0.136423241211717	0.00521490988945467
ETV3	ETV3	1.02637932513322	0.000130295813991957
MNDA	MNDA	0.45547163099016	0.013705739270493
CD48	CD48	0.59180826441392	2.37596365411922e-05
SLAMF7	SLAMF7	0.393626939998409	0.00017753172826923
LY9	LY9	0.615759306925147	0.000823005236795605
FCER1G	FCER1G	13.4562187187443	5.24368980279508e-14
FCGR2A	FCGR2A	0.210823021342118	0.000146420662007947
CD247	CD247	0.383997779962838	0.000728241053379948
CREG1	CREG1	0.127241204761332	0.0511770947746609
SFT2D2	SFT2D2	0.241590899526465	0.0713873712614907
XCL1	XCL1	14.1637378587685	0.00242110917527108
SELL	SELL	0.55978484172391	0.000680143169318874
RC3H1	RC3H1	0.100632728213719	0.0232218885931534
ABL2	ABL2	0.823568823382725	0.017527594834565
IER5	IER5	4.48567029331406	0.00305149938926912
IVNS1ABP	IVNS1ABP	0.869869604476297	0.000885042923069693
PTGS2	PTGS2	4.09791167253674	0.000114881277956081
RGS1	RGS1	7.28211996261546	7.57663207846749e-11
RGS2	RGS2	7.54305863879939	0.0106318810387554
PTPRC	PTPRC	1.66687948352558	1.46175854320021e-21
MIR181A1HG	MIR181A1HG	0.490141089955399	0.00229187152055627
PTPN7	PTPN7	0.253472508944971	0.000606275173108157
RASSF5	RASSF5	0.540604277472328	0.000160058814004988
MAPKAPK2	MAPKAPK2	0.263290196391678	0.00574911275340036
CD55	CD55	1.05804401889839	4.63726956405968e-05
G0S2	G0S2	1.69179452502942	0.0433737240621631
IRF2BP2	IRF2BP2	0.41586407046433	0.035690194762854
ERO1B	ERO1B	2.37050453174883	0.000945129471994328
KMO	KMO	0.221206063507443	0.00192570574450001
CHML	CHML	0.129742049396166	0.00631770545127086
NLRP3	NLRP3	0.876665898774893	4.90562550656399e-06
ID2	ID2	1.12619867133854	0.000173098965823953
ADAM17	ADAM17	0.21427285244557	0.00947445874288415
LPIN1	LPIN1	1.32612919837299	0.0801210541751287
FAM49A	FAM49A	0.641782361428033	1.58977531005374e-07
ITSN2	ITSN2	0.392851497877023	0.0822229703774568
FOSL2	FOSL2	3.14327633883263	3.65102543927227e-09
YPEL5	YPEL5	1.80595785464108	0.000572797596355191
RASGRP3	RASGRP3	0.172414987956797	0.00047212180624342
CDC42EP3	CDC42EP3	1.06395517134583	0.000490151332723674
PSME4	PSME4	0.365093247428884	0.0657026628650446
BCL11A	BCL11A	0.728708023314112	0.00999459239713169
REL	REL	11.7243621118364	3.97769822733533e-23
PELI1	PELI1	0.358449428645147	0.0124756843227828
SLC1A4	SLC1A4	0.273384596776622	0.000574180281965597
ACTR2	ACTR2	1.15650282217947	0.0946148841891675
CNRIP1	CNRIP1	1.60648307959175	5.92777896570267e-14
PLEK	PLEK	1.2292136811891	4.91174878507069e-07
MXD1	MXD1	0.346179724278403	5.23220516461091e-05
MTHFD2	MTHFD2	1.61832868092635	0.0116248074688974
CAPG	CAPG	0.148522681066429	0.0131354632072116
MAT2A	MAT2A	2.82602026525774	0.000983124724366376
EIF2AK3	EIF2AK3	0.200404734638685	0.00555122327331344
DUSP2	DUSP2	26.9601316146235	3.4827479751507e-21
ARID5A	ARID5A	0.110526305565906	0.0051297684083383
INPP4A	INPP4A	0.143351953912066	0.0133833549779846
MGAT4A	MGAT4A	0.469877043909034	0.00446082479532533
RPL31	RPL31	1.70991450328458	0.0381033463776518
RNF149	RNF149	0.528801069425261	3.0023095680608e-05
IL1R2	IL1R2	0.10354640420704	0.00448618818649664
RANBP2	RANBP2	0.558815950960837	0.000143323339752546
RGPD5	RGPD5	0.108733660152772	0.045571939948986
BCL2L11	BCL2L11	0.267246556777557	0.000355855590659116
MERTK	MERTK	0.309306646701717	0.00152536897915393
SLC20A1	SLC20A1	1.56978397791016	2.2070550268632e-05
IL1A	IL1A	2.03641244762426	8.56481400994959e-05
IL1B	IL1B	100.104527595583	3.4272816922334e-14
IL1RN	IL1RN	2.18906737390028	0.000152690620806766
PSD4	PSD4	0.122482614631398	0.0125266639309224
ACTR3	ACTR3	0.238571108577253	0.0491393537581404
TMEM37	TMEM37	0.214132837804306	0.0753780970093628
MAP3K2	MAP3K2	0.211893888823464	0.080571031241257
UGGT1	UGGT1	0.12394444864061	0.0641121044775212
PTPN18	PTPN18	0.107835459501195	0.0277759069715519
PLEKHB2	PLEKHB2	0.835038965702173	0.0120728788305548
