Gene	LogFC	Pval
HES4	HES4	15.5177266607033	1.68442627601245e-05
TNFRSF18	TNFRSF18	0.220686629026545	0.00526793516287269
TNFRSF4	TNFRSF4	0.291652265079071	0.0156422995362397
AL139246.5	AL139246.5	0.143119703000554	0.00427238262791001
TNFRSF14	TNFRSF14	0.636245006318299	6.44392507046632e-06
MTHFR	MTHFR	0.450379976642516	0.00377452488624772
TNFRSF1B	TNFRSF1B	0.61597517666247	2.25401726283424e-09
EFHD2	EFHD2	0.367456996190889	8.8568687981008e-05
C1QA	C1QA	72.1433487386367	1.59653932477318e-07
C1QC	C1QC	47.1283397759583	5.19913364993633e-07
C1QB	C1QB	47.1484023115898	5.05001527468269e-06
RUNX3	RUNX3	1.02405282714706	6.58373210099625e-10
CD52	CD52	10.1612161232724	4.20261779655078e-06
THEMIS2	THEMIS2	0.299907507390579	3.05270659059812e-05
PTAFR	PTAFR	0.179712899247767	0.00354755585758405
SESN2	SESN2	0.421445294043547	0.0248294498855757
SNHG12	SNHG12	0.350715606012064	0.0511841739663
LAPTM5	LAPTM5	5.28719908014365	5.54382920219913e-15
LCK	LCK	0.232087430499357	0.00226798989315059
CSF3R	CSF3R	0.43516622783979	1.33337885136711e-05
ZC3H12A	ZC3H12A	0.560791285056432	0.000119358235669916
SMAP2	SMAP2	0.300695396209501	0.00424659539831599
MKNK1	MKNK1	0.558277787149398	0.00166118342322931
EFCAB14	EFCAB14	0.104893782649169	0.0550750632637448
PDE4B	PDE4B	1.06554916503376	0.000141927136957877
AC103591.3	AC103591.3	0.425919324662919	1.29754479412154e-05
ODF2L	ODF2L	1.85065572795576	0.0759827327852256
GBP2	GBP2	0.116053886799879	0.0169490845463893
KIAA1324	KIAA1324	0.100470288889345	0.0164917708975957
AMPD2	AMPD2	0.198394886558069	0.0107557469964191
CD53	CD53	1.4242565047383	1.88432194206216e-11
C1orf162	C1orf162	0.204558453623199	0.0129975442893491
PTPN22	PTPN22	0.216422614409895	0.000103091146121804
HIPK1	HIPK1	0.214011497604074	0.0937028853622152
ATP1A1	ATP1A1	0.736870392570268	0.00381655302609318
CD58	CD58	0.1582258064785	0.00198051468177877
AC245014.3	AC245014.3	0.263127664234923	0.011816953216617
C1orf54	C1orf54	0.218934982337782	0.0806585044428987
MCL1	MCL1	1.57427270110863	1.33789970099848e-10
CTSS	CTSS	1.09233647375705	1.04169189014772e-08
S100A11	S100A11	14.9890430423	0.0443238873930164
S100A9	S100A9	1.23007343576743	0.0151809296845843
S100A8	S100A8	26.1383205782745	0.0172291212807008
S100A4	S100A4	10.7697395436087	0.00226515104479265
IL6R	IL6R	0.443537203836011	2.01549757870094e-05
SLC50A1	SLC50A1	0.106976503399598	0.0686380286561021
SH2D2A	SH2D2A	0.131291872857556	0.00789208166275101
ETV3	ETV3	0.987600220712791	0.000188077767287659
MNDA	MNDA	0.458275346949243	0.0105266515731217
CD48	CD48	0.59180826441392	2.37596365411922e-05
SLAMF7	SLAMF7	0.399226533066186	0.000128117340733362
LY9	LY9	0.615759306925147	0.000823005236795605
FCER1G	FCER1G	13.4288708999586	1.78181520612626e-13
FCGR2A	FCGR2A	0.211291246055734	0.000114488597073759
CD247	CD247	0.389597373030615	0.000498680185842348
CREG1	CREG1	0.189017945044587	0.0162490245909567
XCL1	XCL1	14.1637378587685	0.00242110917527108
SELL	SELL	0.55978484172391	0.000680143169318874
TOR3A	TOR3A	0.282105988406331	0.0104845250834195
QSOX1	QSOX1	0.123997055193355	0.0546502685600734
IER5	IER5	6.88711734189931	0.00047242995746945
IVNS1ABP	IVNS1ABP	0.62746071567939	0.0142467983616661
PTGS2	PTGS2	5.17360008526333	2.6581070353478e-07
RGS1	RGS1	7.29920125662972	3.50014464401292e-11
RGS2	RGS2	7.98907380211025	0.00103694386904621
PTPRC	PTPRC	1.66687948352558	1.46175854320021e-21
MIR181A1HG	MIR181A1HG	0.411413244335357	0.0510702857751923
PTPN7	PTPN7	0.24834114059081	0.000857990893960786
BTG2	BTG2	4.14549014543433	9.58566268031043e-05
RASSF5	RASSF5	0.544308363918428	0.000100089973340546
MAPKAPK2	MAPKAPK2	0.348592720065977	0.000572139570145098
CD55	CD55	1.08444338603747	4.0194031198281e-06
G0S2	G0S2	1.68835748426854	0.0259560578482541
SDE2	SDE2	0.106757353380668	0.041557171918599
C1orf35	C1orf35	0.157997677991062	0.0557562099473981
ERO1B	ERO1B	2.32859331543744	0.00802945132191658
KMO	KMO	0.221206063507443	0.00192570574450001
CHML	CHML	0.106976503399598	0.010654243851363
NLRP3	NLRP3	0.864153833275205	9.50914556946487e-06
ID2	ID2	0.624957404485258	0.00584644439623049
ADAM17	ADAM17	0.202221572120582	0.0105430577560582
