Gene	LogFC	Pval
SAMD11	SAMD11	0.834195271069718	0.00751323729978197
AGRN	AGRN	0.557708429666691	3.90268826406573e-15
ACAP3	ACAP3	0.397672421493736	1.05667526851462e-05
INTS11	INTS11	0.528743925786011	0.0339543035620736
MXRA8	MXRA8	0.246306245095907	0.000458100038700724
MRPL20	MRPL20	5.10085437835655	0.000139575054410563
VWA1	VWA1	0.251789225352354	0.0263684272728122
SSU72	SSU72	0.425159196427871	0.00225455155184675
GNB1	GNB1	5.85324530529013	0.0515271846511008
FAAP20	FAAP20	2.01758891488863	0.0846457553138177
SKI	SKI	0.270676231548091	0.00695760418508399
HES5	HES5	0.363591762678712	1.08644473937849e-05
MEGF6	MEGF6	0.300945610649911	3.79846847756472e-09
RPL22	RPL22	12.0317426279306	7.49283204509434e-08
GPR153	GPR153	0.155400054182846	0.00126735281845438
ACOT7	ACOT7	13.1358953455473	0.00508273466099307
PHF13	PHF13	0.221371716977177	0.00451786936741518
CAMTA1	CAMTA1	2.56140991386513	2.9320875217966e-12
VAMP3	VAMP3	0.854977897065925	0.00107998743065842
PARK7	PARK7	24.2412564828567	0.000852253183267689
RERE	RERE	0.239942571027595	0.0043898337585087
CLSTN1	CLSTN1	0.409214041868341	2.0840799371003e-06
CTNNBIP1	CTNNBIP1	0.238373975936437	0.000214289549430791
UBE4B	UBE4B	0.107445242713352	0.000113189504996109
KIF1B	KIF1B	0.963430238510749	4.86284006982472e-07
PGD	PGD	1.4613536808899	0.0434346925030107
CASZ1	CASZ1	0.208669895493946	0.00349607136657185
SRM	SRM	1.01061196637542	0.000783072967511249
FBXO44	FBXO44	0.13192462952225	3.10149975425438e-05
MAD2L2	MAD2L2	1.21247717498181	0.000194209286298648
MIIP	MIIP	0.239052803550319	0.000178979473274866
PDPN	PDPN	0.356447467093194	7.28025639218858e-11
KAZN	KAZN	0.194421163650561	5.45320730546858e-07
EPHA2	EPHA2	0.181141242295853	0.0100478118469715
MFAP2	MFAP2	0.585493703122391	0.000628460874868331
SDHB	SDHB	0.203293299083686	0.000478658328269837
ARHGEF10L	ARHGEF10L	0.11536055932212	0.00192812175197434
MRTO4	MRTO4	0.129059353605706	0.0875598939567757
AKR7A2	AKR7A2	0.638754396453906	0.000644055872354093
CAMK2N1	CAMK2N1	1.19140874101709	9.85122866110659e-11
PINK1	PINK1	2.42609443313477	0.000164810344453137
HP1BP3	HP1BP3	0.312369196615213	0.000893977287282812
EIF4G3	EIF4G3	0.214084694669614	0.0120390943269411
USP48	USP48	0.151653008899009	0.0371245557127933
HSPG2	HSPG2	2.29539723189251	3.57538092825057e-07
CDC42	CDC42	11.6213303296171	0.0496360377263607
KDM1A	KDM1A	0.284567737037259	2.65745861061888e-07
HNRNPR	HNRNPR	1.14370942329721	0.000496914796599653
ID3	ID3	21.0678300281664	5.68141865953686e-08
RPL11	RPL11	41.0251399699113	6.66665462032147e-10
CLIC4	CLIC4	0.263122038047012	0.0026882569320182
RSRP1	RSRP1	2.07724745438098	0.000488873353428989
STMN1	STMN1	213.410650185901	1.22097779444861e-31
SH3BGRL3	SH3BGRL3	5.02513125751905	0.00188808270820633
HMGN2	HMGN2	9.68946058458775	0.00340344321551933
ARID1A	ARID1A	0.278471341528515	0.0168882734039058
NUDC	NUDC	4.96622108841247	0.00103724411045868
TRNP1	TRNP1	0.624353356072645	0.0063160261361118
AHDC1	AHDC1	0.284124931442343	3.28121095217154e-13
DNAJC8	DNAJC8	0.819385168486449	0.00446481727844381
TRNAU1AP	TRNAU1AP	0.481465390144961	0.00205807057262579
YTHDF2	YTHDF2	1.53325169872491	8.79047983067875e-11
MECR	MECR	0.109433251724693	0.00182692800366689
SDC3	SDC3	0.942604949112928	6.07312730282498e-07
SNRNP40	SNRNP40	0.22657327377627	0.0014502498012691
ZCCHC17	ZCCHC17	0.161750231169097	0.00265917779026556
COL16A1	COL16A1	0.180649822279265	0.000187753681570242
KHDRBS1	KHDRBS1	1.23431677281206	5.22195848612579e-06
CCDC28B	CCDC28B	1.34277939215677	0.00452561246963956
EIF3I	EIF3I	2.78895712368259	0.0507559118301383
MARCKSL1	MARCKSL1	28.5365140273323	1.64207053666329e-14
YARS	YARS	0.176868592419744	0.0332736700239383
FNDC5	FNDC5	0.109236544032164	8.30107038840179e-05
PHC2	PHC2	0.431266790332307	0.000420279961335341
PSMB2	PSMB2	2.19896408881749	0.020800616956011
AGO3	AGO3	0.272451200488486	0.00260134308745106
GRIK3	GRIK3	0.436555362648494	1.1294057694099e-14
AL031430.1	AL031430.1	0.105918192791915	1.9640292371331e-05
MEAF6	MEAF6	2.37185700773404	0.000294465546832545
C1orf122	C1orf122	7.09936227626621	1.92389197891011e-05
SF3A3	SF3A3	0.181872424286903	0.0056668724579297
AKIRIN1	AKIRIN1	0.251110453242175	0.0209964343791321
NDUFS5	NDUFS5	19.7512324559941	2.71642722064136e-06
HEYL	HEYL	0.258192907663923	7.14474046253972e-10
BMP8B	BMP8B	0.104873629267131	0.000143320096079032
MFSD2A	MFSD2A	0.551515758003447	0.0582829075864122
COL9A2	COL9A2	0.258161002916795	3.06495577257212e-05
RIMS3	RIMS3	0.56757980952549	0.00124889437110608
YBX1	YBX1	39.3051424551789	7.16027231467595e-05
P3H1	P3H1	0.181871659121524	0.000308070180102185
SVBP	SVBP	2.37760984536576	3.4516811842385e-05
EBNA1BP2	EBNA1BP2	0.171781097597949	3.06724643675249e-05
HYI	HYI	1.58309356318351	2.18344923671087e-06
PTPRF	PTPRF	0.631164761462659	1.2420749287159e-07
B4GALT2	B4GALT2	0.954651049958773	2.83057581825412e-12
DMAP1	DMAP1	0.277949324366125	0.0257817666613946
ERI3	ERI3	3.17003534458888	0.00982736297816257
RPS8	RPS8	83.9765514089654	1.66352438057701e-13
UROD	UROD	0.327147964769608	0.0150254563517653
PRDX1	PRDX1	23.1951325642239	6.9380582218572e-05
NASP	NASP	1.72372916872901	1.38896211029495e-07
POMGNT1	POMGNT1	0.233866723483074	7.27349674901244e-05
LRRC41	LRRC41	0.480833943568718	0.000177947162153567
UQCRH	UQCRH	14.0421189727387	0.000273281066773689
ATPAF1	ATPAF1	0.164932943279226	0.0015329488944761
ELAVL4	ELAVL4	23.2757051999659	9.05670782682025e-10
RNF11	RNF11	0.811936687530818	0.0150615343526261
BTF3L4	BTF3L4	5.11871836304559	0.00179572067340206
TUT4	TUT4	0.297694070314726	0.0177948656931227
GPX7	GPX7	0.158996713269475	0.00266384823840688
ZYG11B	ZYG11B	0.109811095942327	0.00266595838872153
SCP2	SCP2	1.95799235551779	0.00614896521606066
C1orf123	C1orf123	0.420122475594843	0.00484987035337186
HSPB11	HSPB11	0.245310517093024	0.0353748293584943
TMEM59	TMEM59	6.47947438634411	0.076179297891131
SSBP3	SSBP3	0.646530255352805	5.06713018817769e-05
PLPP3	PLPP3	0.153987605893969	0.0462926136319234
JUN	JUN	104.025140077169	1.03141706327892e-09
NFIA	NFIA	0.503847873351222	8.31498592089914e-07
DOCK7	DOCK7	0.482807178807104	4.01081082818147e-06
FOXD3-AS1	FOXD3-AS1	0.458078669392338	2.01548789712061e-12
FOXD3	FOXD3	0.678501228846088	3.39896138247441e-17
PGM1	PGM1	0.434833331206354	0.000796443456644226
ROR1	ROR1	0.130065537785789	3.376664694168e-07
LEPROT	LEPROT	0.547289465465823	2.65691479894819e-05
SGIP1	SGIP1	0.882590093468649	3.452267026251e-06
SERBP1	SERBP1	2.2603116879807	3.47220185235182e-05
WLS	WLS	0.450389929751932	1.56924517175972e-09
NEGR1	NEGR1	0.663522425262503	5.05599271334386e-07
TYW3	TYW3	0.171215289505188	1.97321720733315e-05
ACADM	ACADM	0.236937694214103	0.0174688648886816
RABGGTB	RABGGTB	0.882755148652843	0.0625053312996712
USP33	USP33	0.128594603295774	0.00243643054645794
MIGA1	MIGA1	0.104873629267131	0.00431214149987707
FUBP1	FUBP1	0.198364630973794	0.0687618822864303
IFI44	IFI44	0.277770369927242	0.0108810693463118
TTLL7	TTLL7	0.440072802496156	6.19531894681469e-11
PRKACB	PRKACB	1.46494748533556	0.0203459993125274
GNG5	GNG5	0.686129236466677	0.0840711969413376
DDAH1	DDAH1	1.45384075220613	0.0440530402941843
CYR61	CYR61	7.42637780001525	1.79940674878727e-28
SH3GLB1	SH3GLB1	0.468032865518943	0.01833171503867
SELENOF	SELENOF	0.265506748831784	0.0106010664096487
LMO4	LMO4	1.25128070382878	1.60012562888722e-06
PKN2	PKN2	0.263532086191616	2.39046582696573e-05
LRRC8B	LRRC8B	0.219085650323123	0.00548336222820732
ZNF326	ZNF326	0.577966154860521	0.00515506462166466
EVI5	EVI5	0.118695277500699	0.00947058775394529
RPL5	RPL5	100.025137813586	6.40394822094651e-13
MTF2	MTF2	0.212696328767912	0.00672010525155073
TMED5	TMED5	0.125830536299117	0.0369236953849566
