Gene	LogFC	Pval
AL645608.8	AL645608.8	0.188841918259185	0.0693165724955789
TNFRSF18	TNFRSF18	0.220686629026545	0.00526793516287269
TNFRSF4	TNFRSF4	0.3156358135121	0.0103993178503708
TNFRSF14	TNFRSF14	0.590331641391667	0.000185450657076666
KCNAB2	KCNAB2	0.126922506304626	0.014829074597412
RPL22	RPL22	2.74877413689773	1.98923347151699e-05
KLHL21	KLHL21	0.220104555711018	0.00560689954477454
TNFRSF1B	TNFRSF1B	0.597521838224604	1.03710639337581e-08
EFHD2	EFHD2	0.381125426460558	1.9020523447113e-05
C1QA	C1QA	72.1401333862565	1.46071608404074e-07
C1QC	C1QC	47.1401336942199	3.23236824548497e-07
C1QB	C1QB	47.1262450209071	7.71847799339413e-06
RUNX3	RUNX3	1.01929117674047	8.70349485183392e-10
SH3BGRL3	SH3BGRL3	11.9169313158668	0.0161041287624676
CD52	CD52	10.16158584122	5.01409730197207e-06
THEMIS2	THEMIS2	0.30503887574474	2.25321564787968e-05
PTAFR	PTAFR	0.179712899247767	0.00354755585758405
LAPTM5	LAPTM5	5.28719908014365	5.54382920219913e-15
LCK	LCK	0.237562320226994	0.00210363686598001
CSF3R	CSF3R	0.430404577433208	1.73452906378354e-05
ZC3H12A	ZC3H12A	0.438535088446074	0.00189699988481477
SMAP2	SMAP2	0.30145930789165	0.0122022542745735
SLC2A1	SLC2A1	0.195714186759937	0.0455000951857279
PDE4B	PDE4B	1.21129312192837	6.64731414539811e-08
ODF2L	ODF2L	1.81220128809922	0.0794128310724629
GBP2	GBP2	0.108187614491301	0.0232572430038976
KIAA1324	KIAA1324	0.110236370945414	0.0317392415776043
AMPD2	AMPD2	0.216710943607448	0.0152575706916446
CD53	CD53	1.4242565047383	1.88432194206216e-11
C1orf162	C1orf162	0.200189087070269	0.0234176927651164
CAPZA1	CAPZA1	0.125248155301755	0.0293724775331175
PTPN22	PTPN22	0.216422614409895	0.000103091146121804
HIPK1	HIPK1	0.189537259732112	0.0538315008400682
ATP1A1	ATP1A1	0.868322937520996	0.036136111750286
CD58	CD58	0.197670103474457	0.000382796204476485
AC245014.3	AC245014.3	0.259531391000176	0.0146621338257118
MCL1	MCL1	1.04910515890576	0.00672805133482347
CTSS	CTSS	1.08325037573425	2.14070161027341e-08
CDC42SE1	CDC42SE1	0.279601236339214	0.00378652807340197
S100A11	S100A11	8.01292327283623	6.9980370662533e-05
S100A9	S100A9	1.24125348651449	0.00766855571470793
S100A8	S100A8	26.1275410495347	0.0151956714600489
S100A4	S100A4	7.97303664713177	0.000115224680361962
TPM3	TPM3	0.531380106209504	0.0163857279149563
IL6R	IL6R	0.438775553429429	3.67959398565079e-05
KHDC4	KHDC4	0.123974425888784	0.011300935900355
SH2D2A	SH2D2A	0.136423241211717	0.00521490988945467
ETV3	ETV3	1.00376197052447	8.21612930680982e-05
MNDA	MNDA	0.453513696542661	0.0130541045363008
CD48	CD48	0.587046614007338	3.52116223975737e-05
SLAMF7	SLAMF7	0.399226533066186	0.000128117340733362
LY9	LY9	0.615759306925147	0.000823005236795605
PFDN2	PFDN2	0.495712543713073	0.00338836127353939
FCER1G	FCER1G	13.4587454367725	6.33202397488734e-14
FCGR2A	FCGR2A	0.194152071070698	0.000165791698954132
CD247	CD247	0.384835722624032	0.00064252500078298
CREG1	CREG1	0.174909846941133	0.0303414775666106
SFT2D2	SFT2D2	0.256818816913248	0.0152818743303699
XCL1	XCL1	14.1542371238615	0.00356429632774254
ATP1B1	ATP1B1	0.616567160129678	0.000593093175280309
SELL	SELL	0.550284106816819	0.00128346468465504
ABL2	ABL2	0.931656845045191	0.0162022332280691
IVNS1ABP	IVNS1ABP	0.734816466401955	0.0473709567416348
PTGS2	PTGS2	5.04019923795553	1.39060556610007e-05
RGS1	RGS1	7.29011515860692	4.47857872626137e-11
RGS2	RGS2	7.23468054373197	0.0249932569495481
PTPRC	PTPRC	1.65266201714862	3.33651249519532e-21
MIR181A1HG	MIR181A1HG	0.500055825677184	0.00219202358739649
PTPN7	PTPN7	0.24397177403788	0.000895508956245401
RASSF5	RASSF5	0.545044169145556	0.000126693702304564
CD55	CD55	0.862599400921946	0.00142470448430916
G0S2	G0S2	1.67002515634607	0.0564723973083652
H3F3A	H3F3A	1.87063293818683	7.40812020956007e-07
C1orf35	C1orf35	0.121608024788824	0.0195904491406971
TARBP1	TARBP1	0.115799288638827	0.0375253940776961
IRF2BP2	IRF2BP2	0.52548441009895	0.00123532962480096
KMO	KMO	0.221206063507443	0.00192570574450001
CHML	CHML	0.120618677308874	0.0306248619730117
HNRNPU	HNRNPU	3.73971735852734	0.0740644904939813
NLRP3	NLRP3	0.874707964327394	5.13065353600131e-06
ID2	ID2	0.850388854784794	0.00245675480903028
LPIN1	LPIN1	1.42636236885789	0.00546759160008317
FAM49A	FAM49A	0.648632453395567	2.10467277103889e-07
ITSN2	ITSN2	0.473102792164848	0.00210158530825243
EMILIN1	EMILIN1	0.989929204484365	0.0178487268459064
FOSL2	FOSL2	2.91480706547646	2.51082069760505e-07
PPP1CB	PPP1CB	0.161169863213856	0.0188523421808799
YPEL5	YPEL5	1.63669562282403	0.0577491457263143
RASGRP3	RASGRP3	0.187869124338494	0.000115666025135424
CDC42EP3	CDC42EP3	1.04102499507539	0.000232277083036599
EML4	EML4	0.107815136330076	0.00199586731525743
ZFP36L2	ZFP36L2	0.172936226768694	0.00497614084207541
PSME4	PSME4	0.379754546112454	0.0292052824064706
BCL11A	BCL11A	0.739445237133138	0.00890592520599582
REL	REL	11.4294672190633	5.23564246973008e-19
SERTAD2	SERTAD2	0.206810892691631	0.0379924652618919
SLC1A4	SLC1A4	0.242178681339637	0.00192792005686867
CNRIP1	CNRIP1	1.78756960974966	1.23326063573485e-08
PLEK	PLEK	1.23283970581937	3.60252544530072e-07
MXD1	MXD1	0.267792471663724	0.00259993259136416
PCBP1	PCBP1	0.188919451552542	0.000116440142657401
MOB1A	MOB1A	0.27026126694763	0.000802790875363376
TGOLN2	TGOLN2	0.262865356720957	0.00583305977887059
CAPG	CAPG	0.193026736257562	0.00320710316602544
MAT2A	MAT2A	2.51085271846328	0.0398810489288499
EIF2AK3	EIF2AK3	0.146638695501755	0.0480568885436729
DUSP2	DUSP2	19.1097019951092	7.65388319232772e-18
INPP4A	INPP4A	0.160726767592811	0.00637863124471337
MGAT4A	MGAT4A	0.460232963697325	0.00885727276803484
RPL31	RPL31	1.10506124372288	0.0444013882744629
RNF149	RNF149	0.511969597958188	7.17705043937466e-05
RANBP2	RANBP2	0.759068910594814	3.6844675103709e-05
BCL2L11	BCL2L11	0.221343651634051	0.00519920002895833
MERTK	MERTK	0.309857505064414	0.00153110442101092
SLC20A1	SLC20A1	1.58450497238292	5.79948173791525e-05
IL1A	IL1A	2.03921616358335	7.94334976745266e-05
IL1B	IL1B	100.065084832187	1.18164103713075e-13
IL1RN	IL1RN	2.18430572349369	0.000217100207158324
PSD4	PSD4	0.131661590805135	0.00806841624065122
PLEKHB2	PLEKHB2	0.800555541641053	0.0350364620859238
CXCR4	CXCR4	6.10308604669803	6.61878032505961e-11
ZEB2-AS1	ZEB2-AS1	0.11415269787252	0.0120230177314688
CACNB4	CACNB4	0.441047716881227	0.00248056907049552
NR4A2	NR4A2	8.0477568468205	2.99503025670395e-08
CYTIP	CYTIP	0.376683849238832	1.65190665733834e-05
TANK	TANK	0.512496382012573	0.0133162777683733
WIPF1	WIPF1	0.326176651545207	1.96485164655001e-05
NFE2L2	NFE2L2	1.93342172762711	0.0165502874949122
GLS	GLS	0.632315017266452	3.04029289052507e-05
STAT4	STAT4	0.176611428892202	0.000209600345674015
NABP1	NABP1	0.822016663679178	0.000494980896072348
CAVIN2	CAVIN2	1.20330263047863	0.00563876861908215
STK17B	STK17B	0.196045133668659	0.00300455673490223
ANKRD44	ANKRD44	0.194481016788019	0.000787801174733021
HSPE1	HSPE1	4.62953637255238	0.0113179841904839
CLK1	CLK1	0.190838839108815	0.036344058333439
CFLAR	CFLAR	1.69034400406877	6.19308189440457e-09
CASP8	CASP8	0.105541782628856	0.0327368440345501
NRP2	NRP2	2.15529794971777	0.0984295701915704
SLC11A1	SLC11A1	1.03859272080187	0.00724358790644482
TUBA4A	TUBA4A	0.233528070459159	0.022279429152281
CCL20	CCL20	23.1047848560504	0.0310049950094928
INPP5D	INPP5D	0.311758786725977	0.000202166162849939
ARL4C	ARL4C	9.27737555290004	2.02947398555011e-15
LRRFIP1	LRRFIP1	0.994901186844913	0.0678790641755865
GPR35	GPR35	0.307476359410317	0.000244143762106465
BHLHE40	BHLHE40	0.655979534021117	8.88577242248708e-05
ARL8B	ARL8B	0.446877838584536	0.00211444624507252
EDEM1	EDEM1	0.539211427145564	7.95698255006915e-06
NUP210	NUP210	0.333776190806141	0.000382947742094609
SLC6A6	SLC6A6	0.245200637088627	5.61896756436347e-05
SH3BP5	SH3BP5	0.154207366252641	0.00561351545650384
ANKRD28	ANKRD28	0.513077883392739	0.0993285145013798
STT3B	STT3B	0.174876573542135	0.0398061856403731
OXSR1	OXSR1	0.256057924191526	0.00824780928008336
CTNNB1	CTNNB1	1.52700593235727	0.0197180795927075
CCRL2	CCRL2	0.152583080762393	0.0035180364626559
