Gene	LogFC	Pval
ISG15	ISG15	0.28193452567888	0.0607828760455144
AGRN	AGRN	1.02993737640412	6.1307244868739e-17
B3GALT6	B3GALT6	0.20114519924361	0.0395639303894898
INTS11	INTS11	0.16354320463073	0.00531597122802513
MXRA8	MXRA8	0.949653337735112	9.66515773827786e-18
MRPL20	MRPL20	0.261707768830908	0.00233187393192245
ATAD3A	ATAD3A	0.102478905211159	0.0491476413966446
SSU72	SSU72	0.227669163158289	0.00209033591089154
FAAP20	FAAP20	0.466825944595459	0.00379510466185613
SKI	SKI	0.314090867710612	0.000783801724166149
HES5	HES5	6.11912839247625	3.76440021414417e-11
MEGF6	MEGF6	0.159266501255385	0.000114796762962022
WRAP73	WRAP73	0.134629543452516	0.00147401858267814
LRRC47	LRRC47	0.127498101243104	0.0172078423894427
PHF13	PHF13	0.128776654533382	0.0614774545828486
CAMTA1	CAMTA1	0.697652432479301	2.89428149336599e-06
VAMP3	VAMP3	0.208896702465931	0.00294259658719697
PARK7	PARK7	2.48400122783956	3.46061350009238e-05
ERRFI1	ERRFI1	0.237161863958447	0.0258964698518441
CLSTN1	CLSTN1	0.126206677383455	0.0420445672006007
CTNNBIP1	CTNNBIP1	0.148732974063021	0.00485914541819119
SRM	SRM	0.429538621488722	3.06516257371711e-05
MAD2L2	MAD2L2	0.151502926149511	0.00570429813017799
PLOD1	PLOD1	0.269696989540122	0.00238652374018035
KAZN	KAZN	0.351022237659268	1.57600678535537e-08
TMEM51	TMEM51	0.381868220969792	0.000185632980108915
FBLIM1	FBLIM1	0.815354208062099	5.16861034373339e-17
CROCC	CROCC	0.123161137873592	0.0102300405496079
MFAP2	MFAP2	1.20370509817948	1.02266036887951e-09
SDHB	SDHB	0.13488574261598	0.0113125597753788
MRTO4	MRTO4	0.17641920791365	0.00337741377277342
AKR7A2	AKR7A2	0.446844534411737	3.47452582214181e-05
NBL1	NBL1	0.460346566236191	0.0902284170088023
CAMK2N1	CAMK2N1	0.661323600235505	7.29084934423313e-07
PINK1	PINK1	0.197902012585239	0.0027068190176924
HP1BP3	HP1BP3	0.182182908781952	0.00368355155843313
ECE1	ECE1	0.270964580687633	3.11224040811581e-09
HSPG2	HSPG2	0.134234134842747	0.00214718267056514
CDC42	CDC42	0.681704317645919	0.0438676049458251
KDM1A	KDM1A	0.105377330969071	0.00178640535545254
HNRNPR	HNRNPR	0.55409386799291	6.50255859378307e-05
ID3	ID3	24.0060861911526	6.27698708160705e-33
RPL11	RPL11	7.96846445628973	7.6195654520537e-13
PITHD1	PITHD1	0.137847744272169	0.0356213797388155
PNRC2	PNRC2	0.228962587740139	0.00185128916580911
SRSF10	SRSF10	0.626032311285979	0.0085276972420606
CLIC4	CLIC4	0.229250822266742	0.000516278543250587
SYF2	SYF2	0.494533348613658	0.0715796832380867
TMEM50A	TMEM50A	0.394890811516619	0.0417158031061508
SELENON	SELENON	0.123444325204318	0.0279320070232653
STMN1	STMN1	10.3554354994678	3.41084830682595e-15
HMGN2	HMGN2	2.56663868340191	3.30652288044729e-06
ARID1A	ARID1A	0.325213631690027	0.0500707421995698
NUDC	NUDC	0.599638723959255	0.00158131829674439
AHDC1	AHDC1	0.261401581037422	3.93192209166217e-12
DNAJC8	DNAJC8	0.324976495405496	0.031902218636167
TRNAU1AP	TRNAU1AP	0.143708861387189	0.0339568770187649
TAF12	TAF12	0.128239251327686	0.00492506313044492
YTHDF2	YTHDF2	2.21787407794885	7.0411112280176e-14
SRSF4	SRSF4	0.533897100443051	0.0345214150977184
SNRNP40	SNRNP40	0.326610999121201	0.000588211506366018
FABP3	FABP3	0.160622801966285	0.00020688405527463
TINAGL1	TINAGL1	4.51176723373459	1.45233533857713e-57
KHDRBS1	KHDRBS1	0.996242263612091	7.64405652090722e-07
TMEM39B	TMEM39B	0.114618379242041	0.0112475533773309
CCDC28B	CCDC28B	0.133132844226564	0.00689758501289167
EIF3I	EIF3I	0.828105478023956	0.000109018582457264
HDAC1	HDAC1	0.122065218287278	0.0886201738992015
MARCKSL1	MARCKSL1	7.52219286249346	1.48256680192599e-13
AK2	AK2	0.227906994357303	0.0511344575057903
ZNF362	ZNF362	0.106811986058753	0.0150521295425974
PHC2	PHC2	0.499197080298939	9.70060025959246e-07
GJA4	GJA4	7.08391596307497	8.34630515181597e-29
PSMB2	PSMB2	0.89020834579464	0.00177169246825017
AGO3	AGO3	0.188823009974244	0.0233829573347386
THRAP3	THRAP3	0.242680404543303	0.0791642117806085
EVA1B	EVA1B	0.446577623304607	3.71161665641824e-05
MEAF6	MEAF6	0.877834544417656	6.67408012517146e-06
YRDC	YRDC	0.234886980334401	0.000112268166016072
C1orf122	C1orf122	0.293914442820297	2.86472135471926e-05
SF3A3	SF3A3	0.22675904741892	0.00161115439553524
FHL3	FHL3	0.259100423264814	0.000314952462854209
UTP11	UTP11	0.159071046735766	0.00143747622800648
POU3F1	POU3F1	0.22758592073487	1.09550911372599e-09
AKIRIN1	AKIRIN1	0.412705156656733	0.000303894726029149
NDUFS5	NDUFS5	4.87517686326111	1.31176624217508e-08
HEYL	HEYL	0.723807636456188	2.06615510411118e-15
PPIE	PPIE	0.127288022932794	0.0517357604599067
CTPS1	CTPS1	0.128067914486929	0.00542545966621534
PPIH	PPIH	0.268165794976391	0.00074394450397643
YBX1	YBX1	4.35736097910377	9.64399826061431e-11
P3H1	P3H1	0.109131149758422	0.00232056776878877
SVBP	SVBP	0.383596209506157	5.1423546536556e-08
EBNA1BP2	EBNA1BP2	0.186417656359121	2.26853733179132e-05
HYI	HYI	0.301529073952219	2.5392641087447e-06
ARTN	ARTN	0.269211136986741	8.34604463891495e-07
B4GALT2	B4GALT2	0.311947893482468	7.82232816491752e-13
SLC6A9	SLC6A9	0.201900037026641	6.53809581945961e-09
ERI3	ERI3	0.220092957705537	0.00275542259085232
RPS8	RPS8	17.0131881305822	2.04548236624473e-14
UROD	UROD	0.283503123433048	6.89107172977094e-07
PRDX1	PRDX1	0.29369565865091	7.61520064373222e-06
NASP	NASP	1.00222112656887	9.63957018700808e-06
PIK3R3	PIK3R3	0.126861203481273	0.0063475240964194
LRRC41	LRRC41	0.371593393555243	1.56624225070773e-06
UQCRH	UQCRH	2.3853916891521	2.22906815980278e-06
ATPAF1	ATPAF1	0.231849350357096	8.04711283751015e-07
CYP4X1	CYP4X1	0.140419609035227	0.00114423632628207
CMPK1	CMPK1	0.189720287189686	0.0495070041437002
RNF11	RNF11	0.167270757171412	0.0019654473852408
OSBPL9	OSBPL9	0.550755118709814	3.25379365107932e-16
TXNDC12	TXNDC12	0.25168600823211	0.0377158433904369
BTF3L4	BTF3L4	0.404422399833213	2.50065989712331e-07
TUT4	TUT4	0.134975889697105	0.0508832428806007
GPX7	GPX7	0.197262072653617	0.000327436840882185
SCP2	SCP2	0.330696330045094	0.0291489964257121
MAGOH	MAGOH	0.502802707199387	0.0759377825149787
HSPB11	HSPB11	0.170299386797969	0.00101478543322967
LRRC42	LRRC42	0.119352741988803	0.0440675216524763
TMEM59	TMEM59	0.749806709873833	0.00164955970336585
MRPL37	MRPL37	0.130437662441691	0.0504349419711825
SSBP3	SSBP3	0.203092608881751	0.00318964616725196
JUN	JUN	89.0771050498287	9.49591245698214e-42
NFIA	NFIA	0.447383361292253	9.31784875691408e-06
USP1	USP1	0.229086107985734	1.11882238252053e-05
DOCK7	DOCK7	0.188305932895154	6.7322731600852e-05
LEPROT	LEPROT	0.769866112569006	5.84412729163702e-09
SERBP1	SERBP1	1.24416322073788	1.56892089579617e-09
GNG12	GNG12	0.19203799763836	0.00155203435172092
WLS	WLS	0.481899716670292	5.05509519116043e-12
SRSF11	SRSF11	0.732165509613448	0.0687966800951137
ZRANB2	ZRANB2	0.3211691331809	0.0173887607503114
TYW3	TYW3	0.156416464147362	4.02515425187474e-06
ACADM	ACADM	0.249529254839699	0.0803859064180803
RABGGTB	RABGGTB	0.12876363880151	0.0197513529073555
USP33	USP33	0.113867872384849	0.0485100339290062
NEXN	NEXN	0.41587732291707	1.54989017792308e-12
DNAJB4	DNAJB4	0.248553798572906	0.000145617884524666
ADGRL2	ADGRL2	0.124302587824184	0.00451980146737276
