Gene	LogFC	Pval
SAMD11	SAMD11	0.420597165309646	1.27494570908622e-06
MXRA8	MXRA8	0.842659619266191	2.42709077537622e-09
MMP23B	MMP23B	0.781931498190266	4.40492694263918e-05
RPL22	RPL22	4.73527475733033	0.0167411048758191
TMEM51	TMEM51	0.574241422734889	0.00027840568702584
HSPB7	HSPB7	0.468856117019005	9.96298861119843e-10
MFAP2	MFAP2	4.99798718347338	5.89712433243198e-09
CAPZB	CAPZB	1.34495231797995	0.000506547707825388
MINOS1	MINOS1	0.835436694484246	0.0130844405993509
NBL1	NBL1	6.10802053244701	1.82124775724626e-06
PLA2G2A	PLA2G2A	1.86193464873065	0.00561233823005753
UBXN10-AS1	UBXN10-AS1	0.197256424544416	0.000364052339486931
CAMK2N1	CAMK2N1	3.38046275888162	2.17957410828506e-08
PNRC2	PNRC2	0.135775328528362	0.057644268470832
MTFR1L	MTFR1L	0.125116452423979	0.0537659405752196
ARID1A	ARID1A	0.108258713876484	0.0385750589299075
TRNP1	TRNP1	0.43852066034376	3.28036984265481e-05
TMEM200B	TMEM200B	0.137665545424088	0.000744420883585757
ADGRB2	ADGRB2	0.111815555126573	0.00183929421693093
SYNC	SYNC	0.174008720844068	0.00604622001861093
C1orf122	C1orf122	0.73481748510833	0.0208316344969883
FHL3	FHL3	2.02680441443767	1.08252986211629e-08
NDUFS5	NDUFS5	1.52734714369245	0.00667657449841671
COL9A2	COL9A2	0.107379477931358	0.00103163096476726
RPS8	RPS8	30.9986727335526	0.00158608084496644
UQCRH	UQCRH	2.70982852859432	0.000478051336110462
GPX7	GPX7	1.263982802717	0.0388991925523714
ECHDC2	ECHDC2	0.211110598424409	0.00163025393594279
LRRC42	LRRC42	0.109636246112362	0.0212818753506644
WLS	WLS	1.21003709898453	0.00192216748204309
NEGR1	NEGR1	0.151863187120372	0.00031391610724343
NEXN	NEXN	5.60088663416427	1.57140889120716e-21
DNAJB4	DNAJB4	0.288877430226041	0.0154657788601576
TTLL7	TTLL7	0.185252559182459	2.98111826403262e-06
CYR61	CYR61	23.7331524528078	6.44060536506699e-20
LMO4	LMO4	5.6561487174392	2.94657045586481e-09
GBP1	GBP1	0.309833395103702	0.000605031863036978
GBP2	GBP2	0.144285096318914	0.00975695806196848
RPL5	RPL5	43.0121256188503	0.000161995590958143
FAM69A	FAM69A	0.132815891508819	0.00279369063575836
AGL	AGL	0.160668691048898	0.00289335814803812
GSTM4	GSTM4	0.147044167147164	0.00874544898624147
GSTM5	GSTM5	2.17436996189287	4.6465242115602e-07
GSTM3	GSTM3	1.91945945132116	1.43237251643498e-08
RAP1A	RAP1A	5.98960317800144	0.00199393590277926
KCND3	KCND3	0.113556843095388	0.000790085616371841
OLFML3	OLFML3	4.77745073810894	2.34383112307673e-20
NOTCH2	NOTCH2	0.281917517266584	5.81807990252307e-07
