Gene	LogFC	Pval
AL645608.8	AL645608.8	0.238883540173085	0.0183160428071236
HES4	HES4	18.2369179609248	0.00170960062661057
ISG15	ISG15	2.93098895489248	0.00174314190534824
AGRN	AGRN	3.49882043872516	7.65241601616058e-27
TNFRSF4	TNFRSF4	11.5408456640804	2.18563975950256e-17
ACAP3	ACAP3	0.249413809679965	0.00486285460834305
CCNL2	CCNL2	2.26506457831527	4.55169311103278e-16
VWA1	VWA1	4.36065350414847	0.0305730375307502
MIB2	MIB2	0.338810809718658	0.0830571047886006
CDK11B	CDK11B	0.315344273193282	0.000844576119721193
SLC35E2B	SLC35E2B	0.242673238629336	0.00661527844568131
NADK	NADK	0.208940970176664	0.00315122719619176
GNB1	GNB1	2.16121943583513	3.41326821644157e-08
PRKCZ	PRKCZ	0.148606595743361	0.019040246103174
SKI	SKI	1.5440740721958	0.0842673034377423
RER1	RER1	0.466737349051217	0.000196641918760295
HES5	HES5	3.32322799276045	3.74314913253373e-12
TNFRSF14	TNFRSF14	0.778222183764821	4.10530889910144e-06
FAM213B	FAM213B	0.309505278517635	0.00407658114877268
PRDM16	PRDM16	0.326286845313482	7.72962133125143e-08
MEGF6	MEGF6	0.240380930423033	0.00043823201751764
WRAP73	WRAP73	0.16494247646259	0.00172968071121862
TNFRSF25	TNFRSF25	1.49539092087966	2.08199141881692e-17
PLEKHG5	PLEKHG5	0.434035541333293	8.10082229467375e-13
CAMTA1	CAMTA1	1.26555164626419	0.00837332124364175
VAMP3	VAMP3	0.93632336935763	0.0124135417701975
ERRFI1	ERRFI1	0.229930699313615	0.0831522118319993
RERE	RERE	0.699479668994133	3.18183410124419e-06
ENO1	ENO1	4.28751692101692	0.000433607689764803
H6PD	H6PD	0.379798513072306	0.00761570214068994
CLSTN1	CLSTN1	0.581111144269553	6.63574521803776e-05
CTNNBIP1	CTNNBIP1	3.98315356454138	3.14656729181673e-07
RBP7	RBP7	9.02749131782168	4.06436205464264e-16
PGD	PGD	0.338470855044879	0.0332848044583211
DFFA	DFFA	0.157313785980224	0.0197476910471483
MTOR	MTOR	0.110239370250715	0.097530527044483
AGTRAP	AGTRAP	0.197043814624015	0.0782927879155472
TNFRSF1B	TNFRSF1B	2.44979318681327	1.63344207522717e-12
KAZN	KAZN	0.489572151587416	4.93661053765858e-09
DNAJC16	DNAJC16	0.118218090650202	0.00587859446241724
PLEKHM2	PLEKHM2	0.519931294659781	0.0140052098512361
FBLIM1	FBLIM1	2.5306823795904	0.00499616453080041
SPEN	SPEN	0.909635197281618	0.000546817420883227
EPHA2	EPHA2	2.36903682951349	2.95250667794475e-14
SZRD1	SZRD1	0.340704933689712	0.000882145931840827
NECAP2	NECAP2	1.59645197481674	2.56030150356146e-07
ATP13A2	ATP13A2	0.344194091595205	1.50907568187007e-06
RCC2	RCC2	1.59387749738742	5.13176031286259e-11
AKR7A2	AKR7A2	0.535450666056714	0.0158629769734975
HP1BP3	HP1BP3	0.773429476220253	0.0404625215451906
EIF4G3	EIF4G3	1.27160815739063	0.000178962658476869
ECE1	ECE1	3.18769238748298	1.07351392671797e-13
ALPL	ALPL	2.43325937665394	3.77152872827645e-08
USP48	USP48	0.893553850213206	0.0399194841711067
HSPG2	HSPG2	88.0849031150497	7.7788658279138e-42
CDC42	CDC42	13.2086919792788	0.00622991215847953
KDM1A	KDM1A	0.40235196092069	2.55737544996756e-05
LUZP1	LUZP1	4.31133985158665	3.29954644700212e-19
ZNF436	ZNF436	0.368192132602347	4.85514209071707e-09
ID3	ID3	44.3155524911744	1.04743601043349e-28
RPL11	RPL11	34.2678051398153	0.000941600102215551
ELOA	ELOA	0.147304814947552	0.0280223846047476
LYPLA2	LYPLA2	0.457960366636261	0.0126625843942553
GALE	GALE	0.134062008052981	0.0315634590642451
SRRM1	SRRM1	1.58639966529905	0.00542076262874802
SYF2	SYF2	1.96303085802964	0.0245425631673166
RSRP1	RSRP1	10.3548388086195	1.5687737275227e-10
TMEM50A	TMEM50A	5.46545337538352	2.1480659736853e-07
MACO1	MACO1	0.244328954746655	0.0110024825498158
LDLRAP1	LDLRAP1	0.631487683199618	4.27161963401407e-09
SELENON	SELENON	3.97826265304789	1.3855422765831e-15
STMN1	STMN1	61.2664900934324	0.000934270746937728
FAM110D	FAM110D	9.12038378205517	1.37824159340202e-23
SH3BGRL3	SH3BGRL3	8.63162515369483	1.52752857956068e-08
RPS6KA1	RPS6KA1	0.184399323528104	0.00259450620731106
WDTC1	WDTC1	0.138623956759387	0.0986128498672833
WASF2	WASF2	8.13480484132329	1.27896303713949e-07
AHDC1	AHDC1	0.369443104412396	0.0732872978292835
STX12	STX12	0.491987819476947	3.47737865780664e-05
EYA3	EYA3	0.126648949230138	0.0552995002105686
PHACTR4	PHACTR4	1.12229925445677	1.10870881478017e-06
TAF12	TAF12	0.228852805132833	0.0407131476681355
YTHDF2	YTHDF2	1.2149679684758	0.00123227605815032
SRSF4	SRSF4	4.27261766347182	3.33229424306275e-12
LAPTM5	LAPTM5	0.12314419156427	0.00222416439370877
PUM1	PUM1	1.68751162125212	8.36441215062557e-08
TINAGL1	TINAGL1	0.235758260399	0.00516785166541582
PTP4A2	PTP4A2	4.07693610304326	0.000188038465951655
KHDRBS1	KHDRBS1	3.03097267875426	0.0114464750651395
TMEM39B	TMEM39B	0.223526510385014	0.0414552954156156
TXLNA	TXLNA	0.312097156302232	0.000522735555719058
EIF3I	EIF3I	9.40206597771911	3.51938660486425e-06
FAM167B	FAM167B	3.18385735228117	1.5975514461906e-18
HDAC1	HDAC1	0.672348058156376	3.03071181662793e-06
MARCKSL1	MARCKSL1	42.476508895726	2.07731987172074e-17
YARS	YARS	0.177986707548445	3.3318337593393e-08
S100PBP	S100PBP	0.144781817018828	0.00128898999520075
RNF19B	RNF19B	0.148514319919816	0.093567751178979
AK2	AK2	0.318539113488207	0.000743024212287302
ZNF362	ZNF362	0.216266858220677	0.0167840761769262
GJA4	GJA4	34.9777645606092	3.23116706476502e-19
SFPQ	SFPQ	9.46673240034514	1.2597449959057e-08
KIAA0319L	KIAA0319L	0.287679395495348	0.0152371999549384
AGO3	AGO3	0.702874154837052	0.0207758449374981
THRAP3	THRAP3	0.922510650572436	0.0322563473421277
EVA1B	EVA1B	4.02720323130467	4.63334919334816e-06
ZC3H12A	ZC3H12A	0.332721294840836	7.24383599113077e-06
YRDC	YRDC	1.6225947694013	1.81331304213672e-09
ZMPSTE24	ZMPSTE24	0.119382602866131	0.0534953364003337
FOXJ3	FOXJ3	0.307819143206261	0.0405151338512482
TIE1	TIE1	15.6823458313476	1.43285417049135e-70
ELOVL1	ELOVL1	0.203993839548962	0.00637578053169482
HYI	HYI	0.628962584022003	0.00183702185224627
KDM4A	KDM4A	0.127356338339531	0.00133944726100114
DMAP1	DMAP1	0.132499005470185	0.0816314149064298
PLK3	PLK3	4.97193981365509	2.28456138626244e-10
NASP	NASP	2.81127947070259	0.000638943034125661
MKNK1	MKNK1	0.263329447299881	7.31305107811065e-05
MOB3C	MOB3C	0.136633657573928	0.0432116230845388
EFCAB14	EFCAB14	35.7539727502413	6.3876376085179e-09
TAL1	TAL1	0.242985499669915	5.02510930618053e-11
CMPK1	CMPK1	0.167838232289764	0.0312516877025267
OSBPL9	OSBPL9	0.217251493394402	0.00026198282710632
PRPF38A	PRPF38A	0.184542135989348	0.0686368959821901
YIPF1	YIPF1	0.13703414382328	9.53765717454505e-06
TMEM59	TMEM59	5.48244665697126	0.00879214949882346
SSBP3	SSBP3	0.779908459595337	0.000795375357959435
DHCR24	DHCR24	0.114172548784099	0.00137806605771406
USP24	USP24	0.237218947090037	0.0159143833485248
PLPP3	PLPP3	4.93001526384212	2.5179356359441e-18
MYSM1	MYSM1	0.251678808672116	0.00763239015122337
CACHD1	CACHD1	0.227973616047063	5.16336435835329e-07
JAK1	JAK1	1.07885840668278	9.98960063644277e-12
LEPR	LEPR	0.230131059059651	6.03110062017803e-05
