Gene	LogFC	Pval
VWA1	VWA1	3.86325035398182	1.29885362975582e-11
ATAD3A	ATAD3A	0.101953064289231	0.0319530711913995
SSU72	SSU72	0.14023051744623	0.063545750334234
FAAP20	FAAP20	0.557189981659316	0.00624597780198694
ACOT7	ACOT7	0.200651867401517	0.012349100521671
CASZ1	CASZ1	0.226074111696223	2.63925058318888e-05
TMEM51	TMEM51	0.534247696880972	0.0212728158468363
HSPB7	HSPB7	0.466319531089175	7.91167876803261e-09
MFAP2	MFAP2	1.61211376369335	0.0188685733724166
PLA2G2A	PLA2G2A	1.87415891465623	0.0339701180654671
UBXN10-AS1	UBXN10-AS1	0.194452708585332	0.000514277828458883
CAMK2N1	CAMK2N1	3.01950050289138	0.0415946167746233
PINK1	PINK1	0.168025214175442	0.0809041609838092
HSPG2	HSPG2	1.57007893548657	7.49511456502447e-20
ID3	ID3	3.37882153772074	4.85276489646589e-09
TRNP1	TRNP1	0.437135310588193	4.88201426980908e-05
SDC3	SDC3	0.39537187019405	0.00149875999575618
TINAGL1	TINAGL1	1.45183012958796	5.17689233361578e-15
PTP4A2	PTP4A2	0.118367602992882	0.00438240034624617
SYNC	SYNC	0.178074651411388	0.0173527488207545
AK2	AK2	0.169745125398429	0.042844321978145
ADPRHL2	ADPRHL2	0.114333488548605	0.0759449184349927
C1orf122	C1orf122	0.94032970911066	0.0543525714868975
FHL3	FHL3	1.94982936805285	0.00227239435470473
MYCBP	MYCBP	0.150288471274349	0.094482233782715
AKIRIN1	AKIRIN1	0.384027700357954	0.03784767796689
NDUFS5	NDUFS5	2.91999317826704	0.0352345197334384
MACF1	MACF1	4.31440691085305	3.01953852448174e-07
CAP1	CAP1	0.997411178380024	0.00603788940119883
GUCA2B	GUCA2B	0.110920251303711	0.0384880888489905
PTPRF	PTPRF	0.114880463528639	0.0173109950269972
UQCRH	UQCRH	4.56026296210542	0.030115221551447
GPX7	GPX7	0.884997260176172	0.0257136862520551
C1orf123	C1orf123	0.326375800908844	0.0378855292384094
AK4	AK4	0.336333165864372	0.00131906714661554
WLS	WLS	1.12362544222694	0.0334682604499655
NEXN	NEXN	0.226301507405646	5.10434813632237e-05
ADGRL2	ADGRL2	0.155395604909319	0.0530047607209676
LMO4	LMO4	3.89155609291869	0.00946237848483359
