Gene	LogFC	Pval
SAMD11	SAMD11	2.28969164098653	0.0222622466609117
HES4	HES4	3.77756229508756	0.093008340990112
ISG15	ISG15	8.4414338100856	5.57387525779554e-07
MXRA8	MXRA8	0.12694097943075	0.000158440971382441
MMP23B	MMP23B	0.411555752178821	0.00899706459894812
MEGF6	MEGF6	0.136484256636249	7.81253107829545e-05
ENO1	ENO1	0.401554969574381	0.0306007598565418
CLSTN1	CLSTN1	0.242464121660836	0.0853460558031811
PDPN	PDPN	0.228309042958548	7.11036559347758e-07
KAZN	KAZN	0.614992837114172	4.10542889951845e-07
FBLIM1	FBLIM1	0.543253486288333	8.20922764348129e-05
RCC2	RCC2	0.122501396249606	0.00522697932650768
NBL1	NBL1	2.98670588508722	2.04939489632353e-08
KDM1A	KDM1A	0.107168894383928	0.000326864439755706
HNRNPR	HNRNPR	2.94037033161098	0.0630698255119821
RPL11	RPL11	42.8613823863672	1.58669683866084e-08
CLIC4	CLIC4	0.96676940265434	0.00794665290160107
RSRP1	RSRP1	4.94708643486408	0.000112729389128816
TMEM50A	TMEM50A	0.610915559782458	0.00849204290854658
MAN1C1	MAN1C1	0.138357922420581	6.04261169734332e-08
SELENON	SELENON	0.243411905979777	0.064650964032031
SH3BGRL3	SH3BGRL3	0.820990901666939	0.00209838669183149
HMGN2	HMGN2	7.38474124446067	7.63883684852483e-07
PUM1	PUM1	0.135851740521177	0.0719170498822058
KHDRBS1	KHDRBS1	9.94489949274279	0.00391512717720557
EIF3I	EIF3I	0.126996916841161	0.0705768182624312
HDAC1	HDAC1	0.136699222443022	0.00190578846598215
MARCKSL1	MARCKSL1	1.91612857402837	6.87226292427985e-07
RBBP4	RBBP4	0.28130080959005	0.000938798412618244
SFPQ	SFPQ	3.94393085825785	0.000136723962590509
EVA1B	EVA1B	0.653636403244815	7.81685297336151e-06
P3H1	P3H1	0.156609079157679	0.0203721717854525
SLC2A1	SLC2A1	0.121259173881593	0.000843074809015734
RPS8	RPS8	34.861382376997	2.1738904165155e-05
PTCH2	PTCH2	0.108242630550592	0.00107274000964681
HSPB11	HSPB11	0.228655691729509	4.65715563083038e-05
TMEM59	TMEM59	10.1110651302454	1.31597057788809e-10
SSBP3	SSBP3	0.233288881875615	0.0225707621449174
PLPP3	PLPP3	1.07433619101043	4.69999394249906e-05
JUN	JUN	116.861357270687	0.000812549401117536
ITGB3BP	ITGB3BP	0.144530819134559	0.00978066458537055
JAK1	JAK1	0.215988510517959	3.84982815967641e-05
LEPROT	LEPROT	3.14753751306823	0.00211026316434587
GADD45A	GADD45A	0.383615553515435	0.011083125985705
PTGER3	PTGER3	0.721564812018048	0.0419388059537944
ZRANB2	ZRANB2	0.210158537013565	0.0307297161088396
FUBP1	FUBP1	0.142400989831196	0.000450338817550805
ADGRL4	ADGRL4	0.549615619900586	1.60342674198036e-19
SELENOF	SELENOF	1.01863204101701	7.16305143898876e-07
GTF2B	GTF2B	0.105430416205826	0.0515350829721709
GBP3	GBP3	0.100691516694144	0.00186022479594889
RPL5	RPL5	6.86138237672006	0.000156168922593598
MTF2	MTF2	0.486355842626882	0.0940098796666994
F3	F3	2.73722215336612	1.72388687200613e-17
VCAM1	VCAM1	0.504260678905267	4.01910086446673e-06
GNAI3	GNAI3	0.385174702596035	0.0140416363459531
CSF1	CSF1	1.12563769060376	1.65481583765419e-13
WNT2B	WNT2B	0.429134598206163	5.83402884048994e-05
SLC16A1	SLC16A1	0.101863203044347	0.0490402602330275
OLFML3	OLFML3	0.840804445731684	0.0873516660841635
PIAS3	PIAS3	0.132363026742887	0.0603945527463251
RBM8A	RBM8A	6.64493051634135	0.0225113172821211
PDE4DIP	PDE4DIP	0.206674754191866	0.00856993201519222
AC245297.3	AC245297.3	0.138590474394193	0.0325563244792366
ECM1	ECM1	0.343507158922047	4.25878155233483e-10
MCL1	MCL1	18.4228253907457	0.000602386296467938
CTSK	CTSK	1.98050572526116	2.1489936336508e-10
C1orf56	C1orf56	0.10325744556985	0.000195448878494069
CDC42SE1	CDC42SE1	0.109509095988777	1.70727858083102e-06
S100A10	S100A10	5.87470640426617	0.082605885646069
S100A14	S100A14	0.158974474438635	0.0632085125493858
S100A13	S100A13	6.43497107228496	0.00496283095161664
GATAD2B	GATAD2B	0.127558610583883	0.0325954421403343
SLC39A1	SLC39A1	0.224144013253613	0.00185279498498223
RPS27	RPS27	15.8114608921637	0.0427485882140306
ADAR	ADAR	0.577148774868873	0.0033505274544384
SSR2	SSR2	5.47647353759445	0.000226869921994011
LMNA	LMNA	22.5032420277527	0.047566986260908
SEMA4A	SEMA4A	2.36953293074171	0.00368878973944893
NES	NES	0.181975588347456	0.0377005312784176
IFI16	IFI16	8.21290309124596	4.62911741779668e-08
TAGLN2	TAGLN2	19.8583340686514	2.52207846593471e-08
PBX1	PBX1	0.38810705990106	0.000849384629376422
ALDH9A1	ALDH9A1	0.243006452684931	0.0065253735427999
QSOX1	QSOX1	0.49403489379974	1.94313445271913e-05
LAMC1	LAMC1	0.412859278800688	0.0125173207307666
CFH	CFH	0.337631864609381	1.28061279811277e-18
TMEM9	TMEM9	0.329848610551114	0.0284716800781848
NAV1	NAV1	0.150712130598586	0.0135345422797748
TIMM17A	TIMM17A	0.113537557790473	0.0093921697386905
RNPEP	RNPEP	0.106061922401979	0.00337122044608519
KDM5B	KDM5B	0.133552774707724	0.00657536790818659
PPP1R15B	PPP1R15B	0.196562319642085	0.000281016753534976
CD55	CD55	0.214619773875493	0.000494052841786558
CD46	CD46	0.246742983588073	0.00973808676062678
EPHX1	EPHX1	0.738721263740451	1.38376074246279e-12
