Gene	LogFC	Pval
SAMD11	SAMD11	0.401500520370126	0.0307548670432348
HES4	HES4	3.76579083948653	1.31789503003312e-12
ISG15	ISG15	0.494458937423552	0.0440970341889209
AGRN	AGRN	0.411803854001742	5.9106790538065e-06
ACAP3	ACAP3	0.312936594219953	0.00062766998773704
PRKCZ	PRKCZ	0.460046782545768	0.00120752075267994
FAAP20	FAAP20	1.2561095738698	0.00263619467919106
HES5	HES5	0.363591762678712	1.08644473937849e-05
MEGF6	MEGF6	0.284954404034645	1.87774972773941e-08
RPL22	RPL22	2.47125368513739	0.0193136940506069
CAMTA1	CAMTA1	1.78200527297783	0.00353550645218502
RERE	RERE	0.175831280687221	0.0279118520636531
ENO1	ENO1	8.02038156560647	0.000221306830510878
CLSTN1	CLSTN1	0.265822584829761	0.000490789202912517
KIF1B	KIF1B	0.957725488037139	1.10756252707678e-05
PGD	PGD	1.60618543303353	1.11821039723429e-05
FBXO44	FBXO44	0.111003501861358	0.00172560113688821
MAD2L2	MAD2L2	1.18010642250962	0.0144287848399798
CLCN6	CLCN6	0.102569432830412	0.0386428071491804
MIIP	MIIP	0.155604336782166	0.007917010709666
PDPN	PDPN	0.282796578928742	5.28890039541975e-06
KAZN	KAZN	0.178429957035295	1.0552334891152e-05
SPEN	SPEN	0.140184113319927	0.0424818957468257
EPHA2	EPHA2	0.166470248720743	0.000362633203071187
ATP13A2	ATP13A2	0.820767262353736	0.039722557080395
RCC2	RCC2	0.532125413312468	2.33459719944169e-07
CAPZB	CAPZB	6.81328683834177	0.000211190619136794
MINOS1	MINOS1	3.60772799724371	0.0487839213520874
USP48	USP48	0.153381224957802	0.0181905240922348
HSPG2	HSPG2	0.457523058219519	5.77926223626764e-17
KDM1A	KDM1A	0.269849492769675	1.55203100721682e-06
HNRNPR	HNRNPR	0.787979745901788	0.0356871489909346
RPL11	RPL11	38.4669736606351	1.45353151941402e-10
SRRM1	SRRM1	2.67057604246378	0.0225164616514054
RSRP1	RSRP1	3.58599995385013	0.00463647534059804
TMEM50A	TMEM50A	1.7133550725444	0.0231749917375227
MACO1	MACO1	0.146430468309648	0.0228229961963936
STMN1	STMN1	194.46661627486	1.22028614855587e-16
AHDC1	AHDC1	0.104560830997186	0.00629863065592823
YTHDF2	YTHDF2	0.730567194551711	0.00323016125682221
EPB41	EPB41	0.133236307754809	0.00660322614585527
PUM1	PUM1	0.253302865853904	0.0507579514775156
PTP4A2	PTP4A2	0.66628096684564	0.00883867416856022
KHDRBS1	KHDRBS1	0.586018105194973	0.00117331593863425
EIF3I	EIF3I	2.69323800364116	0.0421754158178201
MARCKSL1	MARCKSL1	26.6792194550447	2.61996883611909e-15
RBBP4	RBBP4	0.379448579926968	0.006544981237184
YARS	YARS	0.20402110064734	1.40486535354739e-06
SFPQ	SFPQ	2.66296753900123	6.71326692987536e-09
PSMB2	PSMB2	0.815951775093383	0.0565139220583904
AGO1	AGO1	0.131773534839834	0.0119891994574469
GRIK3	GRIK3	0.436555362648494	1.1294057694099e-14
AL031430.1	AL031430.1	0.105918192791915	1.9640292371331e-05
HEYL	HEYL	0.258192907663923	7.14474046253972e-10
BMP8B	BMP8B	0.118418637428927	2.6887758842138e-05
MFSD2A	MFSD2A	0.609224156501772	0.00011346106958539
COL9A2	COL9A2	0.195506685966949	0.00731779683493432
RIMS3	RIMS3	0.577107257886805	9.48819083426053e-07
PPCS	PPCS	0.121060295755917	0.0114384258372437
ATP6V0B	ATP6V0B	47.3878575999767	0.000178151871817475
RPS8	RPS8	40.4669736662537	0.00122234465395708
PRDX1	PRDX1	24.0742996668125	0.0227802835807101
NASP	NASP	1.45886482779468	0.00607082117492078
POMGNT1	POMGNT1	0.12957603020098	0.0600841285586266
ELAVL4	ELAVL4	23.2984203949011	1.09188526804761e-12
TMEM59	TMEM59	5.73329103176118	0.00788218720413522
SSBP3	SSBP3	0.430114354344828	0.0977541002879361
JUN	JUN	53.4669485602231	2.3702348649481e-09
FOXD3-AS1	FOXD3-AS1	0.440697119515286	5.72558372412202e-10
FOXD3	FOXD3	0.678501228846088	3.39896138247441e-17
PGM1	PGM1	0.329866460116973	0.00379098151142912
PDE4B	PDE4B	0.151232884023902	5.80075584859649e-07
SGIP1	SGIP1	0.87386155422099	5.88319293363059e-05
GADD45A	GADD45A	0.317667224278146	0.0517468587087639
ZRANB2	ZRANB2	0.209988663693867	0.0534865781652728
FUBP1	FUBP1	0.28587496494751	2.79006837631256e-05
IFI44	IFI44	0.242400733058104	0.0107921098157968
C1orf52	C1orf52	0.193092481090641	0.0288236230696462
SH3GLB1	SH3GLB1	0.401037460764063	0.0577059994371405
SELENOF	SELENOF	0.36674791412161	0.0126684257004771
GTF2B	GTF2B	0.20234538282212	0.0984755218645904
LRRC8B	LRRC8B	0.215249108607866	0.00323653651173879
ZNF326	ZNF326	0.526006142981646	2.01527456786394e-05
RPL5	RPL5	28.4669736662538	0.000281842197127993
MTF2	MTF2	0.277527505330243	1.51639299551039e-05
TMED5	TMED5	0.281405450764829	0.000167562787109878
FNBP1L	FNBP1L	0.325735847540944	0.0211146468844841
BCAR3	BCAR3	0.1271232817075	8.81083155383558e-05
ARHGAP29	ARHGAP29	0.166146528034583	0.00311147495846766
ABCD3	ABCD3	0.131996036872034	0.0467287795927515
F3	F3	0.124888007683436	1.02466031385148e-05
SLC44A3	SLC44A3	0.21529270281029	9.69712306398821e-06
CNN3	CNN3	0.52490516863904	1.96900893151477e-11
SNX7	SNX7	7.8747091644795	0.00862255998061275
PLPPR5	PLPPR5	1.61448904077933	6.10275120798035e-05
PRPF38B	PRPF38B	0.611620080898037	0.00214216543499836
GPSM2	GPSM2	0.140615896405585	3.95926429018788e-05
WDR47	WDR47	0.246946741265448	0.000386601101715076
CELSR2	CELSR2	0.141505932934566	1.6124418508477e-05
PSMA5	PSMA5	0.726793133983827	0.0500421991773828
LAMTOR5	LAMTOR5	13.2974699982481	0.0160340153151928
RHOC	RHOC	3.82457759535819	0.00312901141067871
TRIM33	TRIM33	0.196836659120356	0.0381828749601307
ATP1A1	ATP1A1	0.943312097537737	4.21887154650037e-05
RBM8A	RBM8A	0.73603191616656	2.73939153071848e-05
PDE4DIP	PDE4DIP	0.157755277377145	0.0558899727212691
APH1A	APH1A	0.40760889062274	0.0861631764007667
C1orf56	C1orf56	0.1078034217378	0.000472788797292875
CDC42SE1	CDC42SE1	0.228995070848637	3.74638140563552e-08
MLLT11	MLLT11	51.9367341507685	3.09219930383441e-12
CELF3	CELF3	1.4377774756866	2.48259342130396e-06
S100A10	S100A10	32.4316662102622	0.0235913002366515
S100A6	S100A6	112.458290116205	3.78544807712744e-17
S100A4	S100A4	0.320709162478489	1.30520629860691e-05
S100A16	S100A16	0.563470496278358	0.0295757643142733
ILF2	ILF2	6.70050646023163	0.000453455880711433
SLC39A1	SLC39A1	0.306504223577692	0.0017976090181944
JTB	JTB	0.617277611029256	0.0666147729761227
TPM3	TPM3	5.01324290941455	0.00113946093712658
ADAR	ADAR	0.141708568986588	0.0334656457196473
FLAD1	FLAD1	0.223622986258231	0.00242422629341603
DPM3	DPM3	0.685849901931417	0.0210625995994244
FAM189B	FAM189B	0.100188547229052	0.00773170503875752
FDPS	FDPS	25.7189837741104	0.0752096258827381
SYT11	SYT11	1.06514795311616	5.10755826822135e-13
LAMTOR2	LAMTOR2	0.579690264741597	0.0518184366848742
MEX3A	MEX3A	0.346174086488249	0.0027887463885844
LMNA	LMNA	21.1087870995649	0.098776321667132
PAQR6	PAQR6	1.06899143919149	1.62557166968585e-15
CCT3	CCT3	6.41440789273672	0.00301902792738188
BCAN	BCAN	7.9316872315415	2.85819416782032e-25
NES	NES	1.14190256482227	2.43295920111914e-14
IFI16	IFI16	2.12861559421937	5.80703905295082e-18
CADM3	CADM3	0.34554811763973	9.03929177128078e-05
TAGLN2	TAGLN2	17.7779477989671	5.20042483782398e-15
IGSF8	IGSF8	0.118753337034484	0.0896811235203296
ATP1A2	ATP1A2	0.17132006775208	2.49689892819599e-06
PEX19	PEX19	0.137853283097481	0.0148075111458063
PFDN2	PFDN2	15.3814912751112	3.28777736192626e-05
UFC1	UFC1	1.5208987312138	0.0029525064659016
MPZ	MPZ	6.55794222748034	1.62436712784147e-43
UHMK1	UHMK1	0.227974207993497	0.000640601608466122
MGST3	MGST3	46.3191218396762	0.024328805902265
TMCO1	TMCO1	1.37160105677047	0.00301184126305717
FAM78B	FAM78B	0.109690098181269	0.000297737789807528
MPC2	MPC2	0.134509353284677	0.0180942469109201
ATP1B1	ATP1B1	19.4426298363989	0.000932782828923134
CACYBP	CACYBP	4.26537190438665	0.0294688873754816
XPR1	XPR1	1.59543115893213	0.00431566652455788
RGS16	RGS16	0.757644219338261	0.034430022043308
MIR181A1HG	MIR181A1HG	0.117886999059338	0.000606712196542449
INAVA	INAVA	0.113982708164195	0.0297761076204497
NAV1	NAV1	0.45102845659955	6.44979598757945e-05
IPO9	IPO9	0.104576049352031	0.0527128022820334
SHISA4	SHISA4	0.242365190773049	0.000271935299397012
RNPEP	RNPEP	0.106681774622363	0.0454192455676955
ARL8A	ARL8A	5.19743484134847	3.10074916699971e-05
TMEM183A	TMEM183A	0.312093444847292	0.00379393739430332
PLEKHA6	PLEKHA6	0.187748767833054	0.00651277708094018
PPP1R15B	PPP1R15B	0.417573621429781	0.0153273865286443
