Gene	LogFC	Pval
SAMD11	SAMD11	0.452942571025209	2.55651981251583e-07
MRPL20	MRPL20	2.46786576881757	0.080141758816008
VWA1	VWA1	4.24724932247034	1.35688343784871e-20
MMP23B	MMP23B	0.847087945497117	0.00194304010021259
FAAP20	FAAP20	0.294653396423364	0.0588345672306734
PARK7	PARK7	0.739060529899943	0.062855291318371
CASZ1	CASZ1	0.252422499633988	1.52803802636559e-06
HSPB7	HSPB7	0.446472201689244	3.95924520440275e-08
MFAP2	MFAP2	5.42583952738188	0.0184652360749138
CAPZB	CAPZB	2.99221247244655	0.01089308305682
MINOS1	MINOS1	1.55767561833676	0.0623208522903619
NBL1	NBL1	6.04000081487268	0.00214911424240308
PLA2G2A	PLA2G2A	1.8806284675131	0.00998210542302362
UBXN10-AS1	UBXN10-AS1	0.197256424544416	0.000364052339486931
CAMK2N1	CAMK2N1	2.9559425791578	0.0588520023754778
HSPG2	HSPG2	1.70364003883024	5.39175132684064e-23
EPHB2	EPHB2	0.108803315217998	0.00228112038124698
SRSF10	SRSF10	0.281708963159108	0.00408810553996575
CLIC4	CLIC4	0.633622577871795	0.00147424753413953
STMN1	STMN1	8.5885984115737	0.000524941879384014
HMGN2	HMGN2	0.142219737827614	0.00319878598292742
SDC3	SDC3	0.49065387462566	4.97267690360165e-06
COL16A1	COL16A1	0.311553325079584	5.82794433674406e-05
ADGRB2	ADGRB2	0.108534799694944	0.00734822531064707
SYNC	SYNC	0.146046996703471	0.00497793546668755
ADPRHL2	ADPRHL2	0.127058179765522	0.0542577616541766
FHL3	FHL3	2.15975088878205	9.92490537616784e-05
AKIRIN1	AKIRIN1	0.156557103413838	0.00214266366875981
MACF1	MACF1	4.42292406932321	3.55410360425935e-07
PPCS	PPCS	0.136329618802084	0.0526128908079395
PTPRF	PTPRF	0.114927115259921	0.0214420033236851
RPS8	RPS8	26.4963896121295	0.000503491747381531
EFCAB14	EFCAB14	0.134230260061236	0.030601797709319
CMPK1	CMPK1	0.169081723200281	0.0587696098452802
GPX7	GPX7	1.71732524744761	0.076923888701066
ECHDC2	ECHDC2	0.211050911041453	0.014511311020976
C1orf123	C1orf123	0.392775401390103	0.0540721103924884
PLPP3	PLPP3	0.160509782680385	0.0902006193141859
AK4	AK4	0.3357871202029	0.000820797474396212
SRSF11	SRSF11	1.56484735357355	0.0636513681088968
PTGER3	PTGER3	0.469497911995347	6.54242720156145e-05
NEGR1	NEGR1	0.199327832210194	0.00071120179114504
NEXN	NEXN	6.51124910512838	8.27488274072988e-13
DNAJB4	DNAJB4	0.175539802781893	0.0101116992190903
ADGRL2	ADGRL2	0.188439809583336	0.0276165222057845
PRKACB	PRKACB	0.14120283352316	0.0105667051331951
CYR61	CYR61	42.1293484115332	0.0640457396309103
LMO4	LMO4	5.10676665209001	0.00303385282629653
GBP2	GBP2	0.275889027681425	3.36969606469567e-05
TGFBR3	TGFBR3	0.476646026779144	0.00181349827139679
RPL5	RPL5	44.5593995216388	0.0934313731546108
FAM69A	FAM69A	0.101381131698122	0.0732725039013891
PTBP2	PTBP2	0.100304694184401	0.0229084477619213
RAP1A	RAP1A	7.38703702740106	3.02073500688307e-07
KCND3	KCND3	0.124333299853516	0.000890159090227691
RHOC	RHOC	2.46776680026928	0.000162397259727579
OLFML3	OLFML3	5.32407112380775	1.43690652918926e-06
TSPAN2	TSPAN2	0.598991768604611	2.79685091505611e-09
PTGFRN	PTGFRN	0.181275606461596	0.00218024090815271
MAN1A2	MAN1A2	0.106804615113086	0.080302560186181
NOTCH2	NOTCH2	0.175784163642992	0.0169226826020521
LINC00623	LINC00623	0.103197047878146	0.0644477230888248
PLEKHO1	PLEKHO1	1.77647990195692	0.0500432599618451
ADAMTSL4	ADAMTSL4	0.141219413609078	0.00526113194493476
SNX27	SNX27	0.107084764099376	0.0561949169319296
S100A10	S100A10	6.26575593501279	1.91120139001341e-06
S100A6	S100A6	4.40456798906722	0.0797877750091835
S100A16	S100A16	0.385252696283949	0.0112846617550308
S100A13	S100A13	2.79116095246655	0.0461505239250835
PBXIP1	PBXIP1	0.69353259951354	0.00151298598555578
THBS3	THBS3	0.105320901627136	0.0137416309796333
SSR2	SSR2	0.987939290426741	0.00433670197208366
CRABP2	CRABP2	0.901634373917561	1.65291582623566e-06
RGS5	RGS5	1.28119501977529	1.26621185333083e-11
PBX1	PBX1	1.08186388779566	4.63389035994299e-05
SFT2D2	SFT2D2	0.104462863527574	0.000821635791154705
ATP1B1	ATP1B1	6.59130667522681	1.25912691174156e-17
PRDX6	PRDX6	3.509900456499	0.0925414552167719
CACYBP	CACYBP	0.278462293903129	0.0261885614723827
PHLDA3	PHLDA3	0.649286010274753	0.0274010131135162
CSRP1	CSRP1	27.291669580063	4.20202727080375e-28
LMOD1	LMOD1	0.789042704479656	9.85678420155293e-08
PPP1R12B	PPP1R12B	1.61868670506897	8.6386934284342e-15
PRELP	PRELP	0.156463386539974	0.0343696114359875
ATP2B4	ATP2B4	0.628771996148209	2.51318854787725e-06
SERTAD4-AS1	SERTAD4-AS1	3.80969021104548	1.12156391142435e-09
SERTAD4	SERTAD4	0.164787488733992	0.000111161558685058
HLX	HLX	0.329066063634764	0.00858325673719355
AIDA	AIDA	0.147337440148233	0.0120697612738295
LBR	LBR	0.788645336503831	0.000962950354035174
LEFTY2	LEFTY2	0.124485445294888	0.0924975454078885
H3F3A	H3F3A	3.15007098643946	0.000940723333826037
ARF1	ARF1	1.16923811524365	8.02611162367952e-05
IRF2BP2	IRF2BP2	0.594254977992527	6.12000266244003e-07
GREM2	GREM2	8.71785671436521	6.01371583946282e-18
COX20	COX20	0.450849926329468	0.00805308040017493
RPS7	RPS7	4.5831012462776	7.78528752769136e-10
ID2	ID2	1.1471111209312	7.08175087846455e-05
YWHAQ	YWHAQ	4.3517613656457	0.000307030317493333
OSR1	OSR1	1.99613445637733	8.42731263349865e-11
