Gene	LogFC	Pval
NOC2L	NOC2L	0.102797015016445	0.0522516423617353
HES4	HES4	7.26479016830371	1.92749820625974e-38
ISG15	ISG15	0.600388949118922	7.4618817055413e-05
AGRN	AGRN	0.884032800739172	2.80433322504121e-07
B3GALT6	B3GALT6	0.170077544201596	0.0840091177263852
RER1	RER1	0.167909796963729	0.011899413650477
HES5	HES5	6.11912839247625	3.76440021414417e-11
MEGF6	MEGF6	0.14327529464012	0.000528509681082468
WRAP73	WRAP73	0.123462553384341	5.26986812452089e-05
ERRFI1	ERRFI1	0.104598075637948	0.0867047787693213
ENO1	ENO1	1.03564319856049	0.00281692334996083
PGD	PGD	0.210582361593298	7.19431557659174e-05
SRM	SRM	0.125856614576442	0.0311368572689259
MTHFR	MTHFR	0.284444099085052	1.13398167396912e-05
KAZN	KAZN	0.335031031044002	4.49579618070284e-07
FBLIM1	FBLIM1	0.315424966253335	0.00682951721129731
EPHA2	EPHA2	0.1328312741369	0.0185504699646049
MRTO4	MRTO4	0.15503958345534	0.00336729300645839
HNRNPR	HNRNPR	0.19836419059749	0.0075521290407418
ID3	ID3	2.40705444245089	2.3909052409068e-33
RPL11	RPL11	5.41029814701351	1.88499265435093e-15
SRRM1	SRRM1	0.533627082873245	0.00645627628911941
SYF2	SYF2	0.311352056159527	0.0122601385543543
RSRP1	RSRP1	1.61401309789145	5.9027223814205e-10
TMEM50A	TMEM50A	0.392700946266115	3.55991572841419e-05
SH3BGRL3	SH3BGRL3	0.716936402205389	0.0493849571105839
SESN2	SESN2	0.126580542924248	0.000435924181904101
SNHG12	SNHG12	0.37848245148726	0.000568000844981978
YTHDF2	YTHDF2	1.41518957377565	0.000121388767853657
PUM1	PUM1	0.152767392212765	0.0727706412599851
FABP3	FABP3	0.175619741415616	0.00237893799443031
TINAGL1	TINAGL1	2.96029249490875	1.0584592653425e-09
KHDRBS1	KHDRBS1	0.347943595995001	0.000246986500321719
EIF3I	EIF3I	0.732386357982535	1.59832660155008e-05
MARCKSL1	MARCKSL1	5.66489829020588	2.54718094739593e-14
RBBP4	RBBP4	0.161997406665272	0.0143594718761391
PHC2	PHC2	0.208961150639966	0.00782201454136285
GJA4	GJA4	7.07747090305317	4.7718391138721e-29
SFPQ	SFPQ	1.54865641447586	4.50235251137623e-11
EVA1B	EVA1B	0.39277677691202	1.31238725338253e-08
ZC3H12A	ZC3H12A	0.154523501237821	0.00196121261088736
YRDC	YRDC	0.204567746610855	6.22829768522967e-06
POU3F1	POU3F1	0.184685715881237	0.000176858849313497
PABPC4	PABPC4	0.370315187816301	0.00225757974476007
HEYL	HEYL	0.723807636456188	2.06615510411118e-15
YBX1	YBX1	0.751340158452303	3.52144429618165e-05
SLC2A1	SLC2A1	0.136723228608338	0.000771802598674705
ARTN	ARTN	0.265374595271484	1.88119640003173e-07
ATP6V0B	ATP6V0B	0.619268580994718	0.00662591880619806
SLC6A9	SLC6A9	0.175939709235874	3.85203307154209e-05
PLK3	PLK3	0.321117024260414	0.00145122976224021
UROD	UROD	0.118642707519727	0.0197982676587029
PRDX1	PRDX1	1.17286276123948	0.00426190165462692
NASP	NASP	0.737356785634538	0.0964874939801775
MKNK1	MKNK1	0.103067619407168	0.0115782818076463
CYP4X1	CYP4X1	0.145236077949364	2.50598869037643e-05
OSBPL9	OSBPL9	0.456237804272933	6.23709360422615e-13
HSPB11	HSPB11	0.111422495131993	0.00402004354627319
JUN	JUN	38.5189135328831	1.45529137261857e-13
L1TD1	L1TD1	0.110320453010922	1.46144963388127e-05
USP1	USP1	0.147584884755043	5.53762629354583e-05
JAK1	JAK1	0.13918201346763	0.00295896594460703
GADD45A	GADD45A	0.30694423563649	0.00112951299134601
ZRANB2	ZRANB2	0.313738507702928	0.00248794045228897
FUBP1	FUBP1	0.239035869852178	0.000107431869927199
C1orf52	C1orf52	0.313099342504067	0.00695088269689297
SH3GLB1	SH3GLB1	0.142579096356602	0.0242255607148576
SELENOF	SELENOF	0.141304503522371	0.0271981535424999
GTF2B	GTF2B	0.91369198538209	1.66669360248042e-05
CDC7	CDC7	0.115202963763191	0.00814604896033032
RPAP2	RPAP2	0.106243328055969	0.052141029861046
MTF2	MTF2	0.198534637435207	0.000586667551669231
FNBP1L	FNBP1L	0.10170666955774	0.0463154247051568
ARHGAP29	ARHGAP29	0.732328232010953	7.65371711637713e-22
CNN3	CNN3	0.319410283634772	3.81987122097951e-05
VCAM1	VCAM1	0.154550174941416	0.010067808942545
AC104506.1	AC104506.1	0.176141648978191	3.61173971109901e-05
SLC25A24	SLC25A24	0.194465601333632	0.00801492402232865
PRPF38B	PRPF38B	0.43054246503716	0.00114987769058276
GNAI3	GNAI3	0.461821225653887	7.20924669710348e-06
CSF1	CSF1	0.359261234584837	1.23735084064004e-06
KCNC4	KCNC4	0.231836807432774	1.73657301452349e-08
NGF	NGF	0.820678258292449	4.7208285633002e-12
ATP1A1	ATP1A1	0.811859552587009	5.78827504216651e-08
RBM8A	RBM8A	0.9351773349938	1.64667321618415e-06
GJA5	GJA5	0.131699471131343	0.0187548548156374
ANP32E	ANP32E	0.120452678187103	0.00106069379182333
C1orf54	C1orf54	0.209166961436729	0.000100028913401397
MCL1	MCL1	4.61366495309465	1.41204232241965e-11
CDC42SE1	CDC42SE1	0.12358204077589	0.000588513512104598
S100A4	S100A4	3.1174120589554	0.00420754930548734
ILF2	ILF2	0.880592301595957	7.27959841201106e-05
GATAD2B	GATAD2B	0.178445425602615	0.00111688932356247
SLC39A1	SLC39A1	0.352416330627923	9.3132361442731e-07
RAB13	RAB13	0.330158651756767	0.0510099995593979
TPM3	TPM3	0.264725822069394	0.00216760543928028
ADAR	ADAR	0.230980080755076	0.0233032761055508
EFNA1	EFNA1	0.545751410951865	0.00072845558493934
ARHGEF2	ARHGEF2	0.160227740230613	0.00305050452722289
UBQLN4	UBQLN4	0.113135597756009	0.000979753806198815
MEX3A	MEX3A	0.295155134995242	0.0849263071001058
LMNA	LMNA	11.0406550680056	0.0150868948509442
SEMA4A	SEMA4A	0.300445359086021	0.0404044391468981
SLC25A44	SLC25A44	0.29720666839666	7.44464888029945e-05
NES	NES	0.326424190080777	4.53802013363392e-05
PEAR1	PEAR1	0.275450443890346	3.66971630963914e-09
KIRREL1	KIRREL1	0.297627595537458	0.000109294037874358
IFI16	IFI16	0.353308376489831	3.69358763217041e-07
TAGLN2	TAGLN2	12.4289213860604	3.93042967927533e-29
ATP1A2	ATP1A2	0.116295380412097	0.00309078181556775
VANGL2	VANGL2	0.105336569202045	0.00356463314100943
PFDN2	PFDN2	0.2296545292568	1.58109991540627e-05
B4GALT3	B4GALT3	0.18485715099196	0.00323652896456842
ADAMTS4	ADAMTS4	1.31099082154421	3.00065456621869e-17
NDUFS2	NDUFS2	0.245108237859576	0.000106101389686804
OLFML2B	OLFML2B	0.481059073605893	0.000101802756240251
MGST3	MGST3	9.29402348376023	1.68102068480195e-08
RCSD1	RCSD1	0.334101407918574	1.19465344288291e-08
KIAA0040	KIAA0040	0.27269298219805	1.44415807382629e-05
GLUL	GLUL	1.39188412775667	0.000234334015637902
RGS16	RGS16	23.9441266308324	9.33843285879054e-54
ARPC5	ARPC5	2.0619538238633	0.0309975184478111
IVNS1ABP	IVNS1ABP	0.118584998214977	0.0498831594684091
TPR	TPR	0.197205391033057	0.000530259601111221
ODR4	ODR4	0.101269117037779	0.00228260919391543
CFH	CFH	0.118833019880791	6.80217146497329e-06
TMEM9	TMEM9	0.17829441942319	0.0063789269155159
IPO9	IPO9	0.1872745082522	0.0377472188479482
TIMM17A	TIMM17A	0.237973743589623	0.000968323646090415
RNPEP	RNPEP	0.152888684307073	0.00931414281134194
BTG2	BTG2	6.73015987637143	1.75161854632124e-14
SNRPE	SNRPE	0.663845660175696	0.0232989584757811
SOX13	SOX13	0.134381351104207	0.000132409126301039
PPP1R15B	PPP1R15B	0.279667041998107	8.67077457879394e-06
NFASC	NFASC	0.246609563462077	0.000156931671419059
CDK18	CDK18	0.17779396210186	1.19924562074225e-08
