Gene	LogFC	Pval
SAMD11	SAMD11	2.71028880629618	1.16348853607604e-25
ISG15	ISG15	5.51044485519312	0.0222996720035505
MXRA8	MXRA8	0.969600598696941	4.64727155171431e-43
MMP23B	MMP23B	1.19348725036909	7.7969145885122e-21
RPL22	RPL22	7.72328715214009	2.78020139370145e-08
PARK7	PARK7	0.55144115053028	0.0761774276709764
PDPN	PDPN	0.268823264691383	8.48671285106369e-11
MFAP2	MFAP2	3.38587341978003	1.15933759879708e-33
NBL1	NBL1	9.09472641753423	6.16900700390906e-49
CAMK2N1	CAMK2N1	0.360962255990237	2.2656578694923e-09
RPL11	RPL11	8.5935772465519	0.000534118722484063
HMGN2	HMGN2	4.41623279585328	2.15026733366571e-13
YTHDF2	YTHDF2	2.44797242381912	0.0187760547571801
COL16A1	COL16A1	0.303485986612539	2.8288152806487e-10
RPS8	RPS8	65.8600551105497	1.81469147539966e-24
ECHDC2	ECHDC2	0.144837671543054	1.35708645110686e-08
HSPB11	HSPB11	0.203228339029833	1.60185578813006e-08
TMEM59	TMEM59	4.62861847327411	2.2938134444285e-06
NFIA	NFIA	2.01124694332677	0.00011448144134608
LRRC7	LRRC7	0.113558286215382	7.2467873603874e-07
PTGER3	PTGER3	0.76332800454728	6.06645259616728e-10
NEGR1	NEGR1	0.210122397701593	2.15366977215297e-14
NEXN	NEXN	5.37458512675863	1.78123073883883e-30
TTLL7	TTLL7	0.130490245942575	0.00194168646014948
DDAH1	DDAH1	0.148109244629537	0.00268352178180904
CYR61	CYR61	5.59453566590518	1.91489993532152e-36
SELENOF	SELENOF	0.508458537516126	1.98277577568215e-05
LMO4	LMO4	1.76459262452052	1.47246474570492e-08
GBP1	GBP1	6.40524088429226	9.81892583438885e-12
GBP4	GBP4	3.39479042274685	0.000328491547530732
RPL5	RPL5	49.8735079955704	2.50691188169436e-30
F3	F3	2.5982229771771	3.36305350257202e-14
EXTL2	EXTL2	0.138875779485284	1.93101409686492e-06
GSTM5	GSTM5	0.361861804564532	1.77763291017803e-19
CSF1	CSF1	0.587887649371463	3.92731282305775e-05
OLFML3	OLFML3	5.61825518384063	3.19594347815149e-58
NOTCH2	NOTCH2	0.311691442116913	7.81061178520863e-08
LINC00623	LINC00623	0.103959433880715	2.25328951721688e-07
AC245595.1	AC245595.1	0.181478821796584	3.36904751222832e-09
PDE4DIP	PDE4DIP	0.288773770147385	4.04080390415976e-14
AC245297.3	AC245297.3	0.133404327503558	1.47903180054678e-05
ECM1	ECM1	0.259121733850255	5.77459289163223e-08
CTSK	CTSK	2.09429825467183	5.57251483147481e-24
SELENBP1	SELENBP1	0.161855482792896	4.83618493261554e-06
S100A13	S100A13	7.37863596030237	0.0665542825831145
SSR2	SSR2	2.61774104240209	2.07980028344861e-07
SEMA4A	SEMA4A	1.55567189081088	1.10382022344247e-06
IFI16	IFI16	1.7113998489463	4.50178888377983e-18
DDR2	DDR2	0.284099923133837	1.03844646558293e-10
PBX1	PBX1	0.285101883172539	0.000544576587069077
TPR	TPR	2.75481904597501	0.033779380605637
PTGS2	PTGS2	0.967613691574812	0.000121856753165267
RGS2	RGS2	0.113364273247847	0.0583165171724716
PHLDA3	PHLDA3	0.125597199664509	0.000374122813829135
CSRP1	CSRP1	1.96960840445158	2.41349522322214e-05
LMOD1	LMOD1	0.13652464361943	4.60366759075185e-07
PPP1R12B	PPP1R12B	0.300179796985154	2.30654361229102e-05
FMOD	FMOD	0.102009236187626	0.000273057086859741
NENF	NENF	0.182666785913008	3.71352026020159e-11
ENAH	ENAH	0.553758749085237	3.77089410797938e-05
EPHX1	EPHX1	0.27916800514228	5.98027694875618e-06
NID1	NID1	0.563569581553831	2.01850333962519e-18
GREM2	GREM2	1.16630704418603	2.93997855206518e-08
DESI2	DESI2	0.830113952818775	0.073998916091797
SH3YL1	SH3YL1	0.419371536766709	0.0360081972917155
IAH1	IAH1	0.125204251695144	0.000998620716551228
PQLC3	PQLC3	0.129456590289113	1.59835091995643e-06
KCNS3	KCNS3	0.635969559183844	8.37336124126258e-19
LAPTM4A	LAPTM4A	0.574912607171612	5.47038656569584e-16
EMILIN1	EMILIN1	5.48244682247575	7.79793675025279e-89
PKDCC	PKDCC	2.6926222742357	9.57114647420667e-34
HAAO	HAAO	0.125825008415769	4.9151800675589e-06
PLEKHH2	PLEKHH2	0.4532479801479	3.49525656346292e-18
RPS27A	RPS27A	11.5970272380113	4.64498259215289e-28
