Gene	LogFC	Pval
SAMD11	SAMD11	2.63402880953366	9.0268406932536e-29
ISG15	ISG15	8.11094354215594	3.33374498594997e-14
MEGF6	MEGF6	0.126424007796775	2.03962066570367e-08
PLOD1	PLOD1	0.303633309673696	9.64604295799349e-20
KAZN	KAZN	0.279931335474824	2.25662845139031e-05
NBL1	NBL1	7.47128767263416	4.03480084612398e-49
CDC42	CDC42	0.737846474797681	1.36013533138202e-10
CLIC4	CLIC4	1.65446090809052	3.74957832339266e-15
SYF2	SYF2	0.128474349969916	9.96295565552587e-05
RSRP1	RSRP1	1.64430998907923	0.000420259436186479
MAN1C1	MAN1C1	0.121269162274794	3.69284453484659e-10
SELENON	SELENON	0.194282518427935	7.22361370763724e-06
YTHDF2	YTHDF2	0.646709927607272	0.0443272661835875
PHC2	PHC2	0.164270210810419	2.6813486089479e-11
MAP7D1	MAP7D1	0.615371357431758	0.00625531673582594
EVA1B	EVA1B	0.893759053352016	2.74874126560543e-20
FHL3	FHL3	0.490210233629926	6.10833728520837e-20
PPT1	PPT1	0.139980244373646	2.80148607602071e-12
P3H1	P3H1	0.28756022029292	8.56323257399441e-21
GPX7	GPX7	0.769774435173102	5.44436903602063e-09
PLPP3	PLPP3	0.878271097257689	2.2628620647696e-08
JUN	JUN	14.6371709054886	3.0979421137948e-103
NFIA	NFIA	1.5969451094442	4.20051507825044e-27
LEPROT	LEPROT	3.46948664510081	2.52247643010533e-30
LRRC7	LRRC7	0.114413226104031	2.15449732961424e-08
PTGER3	PTGER3	1.18821036244966	4.80941530089067e-18
NEGR1	NEGR1	0.253662655545058	2.86989067378764e-15
NEXN	NEXN	6.55659139483062	4.52217446248715e-33
DNAJB4	DNAJB4	0.134197603107313	1.43320318971126e-11
ADGRL4	ADGRL4	0.501336512531186	4.30131349331399e-16
TTLL7	TTLL7	0.154626531356329	7.59495540877236e-06
LMO4	LMO4	0.910859774242943	3.92542789058451e-13
GBP1	GBP1	6.44837643222946	2.9879087262352e-17
TGFBR3	TGFBR3	0.396897924397307	2.7971877085232e-17
F3	F3	2.10627670165515	1.46099163281365e-07
CNN3	CNN3	0.710392211421555	2.4551543412811e-35
VCAM1	VCAM1	0.528134098320677	3.31001026126476e-15
EXTL2	EXTL2	0.237454294912253	1.87013789992875e-13
GSTM5	GSTM5	0.367981098253644	7.34998157382634e-22
CSF1	CSF1	1.03007095566688	1.71919497379708e-23
WNT2B	WNT2B	0.281305204100058	1.95579583408777e-08
SLC16A1	SLC16A1	0.158831724819918	0.00710504601002403
SLC16A1-AS1	SLC16A1-AS1	0.108952824240421	1.61061400872008e-05
OLFML3	OLFML3	4.66041261233456	2.25807993334569e-74
NOTCH2	NOTCH2	0.151094986124915	2.01350684429715e-05
PIAS3	PIAS3	0.299512523681613	3.65835220205242e-12
RBM8A	RBM8A	2.58984031837004	6.27888078469445e-05
LIX1L	LIX1L	0.106620688441508	2.92647656944258e-08
PDE4DIP	PDE4DIP	0.206750825277403	4.496100211321e-11
VPS45	VPS45	0.106237713220987	3.73299676713084e-06
PLEKHO1	PLEKHO1	0.251091448978555	2.92410752025236e-12
ECM1	ECM1	0.274083580583524	9.24611458777058e-13
CTSK	CTSK	1.96464627491132	5.15685901272891e-29
MLLT11	MLLT11	0.152791886436233	2.07634743335623e-10
S100A13	S100A13	4.72635125069691	1.60482032961365e-16
GATAD2B	GATAD2B	0.13806803721031	2.05769687198849e-06
NES	NES	0.258831516239637	1.04416935471945e-13
IFI16	IFI16	7.75924825709154	1.55832688737299e-16
TAGLN2	TAGLN2	4.42548846052352	0.00018200478267372
DDR2	DDR2	0.270231388234444	1.38899451565469e-16
PBX1	PBX1	0.263325697131135	6.37148631745947e-10
DNM3OS	DNM3OS	0.125424973370714	6.8829690581028e-10
TOR3A	TOR3A	0.11881762411724	6.17909936774073e-06
IER5	IER5	1.06361008878868	0.0311964004994014
LAMC1	LAMC1	0.490933574550564	2.99754734324288e-21
TPR	TPR	3.97872354219815	2.09921242330937e-06
PTGS2	PTGS2	1.059191640227	1.31151387695803e-09
TROVE2	TROVE2	0.180305322651172	6.02519595415427e-12
TMEM9	TMEM9	0.281684394779367	8.19053210608239e-15
PHLDA3	PHLDA3	0.179175354793958	2.78452310878753e-10
NAV1	NAV1	0.163178466982203	5.86510942362997e-08
SHISA4	SHISA4	0.110632749160552	9.54241561290554e-07
LMOD1	LMOD1	0.146027215751259	1.44399285138588e-08
PPP1R12B	PPP1R12B	0.301855733887904	3.58857882277322e-08
ATP2B4	ATP2B4	0.11648614993858	1.59906556186091e-10
ENAH	ENAH	0.815635994421685	2.1734277490168e-21
EPHX1	EPHX1	0.84606176349315	8.6920631450554e-26
H3F3A	H3F3A	6.26206060431434	6.46622348675216e-39
ARID4B	ARID4B	0.724535243884523	2.80118280398504e-09
NID1	NID1	2.4420884900004	8.18818779194569e-68
GREM2	GREM2	1.17476735283869	2.48622661908226e-10
DESI2	DESI2	0.972212267980815	6.48511107943078e-10
HNRNPU	HNRNPU	10.0139750487181	0.000954009712328241
ALKAL2	ALKAL2	2.12445550651796	6.62903295104157e-16
PXDN	PXDN	5.24232376609215	3.69090444072877e-60
CYS1	CYS1	0.108384255282547	3.16380412849607e-08
