Gene	LogFC	Pval
AL645608.8	AL645608.8	0.314075151576958	5.7240398210459e-12
HES4	HES4	25.1612576177904	0.000589923257035114
RNF223	RNF223	0.427875330637123	9.49853045038673e-27
AL390719.2	AL390719.2	0.60605418744592	1.31508605200046e-39
C1QTNF12	C1QTNF12	0.79950758473853	4.72997293444311e-27
ACAP3	ACAP3	0.395389019831732	0.000935665754813215
INTS11	INTS11	0.558090227865543	0.0103743121586008
DVL1	DVL1	0.199177843691103	0.0100570672979056
MXRA8	MXRA8	7.01360209357172	6.21195102365683e-12
AURKAIP1	AURKAIP1	6.47802938368276	0.00366021403419861
CCNL2	CCNL2	0.428881603512525	0.0958052664637539
MMP23B	MMP23B	1.39702443342385	1.73720783503926e-28
TMEM52	TMEM52	0.257906154036425	1.1882249066277e-09
PRKCZ	PRKCZ	0.864140057172663	1.23115364945009e-35
FAAP20	FAAP20	1.43401368668937	0.0743664224978332
SKI	SKI	0.171074750602892	0.00386097542700497
RER1	RER1	1.68946090844171	0.074413245627043
TNFRSF14-AS1	TNFRSF14-AS1	0.813172758662825	4.37520158451662e-32
TNFRSF14	TNFRSF14	3.22056024653568	2.14779847021758e-25
FAM213B	FAM213B	0.577970459060322	8.89805373173298e-07
AL831784.1	AL831784.1	8.81127001027391	7.42362272663954e-11
ARHGEF16	ARHGEF16	0.275902728832159	5.2839576896843e-26
TPRG1L	TPRG1L	0.297926595345142	0.00358959272885765
SMIM1	SMIM1	1.01331999220553	4.06728874239011e-07
RPL22	RPL22	81.1067901801536	4.29164214295062e-25
ACOT7	ACOT7	0.389992758365258	0.00248395460944892
ESPN	ESPN	6.55201519962414	4.49781184747733e-66
TNFRSF25	TNFRSF25	0.385489275947837	9.8402338309267e-08
KLHL21	KLHL21	1.76595391153738	1.77328752952617e-17
CAMTA1	CAMTA1	1.57213987607763	0.0372224526435255
VAMP3	VAMP3	0.133528227538325	5.05818972163772e-05
PARK7	PARK7	7.50389896590568	7.42673192234841e-14
ERRFI1	ERRFI1	16.6266193515561	6.13739421568153e-39
SLC2A5	SLC2A5	0.219669693788729	1.27499861184167e-11
SLC25A33	SLC25A33	0.538961499181086	0.0194225186448253
CASZ1	CASZ1	0.263527724760323	6.06046680772852e-09
TARDBP	TARDBP	0.628037329144588	0.0111074848535218
FBXO2	FBXO2	7.95103382755163	5.68694463477527e-30
FBXO6	FBXO6	0.145459412374231	0.0501584152693922
MTHFR	MTHFR	0.445085687802729	0.00453572726572341
CLCN6	CLCN6	0.141599712774808	3.4510307415724e-12
KIAA2013	KIAA2013	1.766158336884	2.17832721748188e-10
MFN2	MFN2	0.24561821792298	0.00376695433858426
DHRS3	DHRS3	0.180095822375219	0.0114704229750153
PDPN	PDPN	0.314879411892415	4.73759481537727e-15
TMEM51	TMEM51	0.723436483860261	0.000821568428564839
EFHD2	EFHD2	0.617085599804319	2.44392819667341e-07
AGMAT	AGMAT	0.475877404165095	2.7195916894961e-12
DDI2	DDI2	0.940193473364807	1.33003623389496e-13
TMEM82	TMEM82	0.313317578784335	9.14236681330529e-23
SPEN	SPEN	3.74273906521641	5.95512949470065e-14
EPHA2	EPHA2	18.7670975367683	2.8434987202652e-127
ARHGEF19	ARHGEF19	0.114950825045813	0.00217175535502723
NECAP2	NECAP2	0.117340745157438	0.0112307158644333
MFAP2	MFAP2	4.6409803963992	2.36175368655707e-29
ATP13A2	ATP13A2	0.106293426135323	0.00280818303662168
SDHB	SDHB	1.64098962503647	0.00825133154317981
PADI2	PADI2	0.164765413654112	8.71311653676933e-06
ARHGEF10L	ARHGEF10L	0.513012470374345	6.69378168684941e-19
AKR7A2	AKR7A2	0.542929976096752	4.37034320969113e-07
CAPZB	CAPZB	2.25818358602851	4.63396930154117e-16
MINOS1	MINOS1	9.00301231437913	0.0226082135093026
RNF186	RNF186	9.95020518056708	1.6779801339183e-44
PLA2G2A	PLA2G2A	43.7752261759574	2.61732593322363e-32
CAMK2N1	CAMK2N1	14.0609160710559	2.31590070216327e-10
CDA	CDA	0.745129337891955	3.18205007776097e-11
PINK1	PINK1	0.180304120042975	0.0965384446171664
HP1BP3	HP1BP3	1.19724105732182	0.000521688117258251
USP48	USP48	0.319937882709162	0.00248435178815089
HNRNPR	HNRNPR	3.00440756130932	1.45917306713474e-13
ID3	ID3	20.476457113222	4.767728578942e-35
RPL11	RPL11	234.235901068201	9.51121458018554e-24
LYPLA2	LYPLA2	0.679145221832826	0.0133770219767028
GALE	GALE	3.28784322644899	4.05341006171401e-30
HMGCL	HMGCL	0.344445795904171	0.0103455212555571
FUCA1	FUCA1	1.35058078854568	1.86694249148265e-35
SRSF10	SRSF10	1.40633194578224	3.34904379841379e-05
MYOM3	MYOM3	0.268637883204873	1.35843195560191e-21
IL22RA1	IL22RA1	0.755249221738231	4.15843367655564e-27
IFNLR1	IFNLR1	0.132942109799968	3.11746346969204e-15
