Gene	LogFC	Pval
SAMD11	SAMD11	2.72238639168612	2.74688376369537e-16
ISG15	ISG15	8.12297938664556	0.0137314916083979
AGRN	AGRN	0.29209459791545	3.84970384522675e-10
SDF4	SDF4	0.369609143938828	0.00389274088740093
INTS11	INTS11	0.192669970813785	0.00151413047901414
MXRA8	MXRA8	1.16419370467482	2.77805236614126e-31
MRPL20	MRPL20	0.236573645189454	0.000115403889139116
VWA1	VWA1	0.409805563140013	1.19119119002251e-06
SSU72	SSU72	0.212412757992459	0.0549508579398108
MMP23B	MMP23B	1.34050981808224	2.92196527507407e-25
FAAP20	FAAP20	0.204289359359508	0.0225401644375647
SKI	SKI	0.187554017049735	0.000721875652381437
MEGF6	MEGF6	0.152475463251514	1.1665161930022e-05
LRRC47	LRRC47	0.139551989560077	0.0174364682655124
RPL22	RPL22	12.5485013376029	1.23944293700427e-06
PHF13	PHF13	0.107932195876232	0.00586786693327095
CAMTA1	CAMTA1	0.221878029795748	0.000746523561977866
VAMP3	VAMP3	0.241745775107483	2.41871323525385e-05
PARK7	PARK7	4.38961236067989	0.0020932456857184
ERRFI1	ERRFI1	0.185170134799678	0.0255685076390607
H6PD	H6PD	0.151450502063068	0.000824512224665829
SPSB1	SPSB1	0.123799684923029	0.000334122566506638
CLSTN1	CLSTN1	0.385855578699416	0.00084208040651393
SRM	SRM	0.589567348460009	0.00432231292143368
MAD2L2	MAD2L2	0.100931962258836	0.00183903284691286
PLOD1	PLOD1	0.448725486757644	1.40014646715944e-07
PDPN	PDPN	0.301959931123	2.25543025602382e-16
KAZN	KAZN	0.630984043729438	4.00762292971897e-09
FBLIM1	FBLIM1	1.0431827280971	1.30517059431365e-25
MFAP2	MFAP2	5.01743086186801	5.90316972252113e-31
SDHB	SDHB	0.16092455197926	0.000689583662232723
EMC1	EMC1	0.110796646478363	0.000222280984579943
AKR7A2	AKR7A2	0.76970371439502	4.64629533219404e-09
CAPZB	CAPZB	1.1322801672293	0.00613140429487002
NBL1	NBL1	9.48705326619609	1.61560513119402e-25
CAMK2N1	CAMK2N1	0.597765676501919	1.48457511971024e-07
HP1BP3	HP1BP3	0.327832701530652	0.00117020169011811
ECE1	ECE1	0.223988448101331	2.11970111893899e-11
HSPG2	HSPG2	0.267795238186416	1.34059901396976e-07
KDM1A	KDM1A	0.121887138651512	5.24705388797117e-05
HNRNPR	HNRNPR	3.2961000090064	0.000762407625698316
ID3	ID3	18.220210210981	2.61835851979996e-12
RPL11	RPL11	45.4195486956434	4.3826868648329e-08
CLIC4	CLIC4	1.82964280279288	1.40636649342531e-05
RSRP1	RSRP1	3.43833393539493	0.0015736086186115
MAN1C1	MAN1C1	0.106989716856066	0.000550770110838322
SELENON	SELENON	0.333863229526559	0.0016455832738436
STMN1	STMN1	18.8117963323443	1.72084036815589e-07
HMGN2	HMGN2	10.0935996656902	2.6569300285028e-10
NUDC	NUDC	0.334101312739355	0.000990169155048353
AHDC1	AHDC1	0.156734243061851	5.9733763910492e-13
DNAJC8	DNAJC8	0.377889175555856	0.0907580275977793
ATP5IF1	ATP5IF1	0.717383880911999	0.0555066181876474
TRNAU1AP	TRNAU1AP	0.134075471338108	0.00540020999911922
TAF12	TAF12	0.141187496400731	0.030117034050364
YTHDF2	YTHDF2	4.46562489646812	2.61904831943731e-08
SNRNP40	SNRNP40	0.208563847783006	0.00938623111440664
COL16A1	COL16A1	0.662581418253414	5.11938722032576e-10
KHDRBS1	KHDRBS1	10.5931981603599	1.60771265898758e-05
CCDC28B	CCDC28B	0.139016424317398	0.00189536382743948
EIF3I	EIF3I	0.222716036882582	0.082900136909445
HDAC1	HDAC1	0.187730139262622	0.00899670035494417
MARCKSL1	MARCKSL1	3.77342314631596	2.70472310127362e-07
AK2	AK2	0.122117326900548	0.0948450500499469
PHC2	PHC2	0.251737749143209	0.00417129227747364
PSMB2	PSMB2	0.441746620226132	0.00138818568607236
AGO3	AGO3	0.208608598353086	0.0489801194911473
TRAPPC3	TRAPPC3	0.139192747043964	0.067866565202673
EVA1B	EVA1B	0.707437249637402	0.00437505483656741
MEAF6	MEAF6	0.287207635731284	0.000517285293146301
C1orf122	C1orf122	0.263931302609927	0.00679865174866603
SF3A3	SF3A3	0.259499326375548	2.86419015872104e-06
FHL3	FHL3	0.469021943994012	1.40588933581691e-07
UTP11	UTP11	0.117854247570447	0.00106425373240268
AKIRIN1	AKIRIN1	0.185234559712617	0.00547156954635187
NDUFS5	NDUFS5	1.71780576536362	1.5147647928946e-05
PPIE	PPIE	0.109109394464452	0.0937786143944781
SCMH1	SCMH1	0.133267565524417	0.000527542809047919
PPIH	PPIH	0.13231283242029	0.0762450409105826
YBX1	YBX1	7.71894041244906	0.000508837785120495
P3H1	P3H1	0.346085426583387	4.09616664165872e-15
SVBP	SVBP	0.266756143196736	4.11477616374527e-05
EBNA1BP2	EBNA1BP2	0.121010046919262	9.14091861585504e-05
MED8	MED8	0.124584690138187	0.0338775085635495
HYI	HYI	0.274849709180989	1.83068020995676e-07
B4GALT2	B4GALT2	0.232188898452607	2.13093743414016e-14
DMAP1	DMAP1	0.145947937912493	0.00396847065384943
ERI3	ERI3	0.225771854921754	0.00413067016694845
RPS8	RPS8	78.3709601197087	1.71585044890418e-16
UROD	UROD	0.138115850893566	0.0176421390783724
PRDX1	PRDX1	3.7338493072254	0.00332343332232224
NASP	NASP	0.621025116134409	0.000236053554024057
PIK3R3	PIK3R3	0.108248654278465	0.0027659086457487
POMGNT1	POMGNT1	0.139035806798939	0.000230245141353651
LRRC41	LRRC41	0.254827814496742	0.000323007394202
UQCRH	UQCRH	2.15423402582515	0.0119675166541268
ATPAF1	ATPAF1	0.152312811216316	0.0107447284070334
RNF11	RNF11	0.145701807280634	0.00868533126023996
OSBPL9	OSBPL9	0.171963621543675	0.000100761640644228
BTF3L4	BTF3L4	0.210353419360675	0.0103298477745093
PRPF38A	PRPF38A	0.17394023411658	0.0343592243214199
TUT4	TUT4	0.142292428896079	0.0625265621770898
GPX7	GPX7	1.02959005992506	0.000438306529406386
ECHDC2	ECHDC2	0.10143170323821	0.0752422599040698
SCP2	SCP2	0.261041682010432	0.00634324022550789
MAGOH	MAGOH	2.35171697882535	0.0835378444622044
HSPB11	HSPB11	0.287532583395485	1.69616787189382e-05
LRRC42	LRRC42	0.205389029644477	0.00119264674935588
TMEM59	TMEM59	10.8572484848283	1.61635224164541e-06
SSBP3	SSBP3	0.449704782883592	6.64918408525938e-07
PLPP3	PLPP3	1.29351123667089	2.97842620287458e-13
JUN	JUN	167.419548787633	1.72180735785957e-32
NFIA	NFIA	2.73281517385756	5.11319310582916e-13
TM2D1	TM2D1	0.187330019431837	0.0077285468769937
USP1	USP1	0.290523886461636	0.0541857251913452
DOCK7	DOCK7	0.130872600730994	6.85636802974427e-05
ITGB3BP	ITGB3BP	0.178596289987524	0.0255466650846544
PGM1	PGM1	0.211489535379438	0.026327777669702
CACHD1	CACHD1	0.110054912604599	1.51245159182813e-08
JAK1	JAK1	0.205948409209744	0.0313854197657889
LEPROT	LEPROT	4.42487204486574	5.32357676607545e-16
SERBP1	SERBP1	0.928358876949522	0.000548071290618871
GNG12	GNG12	0.355710275714014	0.000100017254617928
WLS	WLS	0.70755187057545	1.50029568173449e-21
LRRC7	LRRC7	0.126113563040135	5.01655812975195e-09
PTGER3	PTGER3	1.17412693385883	1.17959610709462e-09
NEGR1	NEGR1	0.258259501006579	4.52104384767534e-15
TYW3	TYW3	0.155840820594048	1.24110455131658e-06
ACADM	ACADM	0.198599223488163	0.0815585306097466
RABGGTB	RABGGTB	0.140524124448753	0.0553447114326808
PIGK	PIGK	0.138017375717651	0.00906359250277926
USP33	USP33	0.115961047939474	0.00130032901290711
MIGA1	MIGA1	0.101527397027394	2.62107780101484e-05
NEXN	NEXN	6.7008249206398	6.34511925052587e-38
AC103591.3	AC103591.3	0.26241740680892	0.0199073569482559
ADGRL4	ADGRL4	0.53607061173879	3.17502970027519e-14
ADGRL2	ADGRL2	0.157346792498201	0.000349901560263534
TTLL7	TTLL7	0.197421693690127	3.88608945579144e-08
PRKACB	PRKACB	0.125778410164767	0.00423610164935394
DDAH1	DDAH1	0.213576230719506	0.00507316256329833
CYR61	CYR61	29.411773418411	4.09754537176612e-56
SELENOF	SELENOF	0.91739087572718	3.63544140291406e-06
LMO4	LMO4	2.67163460610876	2.1967532182494e-05
PKN2	PKN2	0.248392083873039	0.00289923366247133
GBP1	GBP1	6.54567831496668	1.69035476237864e-11
TGFBR3	TGFBR3	0.483495246824731	2.57095177133112e-11
EVI5	EVI5	0.140611221720821	0.0259601716179941
RPL5	RPL5	78.4195465240522	1.69448596613906e-13
FNBP1L	FNBP1L	0.131361032292471	0.00137565114688765
GCLM	GCLM	0.110724561021573	0.0176148729601997
F3	F3	2.714506958431	1.30595736664718e-09
CNN3	CNN3	0.935849094243912	1.06410196218556e-11
PTBP2	PTBP2	0.141083098053741	0.00356313354106537
SNX7	SNX7	0.211265767397031	0.000419678708225604
VCAM1	VCAM1	0.427388105586293	3.68099951882046e-11
EXTL2	EXTL2	0.290439362494942	1.74265193096962e-05
GSTM5	GSTM5	0.440923217758396	1.40976467199678e-17
GSTM3	GSTM3	0.708489593868243	0.00379957573730928
CSF1	CSF1	1.13680468067193	5.88986910431987e-17
AHCYL1	AHCYL1	0.423056475147767	0.000804040812312972
LAMTOR5	LAMTOR5	0.393715159440704	0.00427323116214852
WNT2B	WNT2B	0.497351762404125	1.58932162580008e-08
RHOC	RHOC	1.17451031003221	0.000508834710671675
OLFML3	OLFML3	7.54497637318115	1.32147819650031e-54
PHGDH	PHGDH	0.758805611557282	1.14038974987442e-05
SEC22B	SEC22B	0.104771661389608	0.0907197087314001
AC245595.1	AC245595.1	0.433364914127559	1.45209337268728e-13
PIAS3	PIAS3	0.325721316753395	4.71407656567824e-12
LIX1L	LIX1L	0.132437987834954	1.77413707663065e-10
POLR3GL	POLR3GL	0.17702502439657	0.000123703875446424
TXNIP	TXNIP	3.59595411301214	2.66790565456379e-07
PDE4DIP	PDE4DIP	0.220971441397102	0.0143091622595148
VPS45	VPS45	0.197948330694255	3.87864334884217e-07
MRPS21	MRPS21	2.21270384331415	0.00271742017572722
RPRD2	RPRD2	0.12914879451328	1.39624576388571e-06
ECM1	ECM1	0.360888708799099	1.19776081128181e-16
MCL1	MCL1	12.7600552787453	4.44175872523601e-08
ENSA	ENSA	0.602658262689711	0.0834643246327363
CTSK	CTSK	2.15382390700787	2.19638029896789e-26
CERS2	CERS2	0.183978411482468	0.0380622146256749
MLLT11	MLLT11	0.156558740725984	0.039124627064708
VPS72	VPS72	0.124034014245962	0.00611612730123333
SELENBP1	SELENBP1	0.244292610561652	5.37038363348367e-09
POGZ	POGZ	0.371232608908994	0.000845726703213449
S100A16	S100A16	0.126448581311709	0.039445563893952
S100A13	S100A13	9.1377900673176	2.74474054201487e-12
CHTOP	CHTOP	0.143250540361588	0.0102108383920175
SNAPIN	SNAPIN	0.106389602773591	0.00611998455816948
ILF2	ILF2	2.77532246950649	2.16693213312698e-05
INTS3	INTS3	0.159430242906629	0.0108399979969914
SLC27A3	SLC27A3	0.161568479714473	1.0251670006383e-07
GATAD2B	GATAD2B	0.204980308384368	0.00013073220980002
SLC39A1	SLC39A1	0.301680448816398	0.000315826792851394
JTB	JTB	0.501094999951177	3.42191374666062e-07
RAB13	RAB13	1.79888045517427	1.43147909868414e-09
RPS27	RPS27	29.8677658167433	1.90328624052219e-07
