Gene	LogFC	Pval
SAMD11	SAMD11	2.74263421201174	5.53701941488518e-28
MXRA8	MXRA8	0.214540366939704	0.0148566438282276
VWA1	VWA1	0.38399896848852	5.93749016370875e-10
MMP23B	MMP23B	1.25864369767594	5.68681075600942e-14
TNFRSF14	TNFRSF14	0.128204447337469	0.0133457417072327
PARK7	PARK7	1.90561113284033	0.0694651532699542
SRM	SRM	0.160028726971286	0.0384901671140162
PLOD1	PLOD1	0.179028497217522	0.0130686188115258
PDPN	PDPN	0.283047876429482	3.66811979412401e-13
MFAP2	MFAP2	3.81372576368854	3.93286359323693e-10
AKR7A2	AKR7A2	0.322859179983283	0.0881294251721914
CAPZB	CAPZB	1.07223112853366	0.0447669211205741
NBL1	NBL1	9.0267066999599	2.14771076910404e-31
HSPG2	HSPG2	0.133561103343668	0.0273506406943979
EPHB2	EPHB2	0.112810091833561	7.09167313583235e-09
RPL11	RPL11	37.4510842393537	0.000107940015893437
RSRP1	RSRP1	3.33307333697263	0.000679296698070507
TMEM50A	TMEM50A	0.218214613516343	0.0306449729287215
MAN1C1	MAN1C1	0.105026469899892	0.000108588182365953
STMN1	STMN1	8.45636083287652	4.09407410043852e-06
HMGN2	HMGN2	7.52696098228828	0.0275668823122
YTHDF2	YTHDF2	2.24775081851927	0.00179282269083401
COL16A1	COL16A1	0.658271627898842	4.38246517014806e-15
PTP4A2	PTP4A2	0.244959680520953	0.0654145289411442
SFPQ	SFPQ	2.39527444378199	0.000109304333007141
MAP7D1	MAP7D1	0.632933268716877	0.0114298705252413
EVA1B	EVA1B	0.260859626332795	0.0399889662316877
YBX1	YBX1	3.36157943334529	6.4088264779227e-08
P3H1	P3H1	0.236954276824965	5.80813311149361e-07
PRDX1	PRDX1	3.44015364857449	0.00897999413966694
ECHDC2	ECHDC2	0.144777984160098	1.01652517367788e-05
TMEM59	TMEM59	10.1074417749545	0.0262238139708794
SSBP3	SSBP3	0.24661217400184	0.0212176473697527
PLPP3	PLPP3	1.23484597369081	5.44033492694698e-12
JUN	JUN	78.3424437378044	2.09938624544548e-09
NFIA	NFIA	2.28543181256531	0.00277860806875358
TM2D1	TM2D1	0.115529733564593	0.00709083476026386
ITGB3BP	ITGB3BP	0.124531682220007	0.0525776014198767
LEPROT	LEPROT	3.65500593229673	0.0178010618334079
WLS	WLS	0.225652153905158	0.046930929050523
LRRC7	LRRC7	0.111896096663175	1.47520158042987e-06
PTGER3	PTGER3	1.19106272401339	3.48900392266568e-17
NEGR1	NEGR1	0.257587042791415	9.81772869280906e-13
NEXN	NEXN	6.28494759772273	4.81852779343519e-08
ADGRL4	ADGRL4	0.535398153523626	4.98729199087237e-15
DDAH1	DDAH1	0.163726738419324	0.0231833088029641
CYR61	CYR61	23.9907316246306	0.067330109497601
SELENOF	SELENOF	0.877327537494636	0.00336656016812953
GBP3	GBP3	0.125656917609741	8.2008977522774e-07
GBP1	GBP1	6.0529476540272	0.00147547161334824
GBP2	GBP2	0.113567033522559	0.000133770285473155
ZNF644	ZNF644	0.137634227819047	0.0572622079576854
TGFBR3	TGFBR3	0.390946169669888	2.03035155117349e-07
RPL5	RPL5	51.4207818983589	0.00582671088841158
MTF2	MTF2	0.287821205191675	0.0188133113686486
F3	F3	2.68991950105503	7.78411020342355e-10
VCAM1	VCAM1	0.349710503963851	0.0500017160329026
EXTL2	EXTL2	0.100937404771545	0.0260703058345358
GSTM5	GSTM5	0.146267230863474	0.0896403914624193
CSF1	CSF1	0.766376456018921	0.022900493570471
WNT2B	WNT2B	0.451963532437184	2.3533926827754e-07
OLFML3	OLFML3	6.16487556953943	3.37484513932463e-17
MAN1A2	MAN1A2	0.126700213189894	0.00909601588030643
RBM8A	RBM8A	5.70975318134755	0.000875064492494995
PDE4DIP	PDE4DIP	0.202886422479729	1.18146510197907e-05
MRPS21	MRPS21	1.36505653206067	0.00590425583139781
ECM1	ECM1	0.287296222596648	1.80338999219363e-06
MCL1	MCL1	13.8091604376511	1.69202893901513e-06
CTSK	CTSK	1.92331727332829	7.54667302930058e-15
S100A10	S100A10	12.140462339279	2.95557462466659e-05
S100A6	S100A6	10.2572797107589	0.00270359307227175
S100A14	S100A14	0.130698184032995	0.00102858857858254
S100A13	S100A13	9.22613202475151	9.45460813437202e-10
ILF2	ILF2	1.07070625320039	0.0010612782936659
LMNA	LMNA	11.462586959747	1.4350543491599e-07
SEMA4A	SEMA4A	2.06908757165569	3.27146164121273e-09
TAGLN2	TAGLN2	7.42941268259102	1.00138703756537e-14
ALDH9A1	ALDH9A1	0.332851745575843	0.00512530081111283
ATP1B1	ATP1B1	0.526492917513462	0.043892411420059
QSOX1	QSOX1	0.507617943286243	7.24049346009659e-08
IER5	IER5	0.337594628150712	0.000632692085308746
C1orf21	C1orf21	0.202422810567759	0.000759988559201952
TPR	TPR	4.49339490941557	0.00987774115512935
PTGS2	PTGS2	0.942287565418787	0.0848265443294107
TROVE2	TROVE2	0.14324210028048	0.0997913590586535
CFH	CFH	0.21879884472859	0.000120739450139846
NAV1	NAV1	0.134743530807317	0.00816032232450319
PLXNA2	PLXNA2	0.174983936421984	0.00202581980769022
ARF1	ARF1	0.246373706146147	8.03201512198234e-05
IRF2BP2	IRF2BP2	0.10962033963462	0.0254856855559733
NID1	NID1	1.36817190418936	7.42735938896609e-06
GREM2	GREM2	1.18650026506823	1.24373880330923e-10
DESI2	DESI2	0.910823048223446	0.0862216979758697
HNRNPU	HNRNPU	16.1329072786649	0.000223505242376664
SH3YL1	SH3YL1	0.538879811456411	0.0019219482228347
ACP1	ACP1	0.402433236185022	0.0661544749046685
ALKAL2	ALKAL2	2.07626586696594	2.91767410348984e-08
PXDN	PXDN	5.82030195339035	2.24477503566289e-08
RPS7	RPS7	19.757745280198	0.0809949067032677
MBOAT2	MBOAT2	0.102292636824086	0.0021906233008365
CYS1	CYS1	0.112876471197392	0.000325945634915895
LPIN1	LPIN1	0.1002331704849	0.01154816190465
PUM2	PUM2	0.1038376582337	0.0422391693349433
