Gene	LogFC	Pval
SAMD11	SAMD11	0.822097685679772	0.000121432264835249
GNB1	GNB1	3.44221534129037	9.35779570343831e-06
RPL22	RPL22	7.20652844246771	8.41238377992849e-10
GPR153	GPR153	0.157354181132427	2.73541275329356e-05
ACOT7	ACOT7	13.0240255304039	0.00439724412692525
PARK7	PARK7	20.4030852727071	0.0287177300280736
KIF1B	KIF1B	0.613777748330972	2.90786810411396e-06
PGD	PGD	1.26771457798865	0.00345099291202058
FBXO44	FBXO44	0.124630904831868	0.000120232824684552
MAD2L2	MAD2L2	0.963591823250457	0.0035466218116242
PDPN	PDPN	0.323310800661576	4.66036480143171e-08
ATP13A2	ATP13A2	0.476573170758531	0.00474667155159762
CAMK2N1	CAMK2N1	0.954605320505403	2.94739411681834e-12
RPL11	RPL11	4.19916852081981	4.4117052087045e-06
STMN1	STMN1	133.200126181427	4.32904466533777e-11
SH3BGRL3	SH3BGRL3	9.02737382189641	1.93803013352673e-08
HMGN2	HMGN2	4.01209371475084	0.0328944732341368
TRNP1	TRNP1	0.664910915266257	2.71128852361413e-07
TRNAU1AP	TRNAU1AP	0.248327468465798	0.0131616134708795
SDC3	SDC3	0.622093713302717	0.000433697458789273
RBBP4	RBBP4	0.137298726392723	0.0373054087566327
GRIK3	GRIK3	0.436555362648494	1.1294057694099e-14
AL031430.1	AL031430.1	0.101715561162702	3.90870331446727e-05
C1orf122	C1orf122	6.62991874965395	0.00336299417491673
NDUFS5	NDUFS5	16.6407806560559	0.0740410441343773
HEYL	HEYL	0.230291909468881	1.29093715116093e-08
BMP8B	BMP8B	0.118418637428927	2.6887758842138e-05
MFSD2A	MFSD2A	0.605766973526646	1.71471156177601e-05
COL9A2	COL9A2	0.302886163898307	3.13116339972739e-11
RIMS3	RIMS3	0.586101132727005	1.80475212359131e-07
HYI	HYI	0.616437339653144	0.000397127000328308
PTPRF	PTPRF	0.374071547471448	0.000207028853926534
ATP6V0B	ATP6V0B	44.893446769734	1.02670553353916e-08
B4GALT2	B4GALT2	0.700533728538711	0.024034700194932
RPS8	RPS8	71.4656463998064	1.05138019027694e-14
LRRC41	LRRC41	0.149696962118952	0.066315710563632
UQCRH	UQCRH	10.0374505134025	0.00042182725412342
ELAVL4	ELAVL4	23.2949632119259	4.8667495098445e-13
RNF11	RNF11	0.39960629991568	0.0750576056087859
HSPB11	HSPB11	0.161006272727372	0.0112834359077839
DOCK7	DOCK7	0.32506156789471	0.0116857320119851
FOXD3-AS1	FOXD3-AS1	0.453876037763125	2.696858603222e-12
FOXD3	FOXD3	0.65766249599391	4.24666535372082e-15
PGM1	PGM1	0.314321354808639	8.03290965802404e-06
JAK1	JAK1	0.219003160433449	2.53629237337011e-08
SGIP1	SGIP1	0.846531271355752	0.000417747793270962
NEGR1	NEGR1	0.615385321957518	1.41305342633334e-06
RABGGTB	RABGGTB	0.65353302132372	0.0740797747798067
TTLL7	TTLL7	0.373141354748603	5.98890747277083e-08
DDAH1	DDAH1	1.38837376611616	0.0576341648503287
LMO4	LMO4	0.344238722240536	7.56092992488999e-09
ZNF326	ZNF326	0.144749094526024	0.0202226176034143
RPL5	RPL5	71.4790992851041	6.66144359829777e-22
SLC44A3	SLC44A3	0.21694084496662	9.44672636288417e-08
SNX7	SNX7	7.97738211214812	1.4411293131922e-05
PLPPR5	PLPPR5	1.61448904077933	6.10275120798035e-05
WDR47	WDR47	0.178697548474329	0.0628771029801645
CELSR2	CELSR2	0.163263629096121	1.88641185971673e-07
PSMA5	PSMA5	0.536009175326726	0.0145231783494134
GSTM3	GSTM3	1.38123212776779	0.00695345924735361
LAMTOR5	LAMTOR5	10.7108351241534	0.0143725756616992
LINC00623	LINC00623	0.199131915405862	2.82079646168368e-07
AC245595.1	AC245595.1	1.39218297670959	5.30060437323953e-07
PDE4DIP	PDE4DIP	0.239854293332665	0.0789512907540016
CTSK	CTSK	0.116375776669711	0.0232855351135448
MLLT11	MLLT11	53.0041683720607	7.39776809546711e-21
VPS72	VPS72	2.08738295716471	0.057139556542143
CELF3	CELF3	1.42980043316484	1.56331644876799e-06
S100A10	S100A10	6.87351865677166	1.32829510296575e-12
S100A6	S100A6	92.2001260687576	3.06888678392051e-30
S100A4	S100A4	0.273365851199047	2.7650232530508e-06
SNAPIN	SNAPIN	0.20181833801902	0.00169058641089527
FDPS	FDPS	7.19997857417599	4.47715785119957e-05
SYT11	SYT11	0.696007962071123	7.61672749836273e-10
PAQR6	PAQR6	1.01408216921961	8.74744751540642e-14
CCT3	CCT3	4.9659568737515	1.77585359155062e-06
NAXE	NAXE	0.15458139783208	0.0432479742278745
BCAN	BCAN	7.89933644043496	8.60166332489063e-26
CADM3	CADM3	0.34554811763973	9.03929177128078e-05
ATP1A2	ATP1A2	0.2100176409765	1.65155242922082e-10
PEX19	PEX19	0.155868553888585	0.00414303366332422
MPZ	MPZ	6.63386558053951	1.79621111124089e-43
OLFML2B	OLFML2B	0.342076764748018	6.69623107465653e-06
DDR2	DDR2	0.336106370752763	2.2738183465484e-07
TMCO1	TMCO1	0.955759030593332	0.00205332240952183
ATP1B1	ATP1B1	25.9347417168592	2.96262972138446e-12
PHLDA3	PHLDA3	0.15458885124984	0.00184542043978267
SHISA4	SHISA4	0.204789949093614	1.49313100367125e-07
ARL8A	ARL8A	4.69970294651432	0.0131112263496022
PPP1R12B	PPP1R12B	0.262428951054542	0.00361758393320085
PLEKHA6	PLEKHA6	0.176929707318634	0.00117701424925445
NFASC	NFASC	0.151019187076978	0.000183934475888998
KLHDC8A	KLHDC8A	0.130764748206807	3.39714122467538e-05
NENF	NENF	12.1432705672367	6.5837736208545e-06
KCNK2	KCNK2	0.236980524297192	5.80489425126234e-08
TGFB2	TGFB2	0.174129175805612	3.11187009987511e-05
GUK1	GUK1	9.19504505324337	4.43821358209857e-08
GNG4	GNG4	0.502929058391968	0.000571498108922978
ADSS	ADSS	0.177628954222538	0.059345733032217
COX20	COX20	4.63951107051603	0.00577382723945599
SCCPDH	SCCPDH	4.96876359932751	9.68222568572399e-15
EIPR1	EIPR1	28.0860209652931	0.0454826363753218
RPS7	RPS7	18.2000785200876	1.74843859913511e-05
KIDINS220	KIDINS220	1.65487560441175	0.030955822386789
MBOAT2	MBOAT2	0.278202123495416	1.41423903567957e-05
ITGB1BP1	ITGB1BP1	3.49262848652495	0.0168143831091629
IAH1	IAH1	1.45597032630667	3.13690374243999e-06
YWHAQ	YWHAQ	22.7803163797656	0.0492362593871187
MYCN	MYCN	0.134962037948422	0.0507422758422396
FAM49A	FAM49A	0.164343932655013	0.0979106353931156
TTC32	TTC32	0.152142984067621	0.0976736667475085
KLHL29	KLHL29	0.142201977520483	0.00079774490974051
FKBP1B	FKBP1B	10.1667543676269	0.00408263159603954
DPYSL5	DPYSL5	0.276088795694452	1.15018547890656e-06
MAPRE3	MAPRE3	1.08377153618132	0.00162922691574452
FNDC4	FNDC4	0.226729903731702	0.0001671287922875
DPY30	DPY30	1.55245621276539	0.032745939370586
PREPL	PREPL	0.299452035417516	0.00201847622430749
RHOQ	RHOQ	0.301082435577446	8.00939269612178e-05
CALM2	CALM2	63.5700464442115	4.36521656195577e-05
NRXN1	NRXN1	8.18149992106077	1.59195651546403e-36
RPS27A	RPS27A	34.2001261813878	8.93330915803777e-14
CCDC88A	CCDC88A	2.38300994803337	0.000908775124282717
MDH1	MDH1	9.56930633192554	0.0476412922729606
ANTXR1	ANTXR1	0.171473086672525	3.83833662615588e-09
FAM136A	FAM136A	0.23397939289706	0.0702207556407488
ADD2	ADD2	0.158673098215813	0.00111262683617124
TLX2	TLX2	15.1846569818753	2.21126455086525e-06
LRRTM1	LRRTM1	0.181340167511721	1.34834726726675e-06
SUCLG1	SUCLG1	1.58284427612886	3.09310915553235e-05
TMSB10	TMSB10	211.181931671146	1.81193318287775e-12
LONRF2	LONRF2	0.183975617979869	2.88708833763852e-05
RPL31	RPL31	6.17197892411539	0.00296241369231456
POU3F3	POU3F3	0.151629242183051	0.000125867125165497
DBI	DBI	3.33428735740347	6.91825402373662e-14
LYPD1	LYPD1	0.153083609498268	1.61055761465544e-06
ARHGAP15	ARHGAP15	0.21590785957453	0.0167839717733241
KIF5C	KIF5C	4.78093401596417	2.95542463797061e-19
TNFAIP6	TNFAIP6	0.412759291643563	0.00318812782526599
FIGN	FIGN	0.153083609498268	2.00162119553826e-06
SCN3A	SCN3A	0.291315378089038	4.90298702792995e-05
SCN2A	SCN2A	0.300237841796598	0.000214876161563457
CSRNP3	CSRNP3	2.26790305901434	0.025726292168128
