Gene	LogFC	Pval
HES4	HES4	14.4711271214383	1.16318478390491e-06
AGRN	AGRN	3.08701658472342	7.57448646903973e-10
TNFRSF4	TNFRSF4	11.5168621156473	1.26455505826779e-16
SDF4	SDF4	1.1408851380346	0.0391625507976734
DVL1	DVL1	0.11240469695073	0.0837412080121246
CCNL2	CCNL2	2.17923961334659	1.47034865688144e-16
VWA1	VWA1	8.38192019591795	4.07816524338887e-19
ATAD3B	ATAD3B	0.138716273759667	0.00572009719772141
CDK11B	CDK11B	0.293461520555499	0.00522045052696604
CDK11A	CDK11A	0.192127749013497	0.000303588367797826
SKI	SKI	1.48138972926312	0.00975704172281987
RER1	RER1	0.429058786661569	0.0381205672023023
TNFRSF14	TNFRSF14	0.862056039843412	1.1311371292117e-15
CEP104	CEP104	0.137673549137316	0.078439086075115
ICMT	ICMT	0.148127526521313	0.00467880686402281
TNFRSF25	TNFRSF25	1.42473118855406	1.0058445518789e-10
PLEKHG5	PLEKHG5	0.417366563456939	2.30355770808809e-09
VAMP3	VAMP3	0.294435009725442	0.000509245297505393
ERRFI1	ERRFI1	0.29123417640212	0.0468030242263477
RERE	RERE	0.523648388306912	0.018941924350975
H6PD	H6PD	0.373888505124743	0.00104563691737486
CTNNBIP1	CTNNBIP1	3.89154603370127	1.72636732641077e-05
RBP7	RBP7	9.00949424264509	2.03146717247454e-15
DFFA	DFFA	0.205684587532796	1.60625595471949e-05
MTOR	MTOR	0.165812664705097	0.000125274237117829
AGTRAP	AGTRAP	0.242024113554502	0.000648748088161319
MTHFR	MTHFR	0.412063464209165	0.00019109764035346
KIAA2013	KIAA2013	0.351940681494176	0.000230017357109598
PLOD1	PLOD1	1.65382939153267	1.78136354528807e-08
MFN2	MFN2	0.126916188611775	0.0714028157739096
TNFRSF1B	TNFRSF1B	2.44466181845911	2.28823827856786e-12
VPS13D	VPS13D	0.186962468780215	0.0860309017374311
PLEKHM2	PLEKHM2	0.515959319723546	0.000101911760411158
FBLIM1	FBLIM1	2.91456673122189	0.00978950275636275
EPHA2	EPHA2	2.20256658079275	0.000338230155882419
SZRD1	SZRD1	0.373684651277836	0.00907811830368991
NECAP2	NECAP2	1.50515549378817	0.000161672494033211
CROCC	CROCC	0.173536043440907	0.00157638297131957
UBR4	UBR4	0.258159505744596	0.000162598654830045
