Gene	LogFC	Pval
SAMD11	SAMD11	0.745837688917251	1.17361600026473e-05
ISG15	ISG15	0.163968669493885	0.000572754001891839
GNB1	GNB1	3.52130456061966	0.00205641926618479
HES5	HES5	0.284006316732138	0.000209537972616336
MEGF6	MEGF6	0.274894155195171	2.01081686895393e-10
ACOT7	ACOT7	12.7604611814638	0.00266660411936291
PHF13	PHF13	0.113734688367645	0.00520738217091303
CAMTA1	CAMTA1	0.767392007991761	7.02199834537057e-12
VAMP3	VAMP3	0.479703894420117	0.0106507682679716
PARK7	PARK7	12.3477451562711	1.09563801024692e-10
KIF1B	KIF1B	0.817779005268422	1.59786501108867e-14
PGD	PGD	1.09029192817388	7.02935989613722e-05
SRM	SRM	0.369573029697779	1.98698685476812e-08
MAD2L2	MAD2L2	1.09072421302367	6.07496808498703e-07
RCC2	RCC2	0.154853743234189	5.91262009716199e-06
CAPZB	CAPZB	6.47508459622616	0.00896078470233847
PINK1	PINK1	2.16709209408383	0.000154459152192982
CDC42	CDC42	7.67998265015111	3.84404720457318e-09
RSRP1	RSRP1	0.283223508065275	0.0655387479909483
STMN1	STMN1	172.369690085858	6.82572274126676e-68
NUDC	NUDC	3.76638426296943	0.000699482539620903
STX12	STX12	0.136730500554881	0.00802662333064071
TRNAU1AP	TRNAU1AP	0.237192370897212	0.00425544672628719
SDC3	SDC3	1.04111860147283	3.75087243881745e-11
FABP3	FABP3	1.95047409296796	0.0493511088485241
CCDC28B	CCDC28B	1.27556011637842	4.70283700278262e-06
MARCKSL1	MARCKSL1	3.36543512793442	9.41939208544908e-31
PHC2	PHC2	0.343799251999517	3.94678056827811e-10
MAP7D1	MAP7D1	0.254111973932729	5.62659279174352e-07
GRIK3	GRIK3	0.428739946980703	2.86296231740726e-14
AL031430.1	AL031430.1	0.104611374426717	2.54191195145926e-05
MEAF6	MEAF6	1.79258709687426	5.92739114311756e-05
C1orf122	C1orf122	6.07514175855885	0.0256873326189941
NDUFS5	NDUFS5	4.36821454548007	0.0137336619461361
HEYL	HEYL	0.252975849710124	1.4326057600736e-09
PPT1	PPT1	0.120728451510238	5.56224336398663e-06
COL9A2	COL9A2	0.181361887103087	1.2016323934289e-07
RIMS3	RIMS3	0.585376740659765	4.49565290879907e-07
P3H1	P3H1	0.123346452831058	3.41024981471653e-05
SVBP	SVBP	1.96435611180531	0.00227716598272252
HYI	HYI	0.799084021856196	0.0330887519284272
B4GALT2	B4GALT2	0.235290730989853	0.0206541938046307
ERI3	ERI3	2.73312137453656	0.00090728467097925
ELAVL4	ELAVL4	23.2912598021775	8.6835312370148e-14
RNF11	RNF11	0.49281383465554	0.0409448763279008
BTF3L4	BTF3L4	3.88226232422914	0.000547392767549105
C1orf123	C1orf123	0.26894661898779	4.30898157187857e-05
SSBP3	SSBP3	0.174963196288326	3.93279014363766e-05
DOCK7	DOCK7	0.348979946714201	2.34499172523231e-05
FOXD3-AS1	FOXD3-AS1	0.455466738207586	2.60609003891332e-12
FOXD3	FOXD3	0.675889297661335	4.28282839321217e-17
ROR1	ROR1	0.101148028429825	3.31762286278322e-06
JAK1	JAK1	1.01556453905368	0.0705962134347713
PDE4B	PDE4B	0.149554383859106	1.71164831495875e-07
SGIP1	SGIP1	0.878674750563928	4.92650254147409e-06
MIER1	MIER1	0.255212268523291	0.0313826836717886
NEGR1	NEGR1	0.658925579800983	5.77075197970743e-07
DNAJB4	DNAJB4	0.122820057505877	4.811196104062e-06
IFI44	IFI44	0.277033453170935	0.000155381577382479
TTLL7	TTLL7	0.397277640162357	1.30463438549008e-09
LRRC8B	LRRC8B	0.10887163096868	0.0946201554497091
ARHGAP29	ARHGAP29	0.152653180515622	0.000182015171861647
CNN3	CNN3	2.52457030370405	1.71555810333287e-37
PTBP2	PTBP2	0.102753367319572	4.57618680234762e-05
SNX7	SNX7	7.37430184194055	1.46630672848232e-05
PLPPR5	PLPPR5	1.60667362511154	0.000126232099240466
EXTL2	EXTL2	0.173487483490066	1.31634132770749e-06
WDR47	WDR47	0.219714844095595	0.000458747898091855
CELSR2	CELSR2	0.10570575396015	2.62732751746418e-05
LAMTOR5	LAMTOR5	7.70432833936015	0.000287560044642863
SRGAP2C	SRGAP2C	0.102632551857962	1.37900847819399e-05
AC245595.1	AC245595.1	1.11350640106228	0.000273429823933511
LIX1L	LIX1L	0.206813359091473	0.00219888148797013
POLR3GL	POLR3GL	0.162788018573668	6.69283215906323e-05
PLEKHO1	PLEKHO1	0.446031873197639	3.60752999516082e-11
CDC42SE1	CDC42SE1	0.131200733951512	1.00398881808071e-06
MLLT11	MLLT11	53.0840215460236	8.78948307993788e-27
VPS72	VPS72	2.0592977634282	0.000434122490019273
CELF3	CELF3	1.27455406962117	0.00535155112515453
S100A4	S100A4	0.287296721134833	4.08720225811781e-08
SNAPIN	SNAPIN	0.169973349812424	2.0785477962076e-06
ILF2	ILF2	0.291043388096475	5.36727860589111e-12
HAX1	HAX1	0.989489817209782	0.0124324893820572
FLAD1	FLAD1	0.113898130326029	0.0202857550500981
SYT11	SYT11	1.15360050137307	5.37665641179063e-20
MEX3A	MEX3A	0.293946092694326	1.66794211979086e-11
PAQR6	PAQR6	1.07168640927558	4.41695858772967e-19
CCT3	CCT3	2.04258193557675	5.40953629199192e-11
BCAN	BCAN	7.88203571738224	8.04361755651273e-26
NES	NES	1.21875849271445	1.63070517283341e-25
IFI16	IFI16	1.67496076006495	8.91546659212652e-24
CADM3	CADM3	0.344241299274532	9.62010860977566e-05
TAGLN2	TAGLN2	2.34510219083922	1.45559483725395e-11
ATP1A2	ATP1A2	0.210304929700991	2.2488708174885e-10
PEA15	PEA15	0.269131823229366	0.00371495776820327
PEX19	PEX19	0.11220981071415	0.00226126967690635
PFDN2	PFDN2	12.6502451337905	1.23167620168775e-05
MPZ	MPZ	6.63811356488013	1.15984192983638e-43
OLFML2B	OLFML2B	0.336795405968656	2.33818806341988e-06
DDR2	DDR2	0.32223783585337	3.18568164723879e-10
MGST3	MGST3	10.3696444816173	2.00103780073688e-09
FAM78B	FAM78B	0.113201579475128	9.52803682768957e-05
GPR161	GPR161	0.113351105570768	7.36530882753672e-06
TIPRL	TIPRL	0.708063072170185	0.0280444467415351
ATP1B1	ATP1B1	13.369571934001	0.0612710437929914
KIFAP3	KIFAP3	0.111665456677956	0.0106110021396172
KLHL20	KLHL20	0.110503151746411	0.000813158566489298
XPR1	XPR1	1.5084476154802	0.0238829844714433
RGS16	RGS16	0.823125287036327	3.40336028601863e-05
FAM129A	FAM129A	0.158957035399826	4.01178439503821e-06
TROVE2	TROVE2	0.729621281667933	3.38222648826492e-08
MIR181A1HG	MIR181A1HG	0.123568212000287	4.5284927534797e-05
CAMSAP2	CAMSAP2	0.140027690371334	0.00018016433268679
TMEM9	TMEM9	0.605716105081815	0.00151995159524521
PHLDA3	PHLDA3	0.208167006379289	5.01547516014228e-07
NAV1	NAV1	0.463494792983167	1.27429048229299e-08
SHISA4	SHISA4	0.291217007407283	2.74122375772844e-08
ARL8A	ARL8A	5.17544959907099	8.16967636856618e-12
PPP1R12B	PPP1R12B	0.264104887957292	0.000302641153009915
CYB5R1	CYB5R1	0.120135385875436	0.0236468665812416
ATP2B4	ATP2B4	0.366052064204618	7.88574409950585e-05
NFASC	NFASC	0.116482904245189	0.00236213303531153
DSTYK	DSTYK	0.124538603410868	3.75511924976168e-05
KLHDC8A	KLHDC8A	0.128152817022054	5.82921597082821e-05
SRGAP2	SRGAP2	0.159351835243344	2.47048533414756e-05
TMEM206	TMEM206	0.104029507502909	4.07928824768997e-05
NENF	NENF	3.05296374803728	1.02631088975227e-07
KCNK2	KCNK2	0.230463443553784	1.71827532841718e-07
TGFB2	TGFB2	0.23825430298525	7.73660187268879e-09
LYPLAL1	LYPLAL1	0.15308822101644	0.0694798577968449
ENAH	ENAH	0.182298368880825	3.08869659685652e-07
SRP9	SRP9	6.69523549697352	3.25835159160028e-08
RNF187	RNF187	8.84032013339047	1.99135115868988e-05
C1orf198	C1orf198	0.152516910670394	6.64385114676872e-08
GNG4	GNG4	0.462252504233646	0.0015326921840463
LYST	LYST	0.127677506471606	0.000264971984731061
NID1	NID1	0.305013104339338	2.73088924188088e-17
CHRM3	CHRM3	0.373140052038783	0.000404062455424782
CEP170	CEP170	0.373508981733502	3.40106371159737e-09
AKT3	AKT3	0.946241986898635	8.33703018842017e-07
HNRNPU	HNRNPU	3.61992852969161	2.20328292442942e-10
CNST	CNST	0.392291116902064	0.0264532599765677
SCCPDH	SCCPDH	4.99583026801786	1.78994043175912e-19
TMEM18	TMEM18	0.769315707088471	0.026907153719838
EIPR1	EIPR1	28.0669630868482	0.0035148250386249
SOX11	SOX11	0.426081545675096	2.61256138414112e-10
KIDINS220	KIDINS220	1.98343054621295	7.38960125903865e-06
MBOAT2	MBOAT2	0.30096529763945	5.64842907069238e-09
ASAP2	ASAP2	0.111100228581915	7.93190098245808e-06
ITGB1BP1	ITGB1BP1	4.02100150265375	8.43405570319362e-05
IAH1	IAH1	0.987153435631694	2.24694757731482e-05
YWHAQ	YWHAQ	13.3767189095228	2.38044973767682e-16
TRIB2	TRIB2	1.0148408585703	2.52446532706484e-11
DDX1	DDX1	0.173628433766998	0.0286126514580509
MYCN	MYCN	0.156583662666615	7.73156871087348e-05
FAM49A	FAM49A	0.215193904278809	0.00016002758527952
TTC32	TTC32	0.130805916304635	0.0375462055006209
KLHL29	KLHL29	0.190991571644719	6.79859808145169e-05
UBXN2A	UBXN2A	0.110201494522157	0.00117703319680517
FKBP1B	FKBP1B	10.164858368073	0.000385708900438924
TP53I3	TP53I3	4.68693913009189	0.0390047627852696
KIF3C	KIF3C	0.1551478478046	6.48053182167041e-05
DPYSL5	DPYSL5	0.269571714951044	1.70372993016277e-06
MAPRE3	MAPRE3	1.09097735969746	0.000368923714496583
NRBP1	NRBP1	0.324918136253151	0.0875373259946275
FNDC4	FNDC4	0.27019818269514	4.5612557580056e-06
DPY30	DPY30	0.356871282290769	0.0904019802019448
LTBP1	LTBP1	0.221979685403869	7.74466389497398e-10
EIF2AK2	EIF2AK2	0.174133103686326	0.0081869439917045
HNRNPLL	HNRNPLL	0.121456633677387	0.000683810847815628
TMEM178A	TMEM178A	0.209028587088916	4.4495402427227e-07
COX7A2L	COX7A2L	2.05080228538723	0.0678043299163911
PREPL	PREPL	0.309535070078882	2.66127622869899e-05
