Gene	LogFC	Pval
HES4	HES4	25.1730290733915	7.34436337173811e-07
AGRN	AGRN	0.125799842828923	0.00170618818077299
RNF223	RNF223	0.415363265137435	6.30094966049528e-10
AL390719.2	AL390719.2	0.608857903405003	1.11985110581713e-42
SDF4	SDF4	2.1498590061075	2.63296960535467e-05
C1QTNF12	C1QTNF12	0.808733957660526	6.84244882858889e-38
MXRA8	MXRA8	7.93148955315063	5.95027071525263e-06
AURKAIP1	AURKAIP1	2.74310529357604	0.0847717405699578
VWA1	VWA1	2.69836997569788	0.00822930843057948
TMEM52	TMEM52	0.245924474661439	1.85824776052912e-06
PRKCZ	PRKCZ	0.41166659603863	2.34240426929245e-05
RER1	RER1	1.72444370190171	0.0455121027088049
TNFRSF14-AS1	TNFRSF14-AS1	0.814595974690632	5.16639606006856e-44
TNFRSF14	TNFRSF14	3.39467805879978	2.45351420155338e-79
FAM213B	FAM213B	0.507878698714182	0.0288388943504479
AL831784.1	AL831784.1	8.80358096627921	5.79020674995271e-05
ARHGEF16	ARHGEF16	0.263390663332471	2.58882513636392e-15
TPRG1L	TPRG1L	0.258558687137816	0.000512724409188944
SMIM1	SMIM1	1.03127832682867	9.21357221725663e-10
RPL22	RPL22	81.623548889826	5.6382190599736e-23
ESPN	ESPN	6.54724687904932	2.07421547478875e-46
KLHL21	KLHL21	1.74583880397229	0.000107434310520713
ERRFI1	ERRFI1	16.7405291751238	1.48963372153608e-43
RERE	RERE	0.238054909144212	0.0352718739812459
ENO1	ENO1	14.6033171799004	0.00386385583326128
SLC2A5	SLC2A5	0.222473409747812	2.98850018781215e-17
SPSB1	SPSB1	0.493860527864032	5.87874767468836e-05
PIK3CD-AS2	PIK3CD-AS2	0.117608927702396	1.29692800228864e-06
CLSTN1	CLSTN1	0.547894354637108	0.00166528552983139
LZIC	LZIC	0.288433404839795	0.0116658884799952
DFFA	DFFA	0.234687632982269	0.031630258017882
FBXO2	FBXO2	7.91095447075162	3.56942865274059e-26
FBXO6	FBXO6	0.162912453298956	3.30512782285416e-10
AGTRAP	AGTRAP	0.305402997975851	0.0188598322743047
MTHFR	MTHFR	0.486908188632509	7.89102050938286e-10
KIAA2013	KIAA2013	1.81715938774165	6.23972675384676e-20
MFN2	MFN2	0.247572398616658	0.00500532228382201
PDPN	PDPN	0.260391875922221	3.74407824745433e-10
KAZN	KAZN	0.156631544604053	0.000362150901383618
EFHD2	EFHD2	0.592949053233365	0.000127493375744835
AGMAT	AGMAT	0.476808869243365	2.11060086971042e-09
DDI2	DDI2	0.903591168364928	4.23815614625923e-09
TMEM82	TMEM82	0.316121294743418	9.16661096338596e-30
FBLIM1	FBLIM1	3.10330390290542	2.40511105669266e-49
SPEN	SPEN	3.61112862948855	0.027105293613862
EPHA2	EPHA2	18.5927791851761	2.18874447863865e-37
ARHGEF19	ARHGEF19	0.117242888980746	0.048907039143088
PADI2	PADI2	0.166155213964754	1.32014026592358e-05
ARHGEF10L	ARHGEF10L	0.427283616130206	0.0172826615348466
UBR4	UBR4	0.209963318301722	0.0144193638848025
NBL1	NBL1	2.05038561350311	1.99833083032995e-05
RNF186	RNF186	9.94624643616478	9.38541859814749e-33
PLA2G2A	PLA2G2A	43.7752938468174	2.37443504159314e-33
CAMK2N1	CAMK2N1	13.4672730065407	0.0286601820544925
CDA	CDA	0.738201231470036	1.44145400863534e-05
DDOST	DDOST	3.63506265333936	0.00678495339602895
HP1BP3	HP1BP3	1.21270456223726	0.00106034687024238
EIF4G3	EIF4G3	0.138267232770761	0.00198070486765202
ECE1	ECE1	0.206972529996603	0.030083892254006
USP48	USP48	0.220426825146602	3.12780409361799e-05
EPHB2	EPHB2	1.29243407195053	2.27963239429332e-09
HNRNPR	HNRNPR	5.15679814701851	5.03917587707668e-10
TCEA3	TCEA3	1.76541114215221	1.8033812034223e-06
ID3	ID3	17.6288372960366	1.56177098559975e-15
RPL11	RPL11	238.630309793933	4.99405276111923e-21
LYPLA2	LYPLA2	0.574013111783634	0.0216945682817947
