Gene	LogFC	Pval
NOC2L	NOC2L	0.449550909047299	0.0103272642094815
AGRN	AGRN	0.2296557551567	0.00273557620892244
ACAP3	ACAP3	0.283255366108643	0.00693007404031824
SSU72	SSU72	0.310922335602538	0.0459291301090343
GNB1	GNB1	5.44345726169918	0.0050684816100397
PRKCZ	PRKCZ	0.437110215813987	0.00117685862384127
FAAP20	FAAP20	1.64907919841467	0.0790119741539728
HES5	HES5	0.23548493936275	0.00040900944599661
MEGF6	MEGF6	0.151918006669356	0.000526990853537913
ACOT7	ACOT7	13.1101256472223	0.000207039261863879
CAMTA1	CAMTA1	2.20970792261946	1.39883498512909e-08
VAMP3	VAMP3	0.834218419661973	0.000814344327705465
PARK7	PARK7	21.0608112797949	0.0145729714725861
RERE	RERE	0.204346449387015	0.00717708532389789
CTNNBIP1	CTNNBIP1	0.184959449202933	0.0379894044129742
KIF1B	KIF1B	0.959950864956458	3.48788505620768e-11
PGD	PGD	1.55195866935739	1.70717222896252e-05
CASZ1	CASZ1	0.195324216051812	0.00397122379219175
SRM	SRM	0.810229882635199	0.0300014272575097
FBXO44	FBXO44	0.100928323639946	0.00576873562158159
CLCN6	CLCN6	0.115448099317474	0.000318860831610621
MIIP	MIIP	0.124629141772827	0.00361246817368645
PDPN	PDPN	0.206522887889868	0.0033445185755374
KAZN	KAZN	0.100115953855204	0.0217146603638659
EPHA2	EPHA2	0.133237498095286	0.00109101993551324
ATP13A2	ATP13A2	0.831550315954588	0.0364007159891423
SDHB	SDHB	0.151958802429382	0.00190031920926279
RCC2	RCC2	0.42032171761154	0.00347351829264829
MRTO4	MRTO4	0.124877671690751	0.0113745446983615
CAPZB	CAPZB	10.3322820451158	0.0603070357942893
PINK1	PINK1	2.34372360055565	0.00329554133603361
EIF4G3	EIF4G3	0.178522927568825	0.0231126333317166
USP48	USP48	0.11178861871898	0.0168380033255457
CDC42	CDC42	10.1084653220899	0.000298374123628924
KDM1A	KDM1A	0.192569194584866	0.0128203217119159
HNRNPR	HNRNPR	0.224570986945538	0.0370934608024934
ID3	ID3	5.76480875092695	0.0383726292736755
RSRP1	RSRP1	2.23851617216379	0.0582476056397141
STMN1	STMN1	165.468175559201	2.47976568321245e-25
NUDC	NUDC	4.81203264049935	0.00393549086852383
TRNP1	TRNP1	0.552604133378502	2.59311905952991e-06
AHDC1	AHDC1	0.10948137315372	0.0105813580446932
STX12	STX12	0.500267735760487	0.0774792472150349
DNAJC8	DNAJC8	0.619524858364842	0.00576073110330092
TRNAU1AP	TRNAU1AP	0.383857750422523	0.0446947662308642
YTHDF2	YTHDF2	1.10545034235152	0.00486503958821588
SDC3	SDC3	1.03549971366922	2.56474752944339e-07
SNRNP40	SNRNP40	0.145878885889925	0.0253131832332353
ZCCHC17	ZCCHC17	0.112173192971486	0.0256288419345431
PEF1	PEF1	0.468923480409975	0.0677892156868752
EIF3I	EIF3I	2.69936910260623	0.0675027329887683
MARCKSL1	MARCKSL1	25.2613762996144	2.77445694235115e-18
YARS	YARS	0.140985461870775	0.01236331420685
PHC2	PHC2	0.290653262254878	0.000408478541589906
SMIM12	SMIM12	0.169819865338743	0.00622995317673306
PSMB2	PSMB2	1.13202277978318	0.0508116832658135
AGO1	AGO1	0.111865576185595	0.005374371163164
MAP7D1	MAP7D1	0.520376000605998	0.000569719514073106
LSM10	LSM10	0.121165569543453	0.0536227450869703
GRIK3	GRIK3	0.367364644401964	1.60845192277793e-13
AL031430.1	AL031430.1	0.105918192791915	1.9640292371331e-05
C1orf122	C1orf122	6.85036870942435	0.0150821636859591
NDUFS5	NDUFS5	15.3474825465107	0.0377746416917991
HEYL	HEYL	0.223904555855752	8.90049691590867e-08
BMP8B	BMP8B	0.112511012107623	8.7258703782788e-05
MFSD2A	MFSD2A	0.609314576289675	1.40658792546538e-05
CAP1	CAP1	3.87031106937006	8.03795502900991e-05
COL9A2	COL9A2	0.276163336310249	9.92665646306687e-10
RIMS3	RIMS3	0.590940046221407	2.62086609207238e-07
YBX1	YBX1	29.3071556470019	2.68642858541487e-05
EBNA1BP2	EBNA1BP2	0.11543720788101	0.0486455050408342
HYI	HYI	1.41883647924008	0.00153913448515426
PTPRF	PTPRF	0.526439840640285	0.000130503648547124
ATP6V0B	ATP6V0B	47.2915034264565	1.47341299899879e-08
B4GALT2	B4GALT2	0.761237198525277	0.0589697858062718
DMAP1	DMAP1	0.235844000907968	0.0767889542765681
ERI3	ERI3	3.08229694375601	0.00796886997387396
PLK3	PLK3	0.16788643137142	9.69487191999555e-05
PRDX1	PRDX1	15.4680140872271	2.20499654777002e-08
NASP	NASP	0.627023166051499	0.0127795160853049
POMGNT1	POMGNT1	0.164991918215072	0.00493561560023303
LRRC41	LRRC41	0.279368849179611	0.00833073235353332
ELAVL4	ELAVL4	23.292704167363	3.37392642678676e-13
BTF3L4	BTF3L4	4.98203779336289	0.0858137260806981
SCP2	SCP2	1.83211571248195	0.00024401578577472
DOCK7	DOCK7	0.369492657635046	0.0571791722986392
FOXD3-AS1	FOXD3-AS1	0.437626536719907	2.1226870247426e-11
FOXD3	FOXD3	0.662375485272213	2.97184691855717e-16
PGM1	PGM1	0.313325778354054	0.00793780405273187
LEPROT	LEPROT	0.186427478466467	0.0171110489396118
PDE4B	PDE4B	0.135380562326255	1.04527059821537e-05
SGIP1	SGIP1	0.850594524513221	0.000382634030525806
