Gene	LogFC	Pval
MXRA8	MXRA8	0.79094648014816	0.0011620210753273
VWA1	VWA1	4.02126669176948	6.67284097109347e-16
MMP23B	MMP23B	0.66498462565132	1.04744193648404e-05
PLOD1	PLOD1	0.841199962847877	5.64745746739311e-06
FBLIM1	FBLIM1	0.383884351631492	1.22335091339103e-05
HSPB7	HSPB7	0.46958394037255	1.13023114310436e-09
CROCC	CROCC	0.146256602138374	0.00341927138280896
MFAP2	MFAP2	6.04405092243897	2.51760653611096e-06
NBL1	NBL1	6.53496740105005	2.68469020251341e-08
PLA2G2A	PLA2G2A	1.87422658551624	0.0102549003340256
UBXN10-AS1	UBXN10-AS1	0.187019884410196	0.00106600529023832
ID3	ID3	0.531201720535357	6.8009167512214e-05
CLIC4	CLIC4	0.599751362091524	0.000619009759476069
TINAGL1	TINAGL1	1.53166742586284	6.83443252431735e-16
SYNC	SYNC	0.182217701287734	0.00258432278815802
FHL3	FHL3	2.3914385851293	3.63628914382691e-10
MYCBP	MYCBP	0.151653344687404	0.0981995598876393
MACF1	MACF1	4.49650914388584	2.03890786630175e-12
GUCA2B	GUCA2B	0.129425495347462	0.0155584701307963
EFCAB14	EFCAB14	0.186428874696419	0.00177723607703253
GPX7	GPX7	1.75559060683176	0.0257664963051715
ECHDC2	ECHDC2	0.166637348324961	0.0743786354999722
LRRC42	LRRC42	0.185261516012839	0.0202093424586749
AK4	AK4	0.300644350505089	0.00212166560528514
GNG12	GNG12	0.303469901009578	0.0257880315810381
NEXN	NEXN	6.89050549149961	4.49012675091636e-21
AC103591.3	AC103591.3	0.142119533865347	0.00266963851120198
ADGRL2	ADGRL2	0.241007293962266	0.0219649393446252
CYR61	CYR61	40.1240124052983	0.00435446934691669
GBP1	GBP1	0.441580979082836	2.2253743741878e-05
GBP2	GBP2	0.283755299990004	1.79716847806797e-05
TGFBR3	TGFBR3	0.5363025451065	6.28263813387455e-05
FAM69A	FAM69A	0.159672752046945	0.000256731914993822
AGL	AGL	0.163079541758583	0.0383992942897395
GSTM4	GSTM4	0.128647723354805	0.0431210546741065
GSTM5	GSTM5	2.23017442861748	2.52641690447793e-06
GSTM3	GSTM3	0.53822732355337	0.000147486170429088
