Gene	LogFC	Pval
SAMD11	SAMD11	1.88819112061641	1.07839640698359e-08
ISG15	ISG15	7.94697487266205	0.00577785699583561
SDF4	SDF4	0.184286012733333	0.00298591703116368
MXRA8	MXRA8	0.91788745957891	2.52910013445476e-19
VWA1	VWA1	0.158016337787659	0.00293940596445277
MMP23B	MMP23B	1.07654037783014	1.04840263486899e-21
TNFRSF14	TNFRSF14	0.1741178122641	1.04172889519735e-07
ERRFI1	ERRFI1	0.113909823567684	0.050761425795114
AGTRAP	AGTRAP	0.146080615730402	0.0301651262285853
PLOD1	PLOD1	0.427565579601764	9.75820457363345e-13
FBLIM1	FBLIM1	0.927137837919824	1.36758031924583e-26
MFAP2	MFAP2	4.43193715874562	3.21355500856151e-22
AKR7A2	AKR7A2	0.130949317941113	0.00663495942837931
NBL1	NBL1	9.52167328613727	6.4446704654271e-56
ECE1	ECE1	0.157637939474041	0.000547045257729412
RPL11	RPL11	4.39440872573209	0.0666316741435745
SELENON	SELENON	0.269469974461724	0.0917200517377364
HMGN2	HMGN2	0.404139081102437	1.73632178610966e-05
GMEB1	GMEB1	0.124088896753608	0.000835131369127949
YTHDF2	YTHDF2	2.93237319774321	0.041835636808916
COL16A1	COL16A1	0.481931595974149	0.0195345753585629
SFPQ	SFPQ	1.28096331925662	0.00331652598373359
MAP7D1	MAP7D1	0.36125938349903	0.00387319317035109
EVA1B	EVA1B	0.859253460231365	7.44995517021986e-11
FHL3	FHL3	0.441609217076454	3.11190224948608e-09
MACF1	MACF1	0.18210223303279	0.000142393899118329
P3H1	P3H1	0.164213767461863	0.000238319925586282
PTCH2	PTCH2	0.113833603929522	2.07161639520763e-06
ECHDC2	ECHDC2	0.100364421443606	0.00102229910528241
MAGOH	MAGOH	2.22348699790442	0.00226118844094241
LRRC42	LRRC42	0.137511614787694	0.0101433525422665
TMEM59	TMEM59	4.3777740984842	3.62954396617658e-05
PLPP3	PLPP3	1.13952363077692	2.93728817149109e-09
JUN	JUN	63.3944087104644	8.15165445040785e-27
NFIA	NFIA	2.22896730050634	0.0547829141270608
ITGB3BP	ITGB3BP	0.157323313003649	0.0095034511316938
LEPROT	LEPROT	3.87758257939992	1.075465545483e-05
GNG12	GNG12	0.344295941397177	5.47264504781993e-05
WLS	WLS	0.257161940823519	0.0139000900242143
LRRC7	LRRC7	0.110797781581364	6.85877386109608e-07
PTGER3	PTGER3	0.719148504064716	2.55654574767413e-12
NEXN	NEXN	6.66420398409397	1.37042164581168e-27
AC103591.3	AC103591.3	0.688336731471839	1.47087320288347e-08
ADGRL4	ADGRL4	0.539379079766366	3.94387479899075e-17
CYR61	CYR61	21.9853956183957	0.00232626625930404
SELENOF	SELENOF	0.651884126895397	0.0134956022021824
GBP3	GBP3	0.119841871058061	2.90628742559373e-06
GBP1	GBP1	6.5369884682714	2.46710200192403e-15
GBP2	GBP2	0.121433305831137	3.79208508172072e-05
TGFBR3	TGFBR3	0.450602687997244	8.15169907859914e-12
MTF2	MTF2	0.208828337296638	0.000650924975818625
F3	F3	2.61233414568268	0.000655017403242418
VCAM1	VCAM1	0.460008269763902	1.3175047052573e-08
GSTM5	GSTM5	0.417666271289133	1.87052226609238e-16
CSF1	CSF1	1.09780109836203	5.14666583910939e-13
WNT2B	WNT2B	0.470564703098515	1.18211852613399e-07
OLFML3	OLFML3	6.91484553214911	4.34552788359776e-36
