Gene	LogFC	Pval
SAMD11	SAMD11	0.854443091395335	1.24857225732931e-05
ACAP3	ACAP3	0.366281358937008	2.17418929346107e-05
VWA1	VWA1	0.225982630700862	0.00984760685924994
MMP23B	MMP23B	0.182103319845796	0.0537887102021827
PRKCZ	PRKCZ	0.449192705702404	0.000446490129431602
MEGF6	MEGF6	0.141679109394525	0.00340950776185487
RPL22	RPL22	14.7805167648283	0.0506177826385585
GPR153	GPR153	0.13568308482665	0.00359384827132131
ACOT7	ACOT7	13.0311536280793	0.036160869274452
CAMTA1	CAMTA1	1.86375748138583	0.00159511342688731
RERE	RERE	0.19564568786465	0.0160281153630006
CLSTN1	CLSTN1	0.283007364484886	0.000852770679502703
KIF1B	KIF1B	1.0017136018028	1.87358769728871e-10
CASZ1	CASZ1	0.212714168748651	0.000215355420853077
MIIP	MIIP	0.108007312503042	0.00572252275240021
PDPN	PDPN	0.337535412399676	2.58085322418213e-09
PRDM2	PRDM2	0.195529839595205	0.000512065349670483
ATP13A2	ATP13A2	0.835069344983447	0.036632412434839
RCC2	RCC2	0.444792524654073	0.00223640485557286
CAMK2N1	CAMK2N1	0.530085140781581	0.0364192470493999
HSPG2	HSPG2	2.16116309704976	0.00768422470497303
KDM1A	KDM1A	0.179190406068188	0.00775697134463397
RSRP1	RSRP1	1.97198685595868	0.000172035253895008
TMEM50A	TMEM50A	1.32065412627828	0.0399253285661404
STMN1	STMN1	203.055214686434	1.81285051954085e-09
HMGN2	HMGN2	7.12282190118584	0.035561232285748
SDC3	SDC3	1.12093918531238	5.83791013026051e-12
FABP3	FABP3	3.04633294801996	0.000774828791440148
COL16A1	COL16A1	0.176340031924693	7.93339043713793e-06
PTP4A2	PTP4A2	1.02960825035947	0.0938317148994208
EIF3I	EIF3I	1.96085164565863	0.0118167116800442
YARS	YARS	0.131348167574662	0.0345100206946453
AGO1	AGO1	0.102816681959538	0.0166637939195721
GRIK3	GRIK3	0.427054627741403	2.20232505231683e-13
AL031430.1	AL031430.1	0.105918192791915	1.9640292371331e-05
BMP8B	BMP8B	0.108917902521836	0.000253275510957303
MFSD2A	MFSD2A	0.617104971471733	1.12226432278917e-05
CAP1	CAP1	3.35937995736954	0.0745884695491624
COL9A2	COL9A2	0.292361784241641	3.29655692546473e-10
RIMS3	RIMS3	0.594488807763857	1.20256995192385e-07
YBX1	YBX1	34.9477814760751	0.000352875547577671
PTPRF	PTPRF	0.575739433775795	0.000313955987366328
POMGNT1	POMGNT1	0.138319669564387	0.0160567449400555
ELAVL4	ELAVL4	23.306301209871	4.46863992109808e-14
BTF3L4	BTF3L4	4.71429596321237	0.018697422600021
TMEM59	TMEM59	5.72966767647027	0.06833034525379
JUN	JUN	14.94803502734	9.9234440341389e-47
FOXD3-AS1	FOXD3-AS1	0.458078669392338	2.01548789712061e-12
FOXD3	FOXD3	0.669000493938997	9.98103426874282e-17
PGM1	PGM1	0.325811972343894	0.017800741031913
PDE4B	PDE4B	0.145743956894601	4.08420609773696e-06
SGIP1	SGIP1	0.814697421985806	0.0342658677605309
SERBP1	SERBP1	1.01614846724282	0.0269131215664575
NEGR1	NEGR1	0.662849967047339	7.27453522795733e-06
IFI44	IFI44	0.263079751368622	0.00323484836162163
TTLL7	TTLL7	0.260300650172286	0.0016167554260549
PRKACB	PRKACB	1.43270176508374	0.0136503545592205
ZNF326	ZNF326	0.466374241656834	0.00865607381429552
ZNF644	ZNF644	0.141424351570854	0.0794651159076938
RPL5	RPL5	73.0263731878926	0.0101456479694932
TMED5	TMED5	0.193052447717185	0.0300348898779322
ABCD3	ABCD3	0.11308284051274	0.0133115294296361
SLC44A3	SLC44A3	0.21156694006936	3.60414037588948e-05
CNN3	CNN3	0.205494885004268	0.000992742145026597
SNX7	SNX7	7.93455066174016	0.00920746421472008
PLPPR5	PLPPR5	1.60972739037275	0.000102076531308967
GPSM2	GPSM2	0.129092862511204	0.000401870273306184
CELSR2	CELSR2	0.139230634004917	5.94568356703395e-05
GSTM3	GSTM3	1.64761819699792	0.000392263748612464
TRIM33	TRIM33	0.135258256576383	0.0479029096907627
MAN1A2	MAN1A2	0.188469271730075	0.0109725188878467
LINC00623	LINC00623	0.172182024249886	0.000508123552364255
AC245595.1	AC245595.1	1.23874818504339	0.0992977850227037
CDC42SE1	CDC42SE1	0.105413030072746	0.00817542884533102
MLLT11	MLLT11	52.7764606466232	9.54568109240997e-12
