Gene	LogFC	Pval
HES4	HES4	3.49899932881718	3.29185527541048e-10
ISG15	ISG15	0.10593001169537	0.0562086301396036
MXRA8	MXRA8	0.703347092639206	5.57705312164278e-09
HES5	HES5	5.75553662979753	0.00682451960055873
ERRFI1	ERRFI1	0.165901552726453	0.0548933722862557
MTHFR	MTHFR	0.38351722335154	3.8152965712209e-10
PLOD1	PLOD1	0.248537082384241	4.209921313826e-05
TMEM51	TMEM51	0.31256266951013	0.020645691136542
FBLIM1	FBLIM1	0.699309317884826	3.28977917969438e-16
CROCC	CROCC	0.108211027635436	0.00752588102349792
MFAP2	MFAP2	0.618211395057088	0.00143018797593708
NBL1	NBL1	0.49496658617737	8.45553816000626e-05
ECE1	ECE1	0.204614072060343	0.000766100837258293
ID3	ID3	2.93825616298624	9.68483442007337e-20
SRSF10	SRSF10	0.360748074447662	0.0180065396223636
SYF2	SYF2	0.428741955197753	0.00388139780476479
SESN2	SESN2	0.102374123396482	0.0636746772028071
SNHG12	SNHG12	0.373322746879834	0.00102742135708157
GMEB1	GMEB1	0.109532246472783	0.00469797353576462
TINAGL1	TINAGL1	4.49195992077159	4.0486576168567e-58
GJA4	GJA4	7.11163128196932	4.84071486535189e-34
EVA1B	EVA1B	0.59839383389857	4.00081198537868e-13
ZC3H12A	ZC3H12A	0.122256196610358	0.0735777606680289
YRDC	YRDC	0.163860949018442	0.0203632593057755
FHL3	FHL3	0.231687696347257	0.000174977064942824
POU3F1	POU3F1	0.178799329227409	5.29607107119248e-05
PABPC4	PABPC4	0.289215565505671	0.000670887172025358
HEYL	HEYL	0.465614728792265	0.057312526331667
PPIH	PPIH	0.169467604050279	0.0232369139684684
ARTN	ARTN	0.213207891312527	0.00102822800543134
SLC6A9	SLC6A9	0.191663496892422	2.01372572490232e-07
MKNK1	MKNK1	0.127199001786124	0.00173852876959873
OSBPL9	OSBPL9	0.45881625917741	4.06172841563305e-11
MAGOH	MAGOH	0.374572726278451	0.00336434983476827
USP1	USP1	0.185578883887736	7.95245330121492e-05
LEPROT	LEPROT	0.222576647103183	0.0597701705097488
GNG12	GNG12	0.180623663321523	0.00189783234715157
NEXN	NEXN	0.379256386371236	3.37203870336521e-07
DNAJB4	DNAJB4	0.26244217183014	0.00159570224064841
AC103591.3	AC103591.3	0.390308456213188	3.0537278564997e-09
LMO4	LMO4	0.205143343108663	0.0656684844440009
GTF2B	GTF2B	0.71134660255997	0.00425082255060699
GBP1	GBP1	0.484040814244201	4.46482551934623e-05
CDC7	CDC7	0.114290474532236	0.0818597371270936
ARHGAP29	ARHGAP29	0.56618170397637	3.23761601260567e-13
VCAM1	VCAM1	0.110297765800051	0.000784609288767064
AC104506.1	AC104506.1	0.134704243518219	0.00668273630518098
SLC25A24	SLC25A24	0.130918291412718	0.000595977110398478
GNAI3	GNAI3	0.178755935138407	0.00030105509583014
GSTM4	GSTM4	0.11295598714649	0.0346358880332135
GSTM5	GSTM5	0.271399040425659	6.10433574732263e-08
CSF1	CSF1	0.331424642343109	5.86377813739979e-06
AHCYL1	AHCYL1	0.199665287206626	0.0474078440866854
KCNC4	KCNC4	0.159392052233017	8.57291447968197e-05
OLFML3	OLFML3	0.749969962609675	0.000243177158052571
NGF	NGF	0.796694709859421	1.29904784527405e-10
TXNIP	TXNIP	5.75891015350095	0.000265353449868331
GJA5	GJA5	0.137171990398759	5.53498358403781e-05
ANP32E	ANP32E	0.119798188499767	0.000210679077193533
C1orf54	C1orf54	0.248355503065049	1.50794355256955e-08
MCL1	MCL1	0.525167542202862	2.65296360203734e-10
SELENBP1	SELENBP1	0.257942897013972	7.85504245237191e-08
S100A11	S100A11	6.9761197694638	2.46461613228405e-17
S100A4	S100A4	2.79670289647692	0.0572098494894812
SLC27A3	SLC27A3	0.109808527587031	0.0182528183138359
GATAD2B	GATAD2B	0.159663257108061	0.0144677396326636
RAB13	RAB13	0.348633746317922	0.022964907538946
EFNA1	EFNA1	0.5062699136808	0.000161252085163681
SEMA4A	SEMA4A	0.445664214671945	4.92015380185996e-07
SLC25A44	SLC25A44	0.253002323679493	0.00503959408471194
MEF2D	MEF2D	0.159960326736545	0.00057217043730391
PEAR1	PEAR1	0.247736549123835	2.02071698182051e-08
KIRREL1	KIRREL1	0.33122002143962	3.20816511200371e-07
B4GALT3	B4GALT3	0.151700162252758	0.0507939679263884
ADAMTS4	ADAMTS4	1.31706072137805	3.83299440850633e-13
NDUFS2	NDUFS2	0.159142082557312	0.000989895036041608
OLFML2B	OLFML2B	1.62459309199829	3.64876907555299e-16
RGS5	RGS5	25.0227209581143	8.11302256894495e-66
RCSD1	RCSD1	0.349825195575122	9.50771148291215e-13
KIAA0040	KIAA0040	0.272821035721524	4.94463339056001e-06
IER5	IER5	2.06385242043454	1.72053288150467e-05
GLUL	GLUL	0.786225627114895	0.000506148809089335
RGS16	RGS16	23.1864824114941	2.13142759201287e-47
LAMC1	LAMC1	0.218191206667503	0.000152384791951478
TPR	TPR	0.3639365068744	0.00655339334843858
ODR4	ODR4	0.117850879339824	0.0252484931429138
PTGS2	PTGS2	0.133400847307802	0.00116657499841865
RGS2	RGS2	0.754393258378271	0.034861119571813
CSRP1	CSRP1	7.62930886664104	0.0469793721002638
LMOD1	LMOD1	0.1265806491318	1.29472213559776e-06
PPP1R12B	PPP1R12B	3.70527676365277	0.00191304519370668
BTG2	BTG2	11.7509429032197	3.32444039070031e-36
FMOD	FMOD	0.160023820413773	2.60827438265798e-05
NFASC	NFASC	0.156685987724799	0.00206511486995991
CDK18	CDK18	0.145009567271281	0.000369114572656921
MAPKAPK2	MAPKAPK2	0.389490587238954	2.95384330018233e-06
CD55	CD55	0.221843985115523	0.0015783003900021
CD46	CD46	0.614242571226107	0.000215734965252565
TRAF5	TRAF5	0.197713054682848	2.72775067759897e-07
ATF3	ATF3	21.9595080514205	8.74389432892437e-22
SMYD2	SMYD2	0.156400455246108	0.000514010282129338
MARK1	MARK1	0.191228023684337	1.97477771159629e-07
HLX	HLX	0.120328017272089	8.42093328392699e-05
CAPN2	CAPN2	0.38385955543422	2.87972931540247e-06
DEGS1	DEGS1	0.31350971522353	8.31550753687373e-05
CNIH4	CNIH4	0.192724465153203	0.00438146608943544
ENAH	ENAH	1.19386544168152	0.000432365171219189
EPHX1	EPHX1	0.764192354347999	7.55947660844124e-11
CDC42BPA	CDC42BPA	0.129664704580035	0.00199662861470462
NID1	NID1	0.768903481471705	0.0775913399194445
ADAM17	ADAM17	0.134689948518928	0.00584241914944415
KLF11	KLF11	0.100200277505299	0.00393010422239247
ROCK2	ROCK2	0.516011194119721	0.00146699075222195
FAM84A	FAM84A	0.349913067784988	0.000634711231763668
KCNS3	KCNS3	1.43022583309265	3.96022670462781e-22
LAPTM4A	LAPTM4A	3.42637296993379	1.0807805037997e-08
ADCY3	ADCY3	0.356084574340298	2.8014475012357e-14
DNAJC27	DNAJC27	0.110757362448199	0.0162553796054018
YPEL5	YPEL5	0.199897505409134	0.023026869732011
LBH	LBH	3.12223658476043	3.94162586232511e-15
CRIM1	CRIM1	0.214936491807293	1.54131100090682e-07
PKDCC	PKDCC	0.346221281436379	0.00252764830778352
ZFP36L2	ZFP36L2	0.870068706459461	0.026736713294281
PLEKHH2	PLEKHH2	0.166169164048564	7.33814414753844e-05
EPAS1	EPAS1	0.743594288439722	9.83491700148945e-18
EFEMP1	EFEMP1	1.1331335699412	1.29390921118432e-16
CCT4	CCT4	0.257224011372548	0.00773998046992887
B3GNT2	B3GNT2	0.109405507494524	0.00015276655123419
UGP2	UGP2	0.310412977934803	0.00024656162460499
PELI1	PELI1	0.502463324018343	2.37074629624583e-08
LGALSL	LGALSL	0.331929569938	6.48400084786296e-05
GFPT1	GFPT1	0.154540103786138	0.000846961703188962
ANXA4	ANXA4	0.104552970426521	0.0350952919682061
PCYOX1	PCYOX1	0.308628924294203	1.25922257394687e-06
ACTG2	ACTG2	55.9902076576403	8.32272500069669e-12
MTHFD2	MTHFD2	2.47174773819093	1.01383884702126e-13
ST3GAL5	ST3GAL5	0.12784314050591	0.0194317353566926
CYTOR	CYTOR	4.38426841447442	9.96393094723764e-32
DUSP2	DUSP2	11.0732325954723	2.38389842335169e-10
ARID5A	ARID5A	0.516468546255131	5.82398928252697e-08
FHL2	FHL2	0.168694003502841	4.50585949465686e-06
NCK2	NCK2	0.301378860382208	1.00158212800425e-06
C2orf40	C2orf40	0.927124175115409	8.74529721465358e-12
LIMS1	LIMS1	2.09035481879712	1.62883830947636e-09
SEPT10	SEPT10	0.208262600538856	0.0115703188176871
MIR4435-2HG	MIR4435-2HG	4.26639353182946	1.37143093517385e-28
PGM5P4-AS1	PGM5P4-AS1	0.857711768248097	2.59959920733558e-08
ACTR3	ACTR3	0.217987481593897	0.019031997953387
GYPC	GYPC	0.465570070170179	0.00724030645568095
AC012306.2	AC012306.2	0.170343262181127	0.000876778775802445
HNMT	HNMT	0.184882493033996	0.000795873837263936
RND3	RND3	0.106783873738842	1.55214596770109e-06
NR4A2	NR4A2	6.49113760211866	0.00240294560822416
FAP	FAP	0.112184475101392	0.033401721396568
COBLL1	COBLL1	0.148959045131511	5.3565850541336e-06
KLHL23	KLHL23	0.232251897001953	1.62470370310497e-05
GORASP2	GORASP2	0.198929109982293	0.000650213777378286
MAP3K20	MAP3K20	1.28852220903377	1.07805727437305e-18
CDCA7	CDCA7	0.211828350733209	0.00202911476586335
FKBP7	FKBP7	0.201520564111481	0.00429312712493774
ITGA4	ITGA4	0.138648532595799	0.000537695389711408
FRZB	FRZB	13.4697934988326	1.13800153554623e-29
ITGAV	ITGAV	0.137581365355392	0.0313892904988703
TFPI	TFPI	5.13638703724167	8.20111882967047e-24
SLC40A1	SLC40A1	0.252837564169151	3.51730512736163e-08
NAB1	NAB1	0.1404748551169	0.0582065979293237
MYO1B	MYO1B	0.570500150551718	9.68616175613305e-15
CAVIN2	CAVIN2	0.186639887107158	0.00128411059317838
COQ10B	COQ10B	0.175999856089597	0.00572988613309485
