Gene	LogFC	Pval
MXRA8	MXRA8	0.755060231757236	1.38669004625515e-21
HES5	HES5	2.79590039971579	0.0707413403389844
TMEM51	TMEM51	0.343152260054414	2.05160149260984e-07
CAMK2N1	CAMK2N1	0.424520179723823	9.53579218099759e-08
PNRC2	PNRC2	0.119170262054468	6.03183245482499e-05
TRNP1	TRNP1	0.130224057179387	6.15717517503403e-05
SNHG12	SNHG12	0.368465366841443	1.52730315404486e-05
FABP3	FABP3	0.201698202201452	7.05924967222463e-06
TINAGL1	TINAGL1	2.72453423450975	3.3096868348577e-26
NDUFS5	NDUFS5	1.76472506332291	0.00216598308923999
HEYL	HEYL	0.695906638261146	5.76116217769507e-14
ARTN	ARTN	0.278553513519324	1.98540503986296e-10
SLC6A9	SLC6A9	0.193512361989789	5.0599029069617e-08
RPS8	RPS8	4.50228312142313	9.16401987249945e-18
CYP4X1	CYP4X1	0.12606361900198	0.000103992112794322
OSBPL9	OSBPL9	0.238986310878532	7.19020326299069e-06
MYSM1	MYSM1	0.439179179361025	0.000571850974546514
DNAJB4	DNAJB4	0.113337627444148	4.07086875338306e-09
TTLL7	TTLL7	0.112840704576317	0.0038199757600701
LMO4	LMO4	0.549382065349199	2.62316837772672e-05
GTF2B	GTF2B	0.764159993849346	3.92531904543951e-07
GBP1	GBP1	0.352293230265068	0.00284663433067297
GSTM4	GSTM4	0.131352430938849	0.00310830075517366
GSTM5	GSTM5	0.215594573701058	2.2326681640619e-09
NGF	NGF	0.816475626663236	1.82312059422391e-11
NOTCH2	NOTCH2	0.106133353623592	2.77235308762183e-05
AC245595.1	AC245595.1	0.153434791666205	0.000273407430613645
AC245297.3	AC245297.3	0.112327463730357	0.00665730569278463
CTSK	CTSK	0.170980981343547	0.0353895475595014
MLLT11	MLLT11	0.227707725437514	7.54086882881826e-05
SELENBP1	SELENBP1	0.183975396060492	1.70223483215307e-05
S100A11	S100A11	4.08908702287842	0.0226712223322935
S100A4	S100A4	3.07006874767596	0.00135488746850777
KIRREL1	KIRREL1	0.235005647429526	7.74596347905101e-07
ATP1A2	ATP1A2	0.154992953636517	2.76744939105511e-07
OLFML2B	OLFML2B	1.96666985674631	6.91280858667633e-31
DDR2	DDR2	0.311661287670271	9.65012680720484e-12
RGS5	RGS5	25.044086678765	1.19677787219599e-66
MGST3	MGST3	1.1730635281736	3.78824290883046e-17
RCSD1	RCSD1	0.303894844785443	4.56177700069435e-10
RGS16	RGS16	6.12517139242985	1.13271734542361e-36
ARPC5	ARPC5	1.39919425285376	4.55653849947065e-07
RGS2	RGS2	0.421742368315265	0.0248588775708753
CSRP1	CSRP1	5.72750150106849	0.000384114403288473
LMOD1	LMOD1	0.115978456413842	4.18489112456995e-06
PPP1R12B	PPP1R12B	3.96770571470731	1.52241527984735e-10
NFASC	NFASC	0.307705174801777	6.72354156055166e-11
CDK18	CDK18	0.157972914979974	7.38080467063509e-08
NENF	NENF	0.284837321398413	4.98917270049516e-06
SMYD2	SMYD2	0.103232705674092	0.000353177748408081
MARK1	MARK1	0.194357494152805	2.11016410933499e-07
ENAH	ENAH	1.1142865652259	1.47768519997353e-06
EPHX1	EPHX1	0.183793319990266	4.81236212468485e-05
IAH1	IAH1	0.207238267159917	1.36934257893535e-05
FAM84A	FAM84A	0.224906948070346	0.000448182136082407
KCNS3	KCNS3	1.49920067667188	1.54254347552704e-24
ADCY3	ADCY3	0.32068357872798	4.3159824891396e-12
LBH	LBH	2.47027657358901	2.42877716566336e-05
PKDCC	PKDCC	0.264813366752405	0.05616020761201
PLEKHH2	PLEKHH2	0.164301938597925	6.76368588782869e-05
RHOQ	RHOQ	0.142268306494119	0.00077488240992093
EFEMP1	EFEMP1	1.09660264604522	4.82784644547021e-16
LGALSL	LGALSL	0.166635659453148	0.00198934062450824
ANTXR1	ANTXR1	0.156402150840963	2.53010964444848e-06
PCYOX1	PCYOX1	0.193553180383422	0.000239027148672637
ACTG2	ACTG2	37.1252865353012	2.84134364679599e-12
MTHFD2	MTHFD2	2.49671930097168	7.67663732156889e-17
ST3GAL5	ST3GAL5	0.211332924174055	2.19369119276881e-06
RPL31	RPL31	0.825117493414397	0.0328381838883859
C2orf40	C2orf40	0.702487103427865	7.5514569218464e-11
PGM5P4-AS1	PGM5P4-AS1	0.857711768248097	2.59959920733558e-08
HNMT	HNMT	0.216547363600832	4.29873039867528e-10
ARHGAP15	ARHGAP15	0.156659094815164	0.000977419726929936
ZEB2	ZEB2	1.03156725060288	6.73294289598125e-25
FIGN	FIGN	0.123062282708968	5.05881011291609e-06
KLHL23	KLHL23	0.222853056926835	1.11880038962142e-07
MAP3K20	MAP3K20	1.05136159237958	1.7112213305959e-17
OLA1	OLA1	0.355595343129292	3.79574941856221e-05
ATP5MC3	ATP5MC3	0.777014978221802	4.81671359430493e-05
PRKRA	PRKRA	0.265752034572893	0.000410035432333068
FKBP7	FKBP7	0.30149353639291	7.13745464480947e-10
ITGA4	ITGA4	0.16147188082469	8.59299451211099e-07
FRZB	FRZB	12.3714281004484	3.9442953924081e-37
TFPI	TFPI	2.45133289571094	6.52121982717298e-07
SPATS2L	SPATS2L	0.267631512166871	0.02277719781818
ATIC	ATIC	0.194437707051713	2.52998627996024e-06
IGFBP5	IGFBP5	3.00310706011287	5.56327396136068e-11
WNT6	WNT6	0.216162365900155	1.50568784843405e-06
CHPF	CHPF	0.13995533310264	3.83379470184168e-06
NCL	NCL	3.31724781500025	3.09317860453423e-08
NPPC	NPPC	0.17647879757182	0.0112463138917367
EFHD1	EFHD1	0.354734270935462	4.68305282352498e-12
COL6A3	COL6A3	7.95829568980504	7.08049141287998e-60
GPC1	GPC1	0.126036038364182	5.49696379943888e-05
CNTN4	CNTN4	0.106356700939554	2.51816763500518e-05
CAMK1	CAMK1	0.209185522769115	0.000582236472234877
SLC6A1	SLC6A1	0.248292362006138	1.31917455951172e-10
UBE2E2	UBE2E2	0.234651608592319	9.24911959344673e-06
CRTAP	CRTAP	0.450918819378998	4.70104538283977e-07
RPSA	RPSA	3.75224353718956	0.000391133330162713
EIF1B	EIF1B	0.744650800339784	5.26158683600954e-10
ENTPD3	ENTPD3	0.232372609878626	1.08640589483614e-05
P4HTM	P4HTM	0.102668574285159	0.00372551068749146
IMPDH2	IMPDH2	0.555786838143739	0.0010444014291906
KLHDC8B	KLHDC8B	0.159010716578586	1.99912445090595e-07
CISH	CISH	0.315887290772537	9.84796963721581e-08
NT5DC2	NT5DC2	0.982445051138679	2.59280822000398e-09
SELENOK	SELENOK	1.04520038270136	0.000337567112433617
DCBLD2	DCBLD2	0.203273645324277	1.83617287337374e-06
FILIP1L	FILIP1L	0.564155457093023	0.00416704343551139
NIT2	NIT2	0.145931565354801	3.55790510802717e-06
ALCAM	ALCAM	0.143358461181999	3.95294252023628e-06
CCDC80	CCDC80	1.62491730578962	5.99565897759934e-21
SEMA5B	SEMA5B	0.964679564635503	1.63303184858329e-26
PODXL2	PODXL2	0.124369531311016	3.30723600952738e-05
H1FX	H1FX	2.41234804068363	3.38837025602577e-14
MRPL3	MRPL3	0.173662255657779	3.55337457803508e-05
CHST2	CHST2	0.177191826917218	3.81249001673074e-05
AGTR1	AGTR1	0.27992337514865	1.69221493831215e-07
PFN2	PFN2	0.683402726437094	6.41051951064015e-08
NMD3	NMD3	0.134534234319358	0.000522589214880424
BCHE	BCHE	1.48902207923165	9.03605553475295e-19
SERPINI1	SERPINI1	2.49746923692618	4.58346479037588e-25
RPL22L1	RPL22L1	2.51727381654274	0.00039438740204545
RPL39L	RPL39L	0.10181372754602	0.00191320386312051
CLDN1	CLDN1	0.152696818243067	2.64615240939254e-05
IL1RAP	IL1RAP	0.116981053759632	7.45411270933113e-07
SPON2	SPON2	10.6066514526807	1.02371205186773e-08
CRMP1	CRMP1	0.273681169688457	1.88571131701014e-05
SOD3	SOD3	1.71142182813956	3.29566824099427e-26
SULT1E1	SULT1E1	14.0884417657616	3.46657565685191e-53
PARM1	PARM1	0.154282803772343	3.00632090550639e-06
SEPT11	SEPT11	2.16637537899807	1.79415056303768e-20
AC098818.2	AC098818.2	0.180282354814552	0.000685935966320778
PDLIM5	PDLIM5	1.34104101713811	0.00148229465439119
ADH5	ADH5	0.375212240933018	1.3237964351491e-07
ENPEP	ENPEP	0.654777050756267	1.36431550640198e-19
ANK2	ANK2	0.277500866578414	2.0651842867721e-07
PDE5A	PDE5A	0.122898209500874	2.26633808469318e-06
PCDH18	PCDH18	0.801348658231564	1.37331848003487e-20
INPP4B	INPP4B	0.260837046218341	3.29251434149727e-11
EDNRA	EDNRA	1.00202611244286	1.48651751543281e-21
ARHGAP10	ARHGAP10	0.207532058016689	1.06587389361132e-12
MAB21L2	MAB21L2	0.417744650421287	4.72407434991935e-10
GUCY1A1	GUCY1A1	0.581989039377281	7.21892699485978e-18
GUCY1B1	GUCY1B1	0.766364846798933	2.21302482370291e-35
NPY1R	NPY1R	0.275794837453171	7.03601624571918e-11
SEMA5A	SEMA5A	0.329229270409241	6.16293483851462e-11
SNHG18	SNHG18	0.224187841529101	1.8155325853263e-07
BASP1	BASP1	1.11824441677455	4.30037151754257e-12
CDH6	CDH6	0.194116137171852	1.34551470780524e-06
NPR3	NPR3	0.238027235565127	0.056585902494862
GDNF	GDNF	0.282485359788071	0.00462873115783747
EGFLAM	EGFLAM	1.01705281445954	6.3729039858839e-21
ITGA1	ITGA1	0.759127670296701	1.98060316605278e-16
SSBP2	SSBP2	0.104834062510123	0.00733308307464752
VCAN	VCAN	0.621704910475219	5.51710499213821e-05
EDIL3	EDIL3	0.136732621897242	0.000290775047560855
NR2F1	NR2F1	0.170840745735169	8.43650042127622e-08
CAMK4	CAMK4	0.327713659391283	1.25993324315247e-12
NREP	NREP	6.33929370878626	5.71945382345616e-21
TNFAIP8	TNFAIP8	0.158878868060417	0.000125045255593361
C5orf15	C5orf15	0.166171383246669	0.000598204912664144
CAMLG	CAMLG	0.302398099103525	5.24702404186382e-06
TGFBI	TGFBI	0.179398464230035	3.89223339418705e-10
ADRB2	ADRB2	0.268203997321932	0.000381513506544202
IL17B	IL17B	2.26857002403457	8.18887805157929e-09
CARMN	CARMN	0.505951828597555	1.79543999842669e-14
PDGFRB	PDGFRB	4.14859980356006	8.16803229168113e-61
GPX3	GPX3	0.161601809185344	1.96847941269083e-06
ANXA6	ANXA6	0.467407742287173	3.98008607169566e-07
C1QTNF2	C1QTNF2	0.155288965150493	6.30038423184183e-06
SLIT3	SLIT3	0.510951936885517	1.77866752078689e-15
NPM1	NPM1	3.28919396221617	9.85076653451239e-16
HRH2	HRH2	0.143866353406431	3.52616242329867e-07
PDLIM7	PDLIM7	0.466939222568616	0.000125948412064418
TUBB2B	TUBB2B	0.262498542415803	0.00103779632441423
CAP2	CAP2	0.297839182190362	7.26082420105173e-08
ID4	ID4	2.4653080598364	6.9580925604368e-35
FKBPL	FKBPL	0.117395518838756	0.000177799209552933
RPS10	RPS10	1.29092416781849	4.61411369441126e-05
TEAD3	TEAD3	0.287225989059041	7.6146459654536e-08
GLO1	GLO1	0.11156752814241	0.046059106022975
DAAM2	DAAM2	0.430966399950887	7.33606387878641e-12
VEGFA	VEGFA	0.110233786275731	6.89196521579542e-10
SLC35B2	SLC35B2	0.250362092531858	1.0368443527312e-06
HMGCLL1	HMGCLL1	0.163101112959707	2.93759282006901e-07
COL21A1	COL21A1	1.66441627190556	1.0091342493877e-41
COL9A1	COL9A1	0.305142814076627	2.38811590664178e-08
SMAP1	SMAP1	0.227455480694872	6.75310239064081e-05
TPBG	TPBG	0.231705416272845	1.23694390921007e-08
PRSS35	PRSS35	1.58458903968525	1.24434228055946e-06
MICAL1	MICAL1	0.217065950510663	2.29355558832849e-08
FAM162B	FAM162B	0.710784304783813	6.76853178685876e-17
SLC35F1	SLC35F1	0.124261912441267	3.37091790390506e-06
PLN	PLN	0.495439966449487	2.34069599131026e-10
HEY2	HEY2	0.651996196008687	8.13158866902012e-21
EPB41L2	EPB41L2	0.248430617687235	2.9389170326304e-07
AL590617.2	AL590617.2	0.178913357683672	6.28208246314991e-06
CITED2	CITED2	0.964587674433187	0.00020146830448839
PCMT1	PCMT1	0.188958173268865	1.18186025711099e-08
ZDHHC14	ZDHHC14	0.44018442965157	0.00412091084789721
ACAT2	ACAT2	0.110709359387425	0.0154544999029479
FAM20C	FAM20C	0.225225737413812	0.000234288837004977
PDGFA	PDGFA	0.926313270232635	1.14688961274582e-11
NUDT1	NUDT1	0.354601916626494	0.0225868418698548
NDUFA4	NDUFA4	5.12425365665718	6.17109712935064e-15
TWIST1	TWIST1	0.395423482483369	1.43827166075647e-11
