Gene	LogFC	Pval
HES4	HES4	10.9721277926211	1.00960988817023e-30
AGRN	AGRN	2.61478763798599	9.68052461286879e-08
TNFRSF4	TNFRSF4	11.5408456640804	2.18563975950256e-17
ACAP3	ACAP3	0.30275857439702	8.9404499470673e-05
DVL1	DVL1	0.222409143716052	0.0463182791859408
CCNL2	CCNL2	2.19610332104609	6.74608581073637e-17
VWA1	VWA1	8.60790282661881	2.32964764825076e-30
ATAD3B	ATAD3B	0.10941069662517	0.0253943358931221
MIB2	MIB2	0.369803412095183	0.000156078084843997
CDK11B	CDK11B	0.275129192633027	0.0707626343061373
CDK11A	CDK11A	0.157325142852358	0.0601744163944848
NADK	NADK	0.16094065853564	0.0102622400749005
GNB1	GNB1	2.25225835280796	3.30540415515232e-09
PRKCZ	PRKCZ	0.137752518899997	0.00572171414120177
SKI	SKI	1.4379750931006	0.0628304901973034
TNFRSF14	TNFRSF14	0.81614267491678	7.98165374241472e-09
FAM213B	FAM213B	0.233268111740206	0.0959276110558035
PRDM16	PRDM16	0.302702138521454	5.68060402242378e-05
RPL22	RPL22	7.57398832236057	3.32638885998273e-05
TNFRSF25	TNFRSF25	1.47600949149744	3.1758488584724e-19
PLEKHG5	PLEKHG5	0.419179373788924	2.17615787772704e-09
KLHL21	KLHL21	0.100315100271955	0.0362041001858096
CAMTA1	CAMTA1	1.3473038546722	0.00348855238476766
VAMP3	VAMP3	0.940516204325436	4.45687766822157e-05
PARK7	PARK7	1.35416998231005	0.000788795743455489
RERE	RERE	0.719294076171562	1.74031789525591e-07
H6PD	H6PD	0.392204562174122	0.000393480422634865
TMEM201	TMEM201	0.1148542228917	0.0161404437263402
CLSTN1	CLSTN1	0.598295923924678	8.82973176108489e-05
CTNNBIP1	CTNNBIP1	3.98118703557469	3.20421779935942e-08
RBP7	RBP7	9.02596081300522	6.36480133866436e-17
UBE4B	UBE4B	0.220278905252119	0.0136198687922452
KIF1B	KIF1B	0.387935853471831	0.0186980860821407
PGD	PGD	0.127888493451581	0.0184901798547568
DFFA	DFFA	0.16714997212616	0.0102637296530604
CASZ1	CASZ1	0.470784526759842	2.36856101895133e-09
MTOR	MTOR	0.14870894697549	0.0042046066418384
MFN2	MFN2	0.136482503548452	0.0051201844080309
TNFRSF1B	TNFRSF1B	2.42620848002125	1.16341687353862e-08
VPS13D	VPS13D	0.232411338887359	0.00713721096453281
PRDM2	PRDM2	0.128445611450914	0.0952764451190608
PLEKHM2	PLEKHM2	0.54795443374107	6.49632657113975e-06
FBLIM1	FBLIM1	2.21525741333706	8.44426091456475e-11
SPEN	SPEN	0.806243139083389	0.0302476098756286
EPHA2	EPHA2	2.23620555537659	1.7410149168508e-08
NECAP2	NECAP2	1.58574749778086	1.93450670184894e-07
MFAP2	MFAP2	0.427852343908508	1.01659135741057e-06
ATP13A2	ATP13A2	0.358496174224916	3.96322029824192e-07
RCC2	RCC2	1.50654460872902	3.84117939432782e-05
UBR4	UBR4	0.320943510510832	0.00219286237451669
AKR7A2	AKR7A2	0.693625325095209	0.0588272207828809
HP1BP3	HP1BP3	1.01531947010837	0.091105496509828
EIF4G3	EIF4G3	1.23608609415492	7.56414027888884e-06
ECE1	ECE1	3.10302764783612	1.80487524801051e-12
