Gene	LogFC	Pval
NOC2L	NOC2L	0.153740809623368	0.00140252720634912
AGRN	AGRN	0.70188470189413	0.000174499678996449
B3GALT6	B3GALT6	0.19891317233648	0.0524514698513327
AURKAIP1	AURKAIP1	0.152032582658287	0.0799658713400842
ATAD3A	ATAD3A	0.113434344642942	0.000568619512844528
SSU72	SSU72	0.113432302332956	0.0442994340017209
HES5	HES5	5.99102156916028	2.37772528165762e-09
WRAP73	WRAP73	0.101452685397443	0.000442437837852178
ICMT	ICMT	0.115047638598386	0.0450166617321012
CAMTA1	CAMTA1	0.345950441233624	0.0120632661291508
VAMP3	VAMP3	0.18813722506198	0.0024734034136196
PGD	PGD	0.156355597917165	0.000113761860955622
SRM	SRM	0.229156537748501	0.000830844232694726
MTHFR	MTHFR	0.370374035657294	3.57093184484458e-09
KAZN	KAZN	0.256717027863911	0.00259791751693366
TMEM51	TMEM51	0.288311840854552	0.00699059981882801
FBLIM1	FBLIM1	0.54587672505473	2.63257546912717e-07
SZRD1	SZRD1	0.114464516147131	0.00552857653554011
MRTO4	MRTO4	0.172237525998696	2.75967864093583e-05
CAPZB	CAPZB	0.526782734327528	6.69430525045242e-05
MINOS1	MINOS1	0.560635056670745	0.0499651721206958
PINK1	PINK1	0.115531180006125	0.0569268980750211
ECE1	ECE1	0.214429947188978	0.000166191206674658
ID3	ID3	8.70306491391319	1.27468012261495e-39
PITHD1	PITHD1	0.117345632427706	0.0178582032673133
PNRC2	PNRC2	0.140177325451764	0.00774096711782095
SYF2	SYF2	0.565103408526092	1.23240786335586e-06
RSRP1	RSRP1	0.266529316205111	0.00522753849255028
TMEM50A	TMEM50A	0.433114007137698	6.01270620058491e-05
SH3BGRL3	SH3BGRL3	0.318124447973949	0.0479553286475403
NUDC	NUDC	0.445450276046135	0.00656207425663119
WASF2	WASF2	0.120505130705674	0.00495159821049564
STX12	STX12	0.12181797687538	0.000737378208704554
DNAJC8	DNAJC8	0.125116185283889	0.0861486988391279
SNHG12	SNHG12	0.409604500124622	1.16721878625024e-05
YTHDF2	YTHDF2	1.79007272157545	5.21247449653975e-05
SRSF4	SRSF4	0.329264433249863	0.0389451818482001
SNRNP40	SNRNP40	0.245916611234856	0.00974755176434242
FABP3	FABP3	0.190140737390419	2.84518068509509e-05
TINAGL1	TINAGL1	4.42974357006004	3.04139185850886e-57
PEF1	PEF1	0.220106705144689	0.0643291903342013
EIF3I	EIF3I	0.738517456947599	1.0686898681821e-06
MARCKSL1	MARCKSL1	4.24705513477558	9.6555775210284e-18
PHC2	PHC2	0.358583552221511	7.35450476718934e-08
SMIM12	SMIM12	0.132491481905548	0.000101327054354355
GJA4	GJA4	7.0950769290209	2.55219815818876e-33
MAP7D1	MAP7D1	0.248702115388151	0.00189325344107861
THRAP3	THRAP3	0.165855552100102	0.0232021112259516
EVA1B	EVA1B	0.181798744145118	0.000595656698220843
MEAF6	MEAF6	0.703863819044484	0.0145970556711501
YRDC	YRDC	0.199282766816574	0.000114295243883191
FHL3	FHL3	0.133040943248344	0.0299201065667042
AKIRIN1	AKIRIN1	0.238027221409098	0.0629680161241261
NDUFS5	NDUFS5	0.471426953777628	0.00039164898025053
