Gene	LogFC	Pval
SAMD11	SAMD11	0.169918410652137	6.4237582683937e-14
HES4	HES4	13.5755432937609	6.18139035169522e-32
VWA1	VWA1	0.251514311577992	0.00149703785237953
MMP23B	MMP23B	1.54204253962908	6.2652248235539e-53
PARK7	PARK7	0.696443975222248	0.000121095319114293
ERRFI1	ERRFI1	0.233504319401929	0.00581004448794527
ENO1	ENO1	9.48951624424587	7.54207090358484e-08
PDPN	PDPN	0.131012524509808	2.9015623009792e-12
MFAP2	MFAP2	3.61404282866256	1.7356076860385e-18
HSPG2	HSPG2	0.234641444695535	5.6376952689995e-05
CDC42	CDC42	0.831160689881293	9.81868591198496e-05
HNRNPR	HNRNPR	0.36504456835876	0.00364398223106352
RPL11	RPL11	92.5884976711837	6.94288973386421e-08
SRRM1	SRRM1	0.220790129833739	0.0525496573334903
STMN1	STMN1	37.5870391272327	5.57543113962506e-05
HMGN2	HMGN2	21.6909910608816	0.0169995459901723
COL16A1	COL16A1	1.53858590525386	2.4740787643375e-76
ADGRB2	ADGRB2	0.129121365127659	1.62089803628777e-10
KHDRBS1	KHDRBS1	1.92899475869326	4.71773077019301e-06
SFPQ	SFPQ	6.52086216942027	0.000816076214660184
PSMB2	PSMB2	0.176732963239663	0.00135060702752113
YBX1	YBX1	5.64062582907315	3.92569489037312e-20
P3H1	P3H1	0.185264464048961	3.53785961121478e-06
CDC20	CDC20	9.02600081116789	9.75981918405362e-05
RPS8	RPS8	145.495185435945	0.00144887919156908
UROD	UROD	0.818152771975239	0.000263860428314625
PRDX1	PRDX1	7.43342281834591	2.5176168951902e-11
UQCRH	UQCRH	12.1878741117313	1.2780170676083e-06
GPX7	GPX7	0.251463423651292	0.00924060854210502
TMEM59	TMEM59	0.667844131796681	0.00609410665356627
PLPP3	PLPP3	0.777757457162574	1.37019578520917e-15
JUN	JUN	258.479857184902	4.82057207343389e-32
NFIA	NFIA	0.920000047467375	9.98607836740348e-11
GADD45A	GADD45A	0.508647993057925	0.00499968010399122
PTGER3	PTGER3	0.399263022399582	2.95334243675355e-14
DNAJB4	DNAJB4	0.808646851059703	0.0420745424162559
AC103591.3	AC103591.3	0.465206756341124	0.000315273039865334
GNG5	GNG5	1.73348242595871	0.0266152567262698
CYR61	CYR61	17.1767329446746	1.24539435701613e-05
RPL5	RPL5	75.5581953454547	0.043602756080555
CNN3	CNN3	0.223881797764568	3.46168483345379e-06
VCAM1	VCAM1	0.50103664291558	0.0990140064306397
PSRC1	PSRC1	0.226835194913282	4.24881412283598e-05
PSMA5	PSMA5	0.352395643963791	0.0234687335527661
GSTM5	GSTM5	0.42448961135894	0.0110426251579754
ATP5PB	ATP5PB	1.38079188785931	3.44572684147532e-08
WNT2B	WNT2B	0.225763488329965	2.16164053852822e-07
OLFML3	OLFML3	5.33044658773152	1.70528894567275e-21
ATP1A1	ATP1A1	0.908637325915185	0.00433581768991452
RBM8A	RBM8A	0.569321040845641	0.00046670911703186
ECM1	ECM1	0.21909504191649	5.07747101239736e-07
ADAMTSL4	ADAMTSL4	0.150538123092988	2.64733529227502e-13
CTSK	CTSK	0.189886031790663	9.20747233113098e-09
S100A10	S100A10	92.2292443028364	2.20006463277349e-10
S100A6	S100A6	27.4128310132692	2.51885493691859e-06
S100A16	S100A16	1.03901178486724	3.68568004555728e-07
ILF2	ILF2	0.252029366171479	0.000269115936824411
KCNN3	KCNN3	0.671229780852581	1.24672171587244e-35
LMNA	LMNA	3.93122390578996	0.000404217222583654
NES	NES	0.21734215123393	1.28497826474179e-06
PFDN2	PFDN2	0.344367300149152	9.21639107327791e-06
PBX1	PBX1	0.594580545444511	1.08913314887783e-07
DPT	DPT	27.6333591567149	7.28021673261875e-100
ATP1B1	ATP1B1	6.56783010671422	2.00788761433062e-09
PRDX6	PRDX6	1.70586316568303	0.00122048984504966
CACYBP	CACYBP	0.898819848836696	0.0248363718747352
QSOX1	QSOX1	1.04797319384627	5.18846654862058e-15
ASPM	ASPM	2.88865775553785	6.01497918624106e-09
ELF3	ELF3	24.4182761562903	0.0937199086348021
UBE2T	UBE2T	2.42200790827402	0.00878373676010842
FMOD	FMOD	0.196504193121549	2.81183067108347e-08
MDM4	MDM4	0.132230451014418	0.0482840495487482
NUCKS1	NUCKS1	3.02561542808171	0.02782378469584
CD34	CD34	0.166273632786804	3.38277386333326e-05
CENPF	CENPF	12.6242858325977	9.30190457317074e-08
H3F3A	H3F3A	11.1334212489394	3.35003050765595e-07
RHOU	RHOU	0.180626626190574	2.87030045746175e-13
ARID4B	ARID4B	0.176326041173989	0.0894330175291204
