Gene	LogFC	Pval
AL645608.8	AL645608.8	0.146127254469107	0.000398956143044518
HES4	HES4	3.48722787321615	3.84350785844491e-40
AGRN	AGRN	0.737842778488671	1.17870065530574e-05
HES5	HES5	6.10796038726376	3.0673877303353e-10
ACOT7	ACOT7	0.119300311749753	0.0176053968097377
CAMTA1	CAMTA1	0.475774402683553	0.03665490621379
PGD	PGD	0.142050886907885	0.0215040489631845
TARDBP	TARDBP	0.197186290559821	0.0975411943927466
MTHFR	MTHFR	0.34169472252176	4.03859737847084e-06
TMEM51	TMEM51	0.303158534200496	0.000542528513144873
EPHA2	EPHA2	0.140679377008355	0.00859801264420844
MRTO4	MRTO4	0.107980275767918	0.0243075213771313
ID3	ID3	5.78587598017162	2.7216104189922e-18
SRSF10	SRSF10	0.267436882866175	0.0363716428491456
TRNP1	TRNP1	0.12883870742382	0.000117005307940927
SESN2	SESN2	0.115140757539452	0.0131758907998916
SNHG12	SNHG12	0.437089360160516	5.07516798432138e-06
SRSF4	SRSF4	0.378850045276359	0.0508406730101832
FABP3	FABP3	0.196145250657985	1.74511760261252e-05
TINAGL1	TINAGL1	4.41212262449671	1.24960370753413e-56
EIF3I	EIF3I	0.605389441141374	0.000936696452416144
MARCKSL1	MARCKSL1	3.7487697161775	6.8588831506798e-05
PHC2	PHC2	0.24745933115573	0.0023768309596566
GJA4	GJA4	7.10194308040538	9.98830776178321e-34
MEAF6	MEAF6	0.590626908686372	0.0816062509787339
YRDC	YRDC	0.207162916539491	0.000124135466037482
POU3F1	POU3F1	0.129912638002081	0.000356807033129465
NDUFS5	NDUFS5	3.15737109789749	0.0210563679379619
PABPC4	PABPC4	0.267097909985851	0.000454021783537782
HEYL	HEYL	0.704344723399973	2.34320186067392e-13
CAP1	CAP1	0.263830550674006	1.61770601308842e-07
RLF	RLF	0.107008874457997	0.0124952929609381
PPIH	PPIH	0.135852962556101	0.0187556703214315
SVBP	SVBP	0.116840066309421	0.0231339678155159
ARTN	ARTN	0.274368470111684	6.41732647418145e-10
SLC6A9	SLC6A9	0.10521793182586	0.00717223313377886
PLK3	PLK3	0.175881633448682	0.00749887514542342
UROD	UROD	0.145387272539481	0.000252523705410456
LRRC41	LRRC41	0.116765579058501	0.0428805129630817
UQCRH	UQCRH	0.231157663326944	0.000312033371114435
CYP4X1	CYP4X1	0.148365024129245	1.62542285265675e-05
OSBPL9	OSBPL9	0.378791497166139	1.24091177051668e-08
BTF3L4	BTF3L4	0.194068980472538	0.000272164097531116
SERBP1	SERBP1	0.315804343788358	8.52879056958563e-05
DNAJB4	DNAJB4	0.251064626228704	0.00368490863856408
GTF2B	GTF2B	0.808261569176264	0.00226706850707488
CDC7	CDC7	0.105726474587559	0.0187415866480419
ARHGAP29	ARHGAP29	0.761866882913922	2.14972078050793e-23
CNN3	CNN3	1.60868320727823	0.00974893364661089
AC104506.1	AC104506.1	0.1283294849095	0.00989745758741426
PRPF38B	PRPF38B	0.380492612772564	0.0285850484138118
GSTM4	GSTM4	0.116393027907375	0.0560240307672474
KCNC4	KCNC4	0.237761630721349	7.18010247408179e-09
ATP5PB	ATP5PB	0.314458555378899	0.00282990371622807
RHOC	RHOC	3.82914849738641	7.36855321377979e-12
BCAS2	BCAS2	0.139791424170467	0.0368293144772894
NGF	NGF	0.80673763171213	1.47334354651648e-10
ATP1A1	ATP1A1	0.718618608794857	8.20890919429856e-09
TXNIP	TXNIP	2.1676503856967	0.00522501820443432
GJA5	GJA5	0.160566013886254	4.11595466638473e-06
C1orf54	C1orf54	0.201626847322851	1.79368238468514e-06
MLLT11	MLLT11	0.154769012964095	0.0737427498149239
PSMD4	PSMD4	0.133297856638273	0.00672995885225514
S100A4	S100A4	3.11394521352057	0.00330175881994665
SNAPIN	SNAPIN	0.121510775579468	0.0258526347847423
SLC39A1	SLC39A1	0.12827231737431	0.0112490977123281
EFNA1	EFNA1	0.468955096138383	0.0184582479688392
UBQLN4	UBQLN4	0.10446360591434	0.00349470466288839
MEX3A	MEX3A	0.200614958299603	0.0434201782520496
SLC25A44	SLC25A44	0.276708949996	0.000118451432938417
MEF2D	MEF2D	0.108422123914024	0.00381126467970542
NES	NES	0.144448601733321	0.00898231707330655
PRCC	PRCC	0.158666368431985	0.00156801619325466
PEAR1	PEAR1	0.176378281240692	0.00304151412055331
KIRREL1	KIRREL1	0.235188955834015	0.00634519521369748
ATP1A2	ATP1A2	0.142490003496316	2.47964243239755e-05
PFDN2	PFDN2	0.363697159266542	0.000234773165007733
B4GALT3	B4GALT3	0.18514880251915	0.023794232081581
ADAMTS4	ADAMTS4	1.36049774931908	3.70114198228003e-18
NDUFS2	NDUFS2	0.258204002948628	1.95325711801161e-05
SDHC	SDHC	0.146369163234514	0.0037412643125204
OLFML2B	OLFML2B	1.94212337581842	3.57817795811877e-28
RGS5	RGS5	25.103472489982	1.58900420623949e-68
MGST3	MGST3	13.8179294882507	1.35375572610306e-22
RCSD1	RCSD1	0.276605950195212	4.23430736763495e-06
MPC2	MPC2	0.102819293334038	0.0201058806544756
GPR161	GPR161	0.135299734029482	0.0971729436128371
KIAA0040	KIAA0040	0.288470960797367	1.09170956963722e-06
GLUL	GLUL	0.994669847204639	0.000986058136402245
RGS16	RGS16	23.7494173767337	9.78632360005187e-58
ARPC5	ARPC5	3.85049717676311	2.02128434891086e-14
FAM129A	FAM129A	0.145841877980702	3.13228956850581e-06
IVNS1ABP	IVNS1ABP	0.135053138074342	0.00777791049230775
ODR4	ODR4	0.140006767825007	0.00512757296175731
PPP1R12B	PPP1R12B	3.66752591772216	0.00121442496088428
TMEM183A	TMEM183A	0.108128401962651	0.052894848116227
BTG2	BTG2	6.60151625162246	2.58360550769474e-28
SNRPE	SNRPE	0.362248857654219	0.0031101150178743
NFASC	NFASC	0.289843619043452	6.78822119662658e-08
CDK18	CDK18	0.172962849610495	2.78873543634377e-07
