	Endothelial|Epithelial	Endothelial|Fibroblasts	Endothelial|Muscle	Endothelial|Myofibroblast_Mesothelium	Endothelial|Neural	Endothelial|Pericytes	Epithelial|Endothelial	Epithelial|Fibroblasts	Epithelial|Muscle	Epithelial|Myofibroblast_Mesothelium	Epithelial|Neural	Epithelial|Pericytes	Fibroblasts|Endothelial	Fibroblasts|Epithelial	Fibroblasts|Muscle	Fibroblasts|Myofibroblast_Mesothelium	Fibroblasts|Neural	Fibroblasts|Pericytes	Muscle|Endothelial	Muscle|Epithelial	Muscle|Fibroblasts	Muscle|Myofibroblast_Mesothelium	Muscle|Neural	Muscle|Pericytes	Myofibroblast_Mesothelium|Endothelial	Myofibroblast_Mesothelium|Epithelial	Myofibroblast_Mesothelium|Fibroblasts	Myofibroblast_Mesothelium|Muscle	Myofibroblast_Mesothelium|Neural	Myofibroblast_Mesothelium|Pericytes	Neural|Endothelial	Neural|Epithelial	Neural|Fibroblasts	Neural|Muscle	Neural|Myofibroblast_Mesothelium	Neural|Pericytes	Pericytes|Endothelial	Pericytes|Epithelial	Pericytes|Fibroblasts	Pericytes|Muscle	Pericytes|Myofibroblast_Mesothelium	Pericytes|Neural
ESAM_ESAM	0.634	0.167	0.871	0.057	0.54	0.026	0.193	0.697	0.979	0.537	0.905	0.21	0.0	0.989	1.0	0.001	0.846	0.001	0.173	0.755	0.425	0.363	0.746	0.183	0.0	0.525	0.01	0.799	0.302	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.015	0.308	0.064	0.308	0.036	0.3
CDH2_CDH2	0.879	0.243	0.005	0.657	0.0	0.042	1.0	1.0	1.0	1.0	1.0	1.0	0.237	1.0	0.0	0.984	0.0	0.014	0.22	0.724	0.247	0.693	0.003	0.057	0.892	0.96	0.891	0.433	0.31	0.515	0.092	0.782	0.103	0.0	0.502	0.01	0.187	0.24	0.167	0.004	0.24	0.002
NCAM1_NCAM1	0.641	0.064	0.004	0.44	0.014	0.27	0.901	0.807	0.708	0.963	0.789	0.933	0.305	1.0	0.0	0.908	0.0	0.642	0.207	0.7	0.068	0.295	0.031	0.271	1.0	1.0	1.0	1.0	1.0	1.0	0.604	0.757	0.344	0.286	0.757	0.689	1.0	1.0	1.0	1.0	1.0	1.0
JAM2_JAM2	0.846	0.0	0.001	0.002	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.309	1.0	0.515	0.926	0.688	0.094	1.0	1.0	1.0	1.0	1.0	1.0	0.283	0.929	0.428	0.351	0.458	0.103	0.324	0.751	0.363	0.374	0.665	0.151	0.019	0.235	0.022	0.045	0.182	0.072
CD99_CD99	0.128	0.021	0.114	0.046	0.078	0.085	1.0	1.0	1.0	1.0	1.0	1.0	0.008	0.154	0.125	0.025	0.091	0.084	0.228	0.596	0.202	0.298	0.456	0.453	0.676	0.898	0.638	0.86	0.802	0.802	0.068	0.282	0.057	0.247	0.107	0.199	1.0	1.0	1.0	1.0	1.0	1.0
JAM3_JAM3	0.773	0.13	0.476	0.219	0.287	0.103	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.997	0.909	0.258	0.406	0.034	0.157	0.571	0.197	0.341	0.447	0.136	0.551	0.889	0.612	0.887	0.782	0.414	0.222	0.673	0.247	0.67	0.426	0.162	0.0	0.208	0.0	0.061	0.005	0.01
PENK_OPRL1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.4	0.648	0.226	1.0	0.062	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.093	0.202	0.017	0.041	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
TNXB_ITGB6	0.007	0.297	1.0	0.292	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.812	0.0	1.0	0.464	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
PENK_OPRD1	0.22	0.148	0.001	0.34	0.0	0.09	1.0	1.0	1.0	1.0	1.0	1.0	0.137	0.796	0.0	0.96	0.0	0.004	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.182	0.553	0.248	0.144	1.0	0.063	0.018	0.033	0.018	0.0	0.055	0.0
CDH5_CDH5	0.313	0.0	0.28	0.001	0.181	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.001	0.997	0.991	0.556	0.988	0.01	1.0	1.0	1.0	1.0	1.0	1.0	0.023	0.802	0.203	0.73	0.628	0.018	1.0	1.0	1.0	1.0	1.0	1.0	0.01	0.173	0.017	0.173	0.033	0.173
