ip	d_ori	d_shu	d_rat	p_val	pathway
ITGA9 - ITGB1	[16.2776077]	12.694154857898619	[1.28229156]	0.0	VCAM
COL4A5 - SDC4	[17.30849375]	6.050404797051608	[2.86071665]	0.0	COLLAGEN
COL6A1 - SDC4	[39.98472694]	18.9006834342798	[2.11551752]	0.0	COLLAGEN
COL6A2 - SDC4	[45.35180887]	18.124488305683595	[2.50223941]	0.0	COLLAGEN
COL6A3 - SDC4	[33.75616583]	11.923056408226435	[2.83116717]	0.0	COLLAGEN
COL9A3 - SDC4	[10.23178793]	6.0958095189838994	[1.67849535]	0.0	COLLAGEN
FN1 - SDC4	[44.89431417]	20.70459609176272	[2.16832601]	0.0	FN1
TNC - SDC4	[19.28066983]	6.319841810320631	[3.05081526]	0.0	TENASCIN
TNXB - SDC4	[16.6786596]	6.5877470914173974	[2.53176987]	0.0	TENASCIN
THBS2 - SDC4	[29.67342278]	9.480080804973595	[3.13008121]	0.0	THBS
THBS3 - SDC4	[12.47707441]	6.044508729530642	[2.06419991]	0.0	THBS
LAMC1 - ITGA7	[12.25357971]	8.030289322803485	[1.52592008]	0.0	LAMININ
LAMB3 - ITGA7	[25.70209243]	8.730236033455611	[2.94403179]	0.0	LAMININ
LAMB2 - ITGA7	[24.24481157]	14.129476492160052	[1.71590303]	0.0	LAMININ
COL4A2 - SDC4	[32.05316475]	13.826058850879368	[2.31831537]	0.0	COLLAGEN
LAMB1 - ITGA7	[18.04985966]	12.687512228329773	[1.42264767]	0.0	LAMININ
LAMB3 - DAG1	[21.57600402]	8.132107702712728	[2.65318719]	0.0	LAMININ
LAMA4 - ITGA7	[16.2272258]	10.394417254633568	[1.5611482]	0.0	LAMININ
APP - CD74	[17.91228005]	9.786816228312023	[1.83024588]	0.0	APP
CD99 - CD99	[1.01946411e-07]	9.916432948014066	[1.02805527e-08]	0.0	CD99
LAMB3 - ITGA6	[14.7815858]	8.524896266028188	[1.73393146]	0.0	LAMININ
CDH1 - CDH1	[1.52156699e-09]	6.6852338822758535	[2.27601161e-10]	0.0	CDH
CDH1 - (ITGA1+ITGB1)	[23.03953263]	6.914593614178474	[3.33201543]	0.0	CDH1
CDH5 - CDH5	[6.80644852e-09]	6.7791049483495485	[1.00403351e-09]	0.0	CDH5
COL6A3 - ITGA3	[21.02684352]	12.233653854767075	[1.71877051]	0.0	COLLAGEN
ESAM - ESAM	[1.79723747e-09]	5.151498020388604	[3.4887667e-10]	0.0	ESAM
COL6A2 - ITGA3	[32.43431236]	19.70208440280581	[1.64623761]	0.0	COLLAGEN
F11R - F11R	[5.57041283e-10]	4.750943649091374	[1.17248556e-10]	0.0	JAM
F11R - JAM2	[8.36509457]	4.574460729298432	[1.82865152]	0.0	JAM
LAMA5 - ITGA7	[17.77257512]	10.331512819144134	[1.72022969]	0.0	LAMININ
F11R - JAM3	[11.22279995]	4.764560071662048	[2.35547454]	0.0	JAM
COL4A1 - SDC4	[38.07944372]	15.046970435229886	[2.53070503]	0.0	COLLAGEN
COL1A1 - SDC4	[59.41652207]	30.182451838834478	[1.96857838]	0.0	COLLAGEN
LAMB3 - (ITGA9+ITGB1)	[27.40311161]	9.15671779746694	[2.9926784]	0.0	LAMININ
COL6A1 - ITGA9	[32.03726032]	22.0184683864884	[1.45501766]	0.0	COLLAGEN
LAMA5 - (ITGA6+ITGB4)	[28.68451664]	18.825027506399113	[1.52374368]	0.0	LAMININ
LAMB1 - (ITGA6+ITGB4)	[34.02929861]	24.290575893988986	[1.40092597]	0.0	LAMININ
LAMB2 - (ITGA6+ITGB4)	[41.61748732]	27.652306265920462	[1.50502772]	0.0	LAMININ
LAMB3 - (ITGA6+ITGB4)	[20.05443415]	14.775077466188742	[1.35731499]	0.0	LAMININ
COL4A2 - ITGA9	[21.06696656]	15.495477399146473	[1.35955583]	0.0	COLLAGEN
COL2A1 - ITGA9	[11.60385335]	5.719233073016633	[2.02891772]	0.0	COLLAGEN
COL9A2 - CD44	[8.37143555]	5.535025128079416	[1.51244761]	0.0	COLLAGEN
LAMA5 - CD44	[12.75045395]	9.083660620805547	[1.40366912]	0.0	LAMININ
FN1 - ITGA3	[34.80012474]	22.975602394698647	[1.5146556]	0.0	FN1
LAMB3 - CD44	[21.23017764]	8.292105924903098	[2.5602878]	0.0	LAMININ
COL1A2 - ITGA9	[48.7438719]	36.01740281690125	[1.35334222]	0.0	COLLAGEN
COL1A2 - SDC4	[60.75099658]	30.11341591683321	[2.01740635]	0.0	COLLAGEN
COL1A1 - SDC1	[52.00425909]	27.444491169769954	[1.89488881]	0.0	COLLAGEN
COL1A1 - ITGA9	[49.77775835]	36.14056242436735	[1.37733768]	0.0	COLLAGEN
COL4A1 - SDC1	[32.62153044]	14.605749432180351	[2.23347187]	0.0	COLLAGEN
COL4A2 - SDC1	[28.14042487]	13.099025132435898	[2.14828391]	0.0	COLLAGEN
COL4A5 - SDC1	[11.52191723]	6.464332402654816	[1.78238316]	0.0	COLLAGEN
COL6A1 - SDC1	[34.87790551]	17.247763832483674	[2.02216971]	0.0	COLLAGEN
COL6A2 - SDC1	[37.82289009]	16.456165093855304	[2.29840245]	0.0	COLLAGEN
COL6A3 - SDC1	[26.8858771]	11.607113064058426	[2.31632767]	0.0	COLLAGEN
