id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	Epithelial|Epithelial	Myofibroblast_Mesothelium|Myofibroblast_Mesothelium	Myofibroblast_Mesothelium|Fibroblasts	Myofibroblast_Mesothelium|Pericytes	Myofibroblast_Mesothelium|Endothelial	Myofibroblast_Mesothelium|Immune	Fibroblasts|Myofibroblast_Mesothelium	Fibroblasts|Fibroblasts	Fibroblasts|Pericytes	Fibroblasts|Endothelial	Fibroblasts|Immune	Pericytes|Myofibroblast_Mesothelium	Pericytes|Fibroblasts	Pericytes|Pericytes	Pericytes|Endothelial	Pericytes|Immune	Endothelial|Myofibroblast_Mesothelium	Endothelial|Fibroblasts	Endothelial|Pericytes	Endothelial|Endothelial	Endothelial|Immune	Immune|Myofibroblast_Mesothelium	Immune|Fibroblasts	Immune|Pericytes	Immune|Endothelial	Immune|Immune	Muscle|Muscle	Muscle|Neural	Muscle|Fibroblasts	Muscle|Pericytes	Muscle|Endothelial	Muscle|Immune	Neural|Muscle	Neural|Neural	Neural|Fibroblasts	Neural|Pericytes	Neural|Endothelial	Neural|Immune	Fibroblasts|Muscle	Fibroblasts|Neural	Pericytes|Muscle	Pericytes|Neural	Endothelial|Muscle	Endothelial|Neural	Immune|Muscle	Immune|Neural
CPI-SS010BB499F	CCL2_ACKR2	simple:P13500	simple:O00590	CCL2	ACKR2	False	False	False	user_curated	False	0.084	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.113	0.0	0.0	0.0	0.0	0.0	0.343	0.0	0.0	0.0	0.0	0.0	0.392	0.0	0.447	0.0	0.456	0.0	0.201
CPI-SS0D4403860	CCL11_ACKR2	simple:P51671	simple:O00590	CCL11	ACKR2	False	False	False	user_curated	False	0.011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.046	0.0	0.01	0.0	0.002	0.0	0.0
CPI-SS0F6F1C29E	CCL8_ACKR2	simple:P80075	simple:O00590	CCL8	ACKR2	False	False	False	user_curated	False	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.022	0.0	0.048	0.0	0.014
CPI-SS0DBFB8BEA	CCL2_ACKR1	simple:P13500	simple:Q16570	CCL2	ACKR1	False	False	False	user_curated	False	0.086	0.365	0.368	0.365	0.475	0.0	0.395	0.399	0.395	0.505	0.0	0.45	0.454	0.45	0.56	0.0	0.459	0.463	0.46	0.57	0.0	0.204	0.207	0.204	0.314	0.0	0.117	0.116	0.119	0.116	0.226	0.0	0.348	0.347	0.35	0.347	0.457	0.0	0.397	0.395	0.452	0.45	0.461	0.46	0.206	0.204
CPI-SS00466EB50	CCL11_ACKR1	simple:P51671	simple:Q16570	CCL11	ACKR1	False	False	False	user_curated	False	0.012	0.017	0.02	0.017	0.127	0.0	0.049	0.053	0.049	0.159	0.0	0.012	0.016	0.013	0.123	0.0	0.005	0.009	0.005	0.115	0.0	0.0	0.0	0.0	0.0	0.0	0.011	0.009	0.012	0.009	0.119	0.0	0.01	0.009	0.012	0.009	0.119	0.0	0.051	0.049	0.014	0.013	0.007	0.005	0.0	0.0
CPI-SS008700E67	CCL8_ACKR1	simple:P80075	simple:Q16570	CCL8	ACKR1	False	False	False	user_curated	False	0.008	0.0	0.0	0.0	0.0	0.0	0.007	0.01	0.007	0.117	0.0	0.025	0.028	0.025	0.135	0.0	0.051	0.054	0.051	0.161	0.0	0.016	0.02	0.017	0.127	0.0	0.01	0.009	0.012	0.009	0.119	0.0	0.009	0.007	0.01	0.007	0.117	0.0	0.009	0.007	0.026	0.025	0.052	0.051	0.018	0.017
CPI-SS0A145A3A4	CXCL10_ACKR1	simple:P02778	simple:Q16570	CXCL10	ACKR1	False	False	False	user_curated	False	0.009	0.022	0.025	0.022	0.132	0.0	0.007	0.011	0.008	0.118	0.0	0.008	0.012	0.009	0.119	0.0	0.015	0.018	0.015	0.125	0.0	0.01	0.013	0.01	0.12	0.0	0.009	0.007	0.01	0.007	0.117	0.0	0.009	0.007	0.011	0.007	0.118	0.0	0.009	0.007	0.01	0.009	0.017	0.015	0.011	0.01
CPI-SS052BBD9F9	CXCL1_ACKR1	simple:P09341	simple:Q16570	CXCL1	ACKR1	False	False	False	user_curated	False	0.211	0.143	0.147	0.144	0.254	0.0	0.085	0.088	0.085	0.195	0.0	0.054	0.057	0.054	0.164	0.0	0.084	0.088	0.084	0.194	0.0	0.107	0.111	0.108	0.218	0.0	0.062	0.06	0.064	0.06	0.17	0.0	0.042	0.04	0.044	0.04	0.15	0.0	0.086	0.085	0.055	0.054	0.086	0.084	0.109	0.108
CPI-SS0911EECCC	CXCL8_ACKR1	simple:P10145	simple:Q16570	CXCL8	ACKR1	False	False	False	user_curated	False	0.025	0.03	0.033	0.03	0.14	0.0	0.04	0.043	0.04	0.15	0.0	0.037	0.04	0.037	0.147	0.0	0.05	0.054	0.051	0.161	0.0	0.658	0.661	0.658	0.768	0.0	0.012	0.011	0.014	0.011	0.121	0.0	0.027	0.025	0.029	0.026	0.136	0.0	0.042	0.04	0.039	0.037	0.052	0.051	0.66	0.658
CPI-SS0B2FB23BC	CXCL2_ACKR1	simple:P19875	simple:Q16570	CXCL2	ACKR1	False	False	False	user_curated	False	0.538	0.145	0.149	0.146	0.256	0.0	0.165	0.168	0.165	0.275	0.0	0.198	0.202	0.199	0.309	0.0	0.302	0.306	0.303	0.413	0.0	0.46	0.463	0.46	0.57	0.0	0.094	0.092	0.095	0.092	0.202	0.0	0.127	0.125	0.129	0.125	0.235	0.0	0.167	0.165	0.2	0.198	0.304	0.302	0.462	0.46
